"Statistic Label","Year","Domestic","Region of Residence","UNIT","VALUE"
"Number of Trips by Irish Residents","2000","Domestic","State","Thousand","5478"
"Number of Trips by Irish Residents","2000","Domestic","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2000","Domestic","Border","Thousand","498"
"Number of Trips by Irish Residents","2000","Domestic","Midland","Thousand","257"
"Number of Trips by Irish Residents","2000","Domestic","West","Thousand","445"
"Number of Trips by Irish Residents","2000","Domestic","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2000","Domestic","Dublin","Thousand","1818"
"Number of Trips by Irish Residents","2000","Domestic","Mid-East","Thousand","656"
"Number of Trips by Irish Residents","2000","Domestic","Mid-West","Thousand","471"
"Number of Trips by Irish Residents","2000","Domestic","South-East","Thousand","498"
"Number of Trips by Irish Residents","2000","Domestic","South-West","Thousand","835"
"Number of Trips by Irish Residents","2000","Outbound","State","Thousand","3768"
"Number of Trips by Irish Residents","2000","Outbound","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2000","Outbound","Border","Thousand","292"
"Number of Trips by Irish Residents","2000","Outbound","Midland","Thousand","161"
"Number of Trips by Irish Residents","2000","Outbound","West","Thousand","231"
"Number of Trips by Irish Residents","2000","Outbound","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2000","Outbound","Dublin","Thousand","1579"
"Number of Trips by Irish Residents","2000","Outbound","Mid-East","Thousand","437"
"Number of Trips by Irish Residents","2000","Outbound","Mid-West","Thousand","250"
"Number of Trips by Irish Residents","2000","Outbound","South-East","Thousand","294"
"Number of Trips by Irish Residents","2000","Outbound","South-West","Thousand","523"
"Number of Trips by Irish Residents","2001","Domestic","State","Thousand","6307"
"Number of Trips by Irish Residents","2001","Domestic","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2001","Domestic","Border","Thousand","558"
"Number of Trips by Irish Residents","2001","Domestic","Midland","Thousand","297"
"Number of Trips by Irish Residents","2001","Domestic","West","Thousand","590"
