"Statistic Label","Year","Domestic","Region of Residence","UNIT","VALUE"
"Number of Trips by Irish Residents","2001","Domestic","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2001","Domestic","Dublin","Thousand","2036"
"Number of Trips by Irish Residents","2001","Domestic","Mid-East","Thousand","700"
"Number of Trips by Irish Residents","2001","Domestic","Mid-West","Thousand","638"
"Number of Trips by Irish Residents","2001","Domestic","South-East","Thousand","582"
"Number of Trips by Irish Residents","2001","Domestic","South-West","Thousand","905"
"Number of Trips by Irish Residents","2001","Outbound","State","Thousand","4162"
"Number of Trips by Irish Residents","2001","Outbound","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2001","Outbound","Border","Thousand","316"
"Number of Trips by Irish Residents","2001","Outbound","Midland","Thousand","145"
"Number of Trips by Irish Residents","2001","Outbound","West","Thousand","298"
"Number of Trips by Irish Residents","2001","Outbound","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2001","Outbound","Dublin","Thousand","1748"
"Number of Trips by Irish Residents","2001","Outbound","Mid-East","Thousand","535"
"Number of Trips by Irish Residents","2001","Outbound","Mid-West","Thousand","293"
"Number of Trips by Irish Residents","2001","Outbound","South-East","Thousand","331"
"Number of Trips by Irish Residents","2001","Outbound","South-West","Thousand","495"
"Number of Trips by Irish Residents","2002","Domestic","State","Thousand","6452"
"Number of Trips by Irish Residents","2002","Domestic","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2002","Domestic","Border","Thousand","480"
"Number of Trips by Irish Residents","2002","Domestic","Midland","Thousand","278"
"Number of Trips by Irish Residents","2002","Domestic","West","Thousand","565"
"Number of Trips by Irish Residents","2002","Domestic","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2002","Domestic","Dublin","Thousand","2257"
"Number of Trips by Irish Residents","2002","Domestic","Mid-East","Thousand","775"
"Number of Trips by Irish Residents","2002","Domestic","Mid-West","Thousand","601"
"Number of Trips by Irish Residents","2002","Domestic","South-East","Thousand","585"
"Number of Trips by Irish Residents","2002","Domestic","South-West","Thousand","910"
"Number of Trips by Irish Residents","2002","Outbound","State","Thousand","4597"
"Number of Trips by Irish Residents","2002","Outbound","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2002","Outbound","Border","Thousand","355"
"Number of Trips by Irish Residents","2002","Outbound","Midland","Thousand","179"
"Number of Trips by Irish Residents","2002","Outbound","West","Thousand","320"
"Number of Trips by Irish Residents","2002","Outbound","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2002","Outbound","Dublin","Thousand","1907"
"Number of Trips by Irish Residents","2002","Outbound","Mid-East","Thousand","558"
"Number of Trips by Irish Residents","2002","Outbound","Mid-West","Thousand","317"
"Number of Trips by Irish Residents","2002","Outbound","South-East","Thousand","393"
"Number of Trips by Irish Residents","2002","Outbound","South-West","Thousand","566"
"Number of Trips by Irish Residents","2003","Domestic","State","Thousand","6657"
"Number of Trips by Irish Residents","2003","Domestic","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2003","Domestic","Border","Thousand","546"
"Number of Trips by Irish Residents","2003","Domestic","Midland","Thousand","361"
"Number of Trips by Irish Residents","2003","Domestic","West","Thousand","635"
"Number of Trips by Irish Residents","2003","Domestic","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2003","Domestic","Dublin","Thousand","2220"
"Number of Trips by Irish Residents","2003","Domestic","Mid-East","Thousand","739"
"Number of Trips by Irish Residents","2003","Domestic","Mid-West","Thousand","578"
"Number of Trips by Irish Residents","2003","Domestic","South-East","Thousand","596"
"Number of Trips by Irish Residents","2003","Domestic","South-West","Thousand","983"
"Number of Trips by Irish Residents","2003","Outbound","State","Thousand","4974"
"Number of Trips by Irish Residents","2003","Outbound","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2003","Outbound","Border","Thousand","377"
"Number of Trips by Irish Residents","2003","Outbound","Midland","Thousand","182"
"Number of Trips by Irish Residents","2003","Outbound","West","Thousand","368"
"Number of Trips by Irish Residents","2003","Outbound","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2003","Outbound","Dublin","Thousand","2155"
"Number of Trips by Irish Residents","2003","Outbound","Mid-East","Thousand","643"
"Number of Trips by Irish Residents","2003","Outbound","Mid-West","Thousand","305"
"Number of Trips by Irish Residents","2003","Outbound","South-East","Thousand","352"
"Number of Trips by Irish Residents","2003","Outbound","South-West","Thousand","591"
"Number of Trips by Irish Residents","2004","Domestic","State","Thousand","7001"
"Number of Trips by Irish Residents","2004","Domestic","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2004","Domestic","Border","Thousand","639"
"Number of Trips by Irish Residents","2004","Domestic","Midland","Thousand","402"
"Number of Trips by Irish Residents","2004","Domestic","West","Thousand","644"
"Number of Trips by Irish Residents","2004","Domestic","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2004","Domestic","Dublin","Thousand","2193"
"Number of Trips by Irish Residents","2004","Domestic","Mid-East","Thousand","804"
"Number of Trips by Irish Residents","2004","Domestic","Mid-West","Thousand","615"
"Number of Trips by Irish Residents","2004","Domestic","South-East","Thousand","634"
"Number of Trips by Irish Residents","2004","Domestic","South-West","Thousand","1070"
"Number of Trips by Irish Residents","2004","Outbound","State","Thousand","5465"
"Number of Trips by Irish Residents","2004","Outbound","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2004","Outbound","Border","Thousand","442"
"Number of Trips by Irish Residents","2004","Outbound","Midland","Thousand","244"
"Number of Trips by Irish Residents","2004","Outbound","West","Thousand","401"
"Number of Trips by Irish Residents","2004","Outbound","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2004","Outbound","Dublin","Thousand","2217"
"Number of Trips by Irish Residents","2004","Outbound","Mid-East","Thousand","688"
"Number of Trips by Irish Residents","2004","Outbound","Mid-West","Thousand","378"
"Number of Trips by Irish Residents","2004","Outbound","South-East","Thousand","390"
"Number of Trips by Irish Residents","2004","Outbound","South-West","Thousand","705"
"Number of Trips by Irish Residents","2005","Domestic","State","Thousand","7173"
"Number of Trips by Irish Residents","2005","Domestic","Border, Midland and Western","Thousand","1789"
"Number of Trips by Irish Residents","2005","Domestic","Border","Thousand","642"
"Number of Trips by Irish Residents","2005","Domestic","Midland","Thousand","372"
"Number of Trips by Irish Residents","2005","Domestic","West","Thousand","775"
"Number of Trips by Irish Residents","2005","Domestic","Southern and Eastern","Thousand","5384"
"Number of Trips by Irish Residents","2005","Domestic","Dublin","Thousand","2168"
"Number of Trips by Irish Residents","2005","Domestic","Mid-East","Thousand","770"
"Number of Trips by Irish Residents","2005","Domestic","Mid-West","Thousand","669"
"Number of Trips by Irish Residents","2005","Domestic","South-East","Thousand","751"
"Number of Trips by Irish Residents","2005","Domestic","South-West","Thousand","1026"
"Number of Trips by Irish Residents","2005","Outbound","State","Thousand","6189"
"Number of Trips by Irish Residents","2005","Outbound","Border, Midland and Western","Thousand","1329"
"Number of Trips by Irish Residents","2005","Outbound","Border","Thousand","548"
"Number of Trips by Irish Residents","2005","Outbound","Midland","Thousand","256"
"Number of Trips by Irish Residents","2005","Outbound","West","Thousand","525"
"Number of Trips by Irish Residents","2005","Outbound","Southern and Eastern","Thousand","4860"
"Number of Trips by Irish Residents","2005","Outbound","Dublin","Thousand","2374"
"Number of Trips by Irish Residents","2005","Outbound","Mid-East","Thousand","720"
"Number of Trips by Irish Residents","2005","Outbound","Mid-West","Thousand","438"
"Number of Trips by Irish Residents","2005","Outbound","South-East","Thousand","534"
"Number of Trips by Irish Residents","2005","Outbound","South-West","Thousand","795"
"Number of Trips by Irish Residents","2006","Domestic","State","Thousand","7310"
"Number of Trips by Irish Residents","2006","Domestic","Border, Midland and Western","Thousand","1813"
"Number of Trips by Irish Residents","2006","Domestic","Border","Thousand","683"
"Number of Trips by Irish Residents","2006","Domestic","Midland","Thousand","390"
"Number of Trips by Irish Residents","2006","Domestic","West","Thousand","740"
"Number of Trips by Irish Residents","2006","Domestic","Southern and Eastern","Thousand","5497"
"Number of Trips by Irish Residents","2006","Domestic","Dublin","Thousand","2245"
"Number of Trips by Irish Residents","2006","Domestic","Mid-East","Thousand","773"
"Number of Trips by Irish Residents","2006","Domestic","Mid-West","Thousand","655"
"Number of Trips by Irish Residents","2006","Domestic","South-East","Thousand","719"
"Number of Trips by Irish Residents","2006","Domestic","South-West","Thousand","1105"
"Number of Trips by Irish Residents","2006","Outbound","State","Thousand","6981"
"Number of Trips by Irish Residents","2006","Outbound","Border, Midland and Western","Thousand","1485"
"Number of Trips by Irish Residents","2006","Outbound","Border","Thousand","609"
"Number of Trips by Irish Residents","2006","Outbound","Midland","Thousand","325"
"Number of Trips by Irish Residents","2006","Outbound","West","Thousand","551"
"Number of Trips by Irish Residents","2006","Outbound","Southern and Eastern","Thousand","5496"
"Number of Trips by Irish Residents","2006","Outbound","Dublin","Thousand","2750"
"Number of Trips by Irish Residents","2006","Outbound","Mid-East","Thousand","800"
"Number of Trips by Irish Residents","2006","Outbound","Mid-West","Thousand","481"
"Number of Trips by Irish Residents","2006","Outbound","South-East","Thousand","596"
"Number of Trips by Irish Residents","2006","Outbound","South-West","Thousand","869"
"Number of Trips by Irish Residents","2007","Domestic","State","Thousand","7942"
"Number of Trips by Irish Residents","2007","Domestic","Border, Midland and Western","Thousand","1865"
"Number of Trips by Irish Residents","2007","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2007","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2007","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2007","Domestic","Southern and Eastern","Thousand","6077"
"Number of Trips by Irish Residents","2007","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2007","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2007","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2007","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2007","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2007","Outbound","State","Thousand","7830"
"Number of Trips by Irish Residents","2007","Outbound","Border, Midland and Western","Thousand","1619"
"Number of Trips by Irish Residents","2007","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2007","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2007","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2007","Outbound","Southern and Eastern","Thousand","6211"
"Number of Trips by Irish Residents","2007","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2007","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2007","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2007","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2007","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2008","Domestic","State","Thousand","8339"
"Number of Trips by Irish Residents","2008","Domestic","Border, Midland and Western","Thousand","1933"
"Number of Trips by Irish Residents","2008","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2008","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2008","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2008","Domestic","Southern and Eastern","Thousand","6406"
"Number of Trips by Irish Residents","2008","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2008","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2008","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2008","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2008","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2008","Outbound","State","Thousand","8042"
"Number of Trips by Irish Residents","2008","Outbound","Border, Midland and Western","Thousand","1658"
"Number of Trips by Irish Residents","2008","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2008","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2008","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2008","Outbound","Southern and Eastern","Thousand","6384"
"Number of Trips by Irish Residents","2008","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2008","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2008","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2008","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2008","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2009","Domestic","State","Thousand","8340"
"Number of Trips by Irish Residents","2009","Domestic","Border, Midland and Western","Thousand","2074"
"Number of Trips by Irish Residents","2009","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2009","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2009","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2009","Domestic","Southern and Eastern","Thousand","6266"
"Number of Trips by Irish Residents","2009","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2009","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2009","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2009","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2009","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2009","Outbound","State","Thousand","7292"
"Number of Trips by Irish Residents","2009","Outbound","Border, Midland and Western","Thousand","1551"
"Number of Trips by Irish Residents","2009","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2009","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2009","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2009","Outbound","Southern and Eastern","Thousand","5740"
"Number of Trips by Irish Residents","2009","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2009","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2009","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2009","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2009","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2010","Domestic","State","Thousand","7300"
"Number of Trips by Irish Residents","2010","Domestic","Border, Midland and Western","Thousand","1727"
"Number of Trips by Irish Residents","2010","Domestic","Border","Thousand","602"
"Number of Trips by Irish Residents","2010","Domestic","Midland","Thousand","369"
"Number of Trips by Irish Residents","2010","Domestic","West","Thousand","756"
"Number of Trips by Irish Residents","2010","Domestic","Southern and Eastern","Thousand","5572"
"Number of Trips by Irish Residents","2010","Domestic","Dublin","Thousand","2114"
"Number of Trips by Irish Residents","2010","Domestic","Mid-East","Thousand","871"
"Number of Trips by Irish Residents","2010","Domestic","Mid-West","Thousand","633"
"Number of Trips by Irish Residents","2010","Domestic","South-East","Thousand","738"
"Number of Trips by Irish Residents","2010","Domestic","South-West","Thousand","1217"
"Number of Trips by Irish Residents","2010","Outbound","State","Thousand","6917"
"Number of Trips by Irish Residents","2010","Outbound","Border, Midland and Western","Thousand","1513"
"Number of Trips by Irish Residents","2010","Outbound","Border","Thousand","627"
"Number of Trips by Irish Residents","2010","Outbound","Midland","Thousand","361"
"Number of Trips by Irish Residents","2010","Outbound","West","Thousand","524"
"Number of Trips by Irish Residents","2010","Outbound","Southern and Eastern","Thousand","5404"
"Number of Trips by Irish Residents","2010","Outbound","Dublin","Thousand","2408"
"Number of Trips by Irish Residents","2010","Outbound","Mid-East","Thousand","987"
"Number of Trips by Irish Residents","2010","Outbound","Mid-West","Thousand","965"
"Number of Trips by Irish Residents","2010","Outbound","South-East","Thousand","464"
"Number of Trips by Irish Residents","2010","Outbound","South-West","Thousand","581"
"Number of Trips by Irish Residents","2011","Domestic","State","Thousand","7169"
"Number of Trips by Irish Residents","2011","Domestic","Border, Midland and Western","Thousand","1663"
"Number of Trips by Irish Residents","2011","Domestic","Border","Thousand","565"
"Number of Trips by Irish Residents","2011","Domestic","Midland","Thousand","419"
"Number of Trips by Irish Residents","2011","Domestic","West","Thousand","680"
"Number of Trips by Irish Residents","2011","Domestic","Southern and Eastern","Thousand","5506"
"Number of Trips by Irish Residents","2011","Domestic","Dublin","Thousand","2178"
"Number of Trips by Irish Residents","2011","Domestic","Mid-East","Thousand","880"
"Number of Trips by Irish Residents","2011","Domestic","Mid-West","Thousand","643"
"Number of Trips by Irish Residents","2011","Domestic","South-East","Thousand","715"
"Number of Trips by Irish Residents","2011","Domestic","South-West","Thousand","1089"
"Number of Trips by Irish Residents","2011","Outbound","State","Thousand","6514"
"Number of Trips by Irish Residents","2011","Outbound","Border, Midland and Western","Thousand","1375"
"Number of Trips by Irish Residents","2011","Outbound","Border","Thousand","579"
"Number of Trips by Irish Residents","2011","Outbound","Midland","Thousand","294"
"Number of Trips by Irish Residents","2011","Outbound","West","Thousand","502"
"Number of Trips by Irish Residents","2011","Outbound","Southern and Eastern","Thousand","5139"
"Number of Trips by Irish Residents","2011","Outbound","Dublin","Thousand","2453"
"Number of Trips by Irish Residents","2011","Outbound","Mid-East","Thousand","848"
"Number of Trips by Irish Residents","2011","Outbound","Mid-West","Thousand","849"
"Number of Trips by Irish Residents","2011","Outbound","South-East","Thousand","481"
"Number of Trips by Irish Residents","2011","Outbound","South-West","Thousand","509"
"Number of Trips by Irish Residents","2012","Domestic","State","Thousand","8291"
"Number of Trips by Irish Residents","2012","Domestic","Border, Midland and Western","Thousand","2143"
"Number of Trips by Irish Residents","2012","Domestic","Border","Thousand","779"
"Number of Trips by Irish Residents","2012","Domestic","Midland","Thousand","420"
"Number of Trips by Irish Residents","2012","Domestic","West","Thousand","945"
"Number of Trips by Irish Residents","2012","Domestic","Southern and Eastern","Thousand","6148"
"Number of Trips by Irish Residents","2012","Domestic","Dublin","Thousand","2416"
"Number of Trips by Irish Residents","2012","Domestic","Mid-East","Thousand","956"
"Number of Trips by Irish Residents","2012","Domestic","Mid-West","Thousand","764"
"Number of Trips by Irish Residents","2012","Domestic","South-East","Thousand","804"
"Number of Trips by Irish Residents","2012","Domestic","South-West","Thousand","1208"
"Number of Trips by Irish Residents","2012","Outbound","State","Thousand","6623"
"Number of Trips by Irish Residents","2012","Outbound","Border, Midland and Western","Thousand","1310"
"Number of Trips by Irish Residents","2012","Outbound","Border","Thousand","506"
"Number of Trips by Irish Residents","2012","Outbound","Midland","Thousand","317"
"Number of Trips by Irish Residents","2012","Outbound","West","Thousand","487"
"Number of Trips by Irish Residents","2012","Outbound","Southern and Eastern","Thousand","5313"
"Number of Trips by Irish Residents","2012","Outbound","Dublin","Thousand","2618"
"Number of Trips by Irish Residents","2012","Outbound","Mid-East","Thousand","792"
"Number of Trips by Irish Residents","2012","Outbound","Mid-West","Thousand","438"
"Number of Trips by Irish Residents","2012","Outbound","South-East","Thousand","591"
"Number of Trips by Irish Residents","2012","Outbound","South-West","Thousand","873"
"Number of Trips by Irish Residents","2013","Domestic","State","Thousand","8413"
"Number of Trips by Irish Residents","2013","Domestic","Border, Midland and Western","Thousand","1900"
"Number of Trips by Irish Residents","2013","Domestic","Border","Thousand","701"
"Number of Trips by Irish Residents","2013","Domestic","Midland","Thousand","420"
"Number of Trips by Irish Residents","2013","Domestic","West","Thousand","779"
"Number of Trips by Irish Residents","2013","Domestic","Southern and Eastern","Thousand","6513"
"Number of Trips by Irish Residents","2013","Domestic","Dublin","Thousand","2692"
"Number of Trips by Irish Residents","2013","Domestic","Mid-East","Thousand","1086"
"Number of Trips by Irish Residents","2013","Domestic","Mid-West","Thousand","724"
"Number of Trips by Irish Residents","2013","Domestic","South-East","Thousand","831"
"Number of Trips by Irish Residents","2013","Domestic","South-West","Thousand","1179"
"Number of Trips by Irish Residents","2013","Outbound","State","Thousand","6575"
"Number of Trips by Irish Residents","2013","Outbound","Border, Midland and Western","Thousand","1334"
"Number of Trips by Irish Residents","2013","Outbound","Border","Thousand","643"
"Number of Trips by Irish Residents","2013","Outbound","Midland","Thousand","224"
"Number of Trips by Irish Residents","2013","Outbound","West","Thousand","468"
"Number of Trips by Irish Residents","2013","Outbound","Southern and Eastern","Thousand","5241"
"Number of Trips by Irish Residents","2013","Outbound","Dublin","Thousand","2563"
"Number of Trips by Irish Residents","2013","Outbound","Mid-East","Thousand","830"
"Number of Trips by Irish Residents","2013","Outbound","Mid-West","Thousand","508"
"Number of Trips by Irish Residents","2013","Outbound","South-East","Thousand","501"
"Number of Trips by Irish Residents","2013","Outbound","South-West","Thousand","839"
"Number of Trips by Irish Residents","2014","Domestic","State","Thousand","8991"
"Number of Trips by Irish Residents","2014","Domestic","Border, Midland and Western","Thousand","2085"
"Number of Trips by Irish Residents","2014","Domestic","Border","Thousand","794"
"Number of Trips by Irish Residents","2014","Domestic","Midland","Thousand","403"
"Number of Trips by Irish Residents","2014","Domestic","West","Thousand","888"
"Number of Trips by Irish Residents","2014","Domestic","Southern and Eastern","Thousand","6906"
"Number of Trips by Irish Residents","2014","Domestic","Dublin","Thousand","2720"
"Number of Trips by Irish Residents","2014","Domestic","Mid-East","Thousand","1201"
"Number of Trips by Irish Residents","2014","Domestic","Mid-West","Thousand","779"
"Number of Trips by Irish Residents","2014","Domestic","South-East","Thousand","876"
"Number of Trips by Irish Residents","2014","Domestic","South-West","Thousand","1330"
"Number of Trips by Irish Residents","2014","Outbound","State","Thousand","6677"
"Number of Trips by Irish Residents","2014","Outbound","Border, Midland and Western","Thousand","1415"
"Number of Trips by Irish Residents","2014","Outbound","Border","Thousand","558"
"Number of Trips by Irish Residents","2014","Outbound","Midland","Thousand","288"
"Number of Trips by Irish Residents","2014","Outbound","West","Thousand","568"
"Number of Trips by Irish Residents","2014","Outbound","Southern and Eastern","Thousand","5263"
"Number of Trips by Irish Residents","2014","Outbound","Dublin","Thousand","2694"
"Number of Trips by Irish Residents","2014","Outbound","Mid-East","Thousand","746"
"Number of Trips by Irish Residents","2014","Outbound","Mid-West","Thousand","395"
"Number of Trips by Irish Residents","2014","Outbound","South-East","Thousand","596"
"Number of Trips by Irish Residents","2014","Outbound","South-West","Thousand","831"
"Number of Trips by Irish Residents","2015","Domestic","State","Thousand","9125"
"Number of Trips by Irish Residents","2015","Domestic","Border, Midland and Western","Thousand","2155"
"Number of Trips by Irish Residents","2015","Domestic","Border","Thousand","770"
"Number of Trips by Irish Residents","2015","Domestic","Midland","Thousand","513"
"Number of Trips by Irish Residents","2015","Domestic","West","Thousand","872"
"Number of Trips by Irish Residents","2015","Domestic","Southern and Eastern","Thousand","6970"
"Number of Trips by Irish Residents","2015","Domestic","Dublin","Thousand","2820"
"Number of Trips by Irish Residents","2015","Domestic","Mid-East","Thousand","1244"
"Number of Trips by Irish Residents","2015","Domestic","Mid-West","Thousand","758"
"Number of Trips by Irish Residents","2015","Domestic","South-East","Thousand","909"
"Number of Trips by Irish Residents","2015","Domestic","South-West","Thousand","1238"
"Number of Trips by Irish Residents","2015","Outbound","State","Thousand","7094"
"Number of Trips by Irish Residents","2015","Outbound","Border, Midland and Western","Thousand","1542"
"Number of Trips by Irish Residents","2015","Outbound","Border","Thousand","607"
"Number of Trips by Irish Residents","2015","Outbound","Midland","Thousand","378"
"Number of Trips by Irish Residents","2015","Outbound","West","Thousand","557"
"Number of Trips by Irish Residents","2015","Outbound","Southern and Eastern","Thousand","5552"
"Number of Trips by Irish Residents","2015","Outbound","Dublin","Thousand","2706"
"Number of Trips by Irish Residents","2015","Outbound","Mid-East","Thousand","910"
"Number of Trips by Irish Residents","2015","Outbound","Mid-West","Thousand","481"
"Number of Trips by Irish Residents","2015","Outbound","South-East","Thousand","601"
"Number of Trips by Irish Residents","2015","Outbound","South-West","Thousand","853"
"Number of Trips by Irish Residents","2016","Domestic","State","Thousand","9359"
"Number of Trips by Irish Residents","2016","Domestic","Border, Midland and Western","Thousand","2132"
"Number of Trips by Irish Residents","2016","Domestic","Border","Thousand","805"
"Number of Trips by Irish Residents","2016","Domestic","Midland","Thousand","468"
"Number of Trips by Irish Residents","2016","Domestic","West","Thousand","858"
"Number of Trips by Irish Residents","2016","Domestic","Southern and Eastern","Thousand","7227"
"Number of Trips by Irish Residents","2016","Domestic","Dublin","Thousand","2863"
"Number of Trips by Irish Residents","2016","Domestic","Mid-East","Thousand","1114"
"Number of Trips by Irish Residents","2016","Domestic","Mid-West","Thousand","832"
"Number of Trips by Irish Residents","2016","Domestic","South-East","Thousand","990"
"Number of Trips by Irish Residents","2016","Domestic","South-West","Thousand","1429"
"Number of Trips by Irish Residents","2016","Outbound","State","Thousand","7644"
"Number of Trips by Irish Residents","2016","Outbound","Border, Midland and Western","Thousand","1576"
"Number of Trips by Irish Residents","2016","Outbound","Border","Thousand","656"
"Number of Trips by Irish Residents","2016","Outbound","Midland","Thousand","333"
"Number of Trips by Irish Residents","2016","Outbound","West","Thousand","587"
"Number of Trips by Irish Residents","2016","Outbound","Southern and Eastern","Thousand","6068"
"Number of Trips by Irish Residents","2016","Outbound","Dublin","Thousand","3002"
"Number of Trips by Irish Residents","2016","Outbound","Mid-East","Thousand","1009"
"Number of Trips by Irish Residents","2016","Outbound","Mid-West","Thousand","563"
"Number of Trips by Irish Residents","2016","Outbound","South-East","Thousand","632"
"Number of Trips by Irish Residents","2016","Outbound","South-West","Thousand","863"
"Number of Trips by Irish Residents","2017","Domestic","State","Thousand","9626"
"Number of Trips by Irish Residents","2017","Domestic","Border, Midland and Western","Thousand","2281"
"Number of Trips by Irish Residents","2017","Domestic","Border","Thousand","867"
"Number of Trips by Irish Residents","2017","Domestic","Midland","Thousand","461"
"Number of Trips by Irish Residents","2017","Domestic","West","Thousand","952"
"Number of Trips by Irish Residents","2017","Domestic","Southern and Eastern","Thousand","7346"
"Number of Trips by Irish Residents","2017","Domestic","Dublin","Thousand","2750"
"Number of Trips by Irish Residents","2017","Domestic","Mid-East","Thousand","1180"
"Number of Trips by Irish Residents","2017","Domestic","Mid-West","Thousand","812"
"Number of Trips by Irish Residents","2017","Domestic","South-East","Thousand","1022"
"Number of Trips by Irish Residents","2017","Domestic","South-West","Thousand","1581"
