"Statistic Label","Year","Age Group","Domestic","UNIT","VALUE"
"Number of Trips by Irish Residents","2003","30 - 39 years","Domestic","Thousand","1364"
"Number of Trips by Irish Residents","2003","30 - 39 years","Outbound","Thousand","934"
"Number of Trips by Irish Residents","2003","40 - 49 years","Domestic","Thousand","1320"
"Number of Trips by Irish Residents","2003","40 - 49 years","Outbound","Thousand","1039"
"Number of Trips by Irish Residents","2003","50 years and over","Domestic","Thousand",""
"Number of Trips by Irish Residents","2003","50 years and over","Outbound","Thousand",""
"Number of Trips by Irish Residents","2003","50 - 59 years","Domestic","Thousand","769"
"Number of Trips by Irish Residents","2003","50 - 59 years","Outbound","Thousand","719"
"Number of Trips by Irish Residents","2003","60 - 69 years","Domestic","Thousand","498"
"Number of Trips by Irish Residents","2003","60 - 69 years","Outbound","Thousand","418"
"Number of Trips by Irish Residents","2003","70 years and over","Domestic","Thousand","307"
"Number of Trips by Irish Residents","2003","70 years and over","Outbound","Thousand","180"
"Number of Trips by Irish Residents","2003","All ages","Domestic","Thousand","6657"
"Number of Trips by Irish Residents","2003","All ages","Outbound","Thousand","4974"
"Number of Trips by Irish Residents","2004","0 - 14 years","Domestic","Thousand","1553"
"Number of Trips by Irish Residents","2004","0 - 14 years","Outbound","Thousand","846"
"Number of Trips by Irish Residents","2004","0 - 19 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2004","0 - 19 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2004","15 - 19 years","Domestic","Thousand","294"
"Number of Trips by Irish Residents","2004","15 - 19 years","Outbound","Thousand","267"
"Number of Trips by Irish Residents","2004","20 - 29 years","Domestic","Thousand","682"
"Number of Trips by Irish Residents","2004","20 - 29 years","Outbound","Thousand","656"
"Number of Trips by Irish Residents","2004","20 - 49 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2004","20 - 49 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2004","30 - 39 years","Domestic","Thousand","1399"
"Number of Trips by Irish Residents","2004","30 - 39 years","Outbound","Thousand","1043"
"Number of Trips by Irish Residents","2004","40 - 49 years","Domestic","Thousand","1418"
"Number of Trips by Irish Residents","2004","40 - 49 years","Outbound","Thousand","1169"
"Number of Trips by Irish Residents","2004","50 years and over","Domestic","Thousand",""
"Number of Trips by Irish Residents","2004","50 years and over","Outbound","Thousand",""
"Number of Trips by Irish Residents","2004","50 - 59 years","Domestic","Thousand","771"
"Number of Trips by Irish Residents","2004","50 - 59 years","Outbound","Thousand","795"
"Number of Trips by Irish Residents","2004","60 - 69 years","Domestic","Thousand","520"
"Number of Trips by Irish Residents","2004","60 - 69 years","Outbound","Thousand","466"
"Number of Trips by Irish Residents","2004","70 years and over","Domestic","Thousand","363"
"Number of Trips by Irish Residents","2004","70 years and over","Outbound","Thousand","223"
"Number of Trips by Irish Residents","2004","All ages","Domestic","Thousand","7001"
"Number of Trips by Irish Residents","2004","All ages","Outbound","Thousand","5465"
"Number of Trips by Irish Residents","2005","0 - 14 years","Domestic","Thousand","1471"
"Number of Trips by Irish Residents","2005","0 - 14 years","Outbound","Thousand","853"
"Number of Trips by Irish Residents","2005","0 - 19 years","Domestic","Thousand","1755"
"Number of Trips by Irish Residents","2005","0 - 19 years","Outbound","Thousand","1178"
"Number of Trips by Irish Residents","2005","15 - 19 years","Domestic","Thousand","284"
"Number of Trips by Irish Residents","2005","15 - 19 years","Outbound","Thousand","325"
"Number of Trips by Irish Residents","2005","20 - 29 years","Domestic","Thousand","672"
"Number of Trips by Irish Residents","2005","20 - 29 years","Outbound","Thousand","739"
"Number of Trips by Irish Residents","2005","20 - 49 years","Domestic","Thousand","3526"
"Number of Trips by Irish Residents","2005","20 - 49 years","Outbound","Thousand","3105"
"Number of Trips by Irish Residents","2005","30 - 39 years","Domestic","Thousand","1386"
"Number of Trips by Irish Residents","2005","30 - 39 years","Outbound","Thousand","1034"
"Number of Trips by Irish Residents","2005","40 - 49 years","Domestic","Thousand","1468"
"Number of Trips by Irish Residents","2005","40 - 49 years","Outbound","Thousand","1332"
"Number of Trips by Irish Residents","2005","50 years and over","Domestic","Thousand","1893"
"Number of Trips by Irish Residents","2005","50 years and over","Outbound","Thousand","1910"
"Number of Trips by Irish Residents","2005","50 - 59 years","Domestic","Thousand","895"
"Number of Trips by Irish Residents","2005","50 - 59 years","Outbound","Thousand","1035"
"Number of Trips by Irish Residents","2005","60 - 69 years","Domestic","Thousand","586"
"Number of Trips by Irish Residents","2005","60 - 69 years","Outbound","Thousand","571"
"Number of Trips by Irish Residents","2005","70 years and over","Domestic","Thousand","412"
"Number of Trips by Irish Residents","2005","70 years and over","Outbound","Thousand","304"
"Number of Trips by Irish Residents","2005","All ages","Domestic","Thousand","7173"
"Number of Trips by Irish Residents","2005","All ages","Outbound","Thousand","6189"
"Number of Trips by Irish Residents","2006","0 - 14 years","Domestic","Thousand","1408"
"Number of Trips by Irish Residents","2006","0 - 14 years","Outbound","Thousand","928"
"Number of Trips by Irish Residents","2006","0 - 19 years","Domestic","Thousand","1716"
"Number of Trips by Irish Residents","2006","0 - 19 years","Outbound","Thousand","1313"
"Number of Trips by Irish Residents","2006","15 - 19 years","Domestic","Thousand","308"
"Number of Trips by Irish Residents","2006","15 - 19 years","Outbound","Thousand","385"
"Number of Trips by Irish Residents","2006","20 - 29 years","Domestic","Thousand","594"
"Number of Trips by Irish Residents","2006","20 - 29 years","Outbound","Thousand","792"
"Number of Trips by Irish Residents","2006","20 - 49 years","Domestic","Thousand","3209"
"Number of Trips by Irish Residents","2006","20 - 49 years","Outbound","Thousand","3211"
"Number of Trips by Irish Residents","2006","30 - 39 years","Domestic","Thousand","1035"
"Number of Trips by Irish Residents","2006","30 - 39 years","Outbound","Thousand","866"
