"Statistic Label","Year","Age Group","Domestic","UNIT","VALUE"
"Number of Trips by Irish Residents","2014","70 years and over","Domestic","Thousand",""
"Number of Trips by Irish Residents","2014","70 years and over","Outbound","Thousand",""
"Number of Trips by Irish Residents","2014","All ages","Domestic","Thousand","8991"
"Number of Trips by Irish Residents","2014","All ages","Outbound","Thousand","6677"
"Number of Trips by Irish Residents","2015","0 - 14 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2015","0 - 14 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2015","0 - 19 years","Domestic","Thousand","2599"
"Number of Trips by Irish Residents","2015","0 - 19 years","Outbound","Thousand","1493"
"Number of Trips by Irish Residents","2015","15 - 19 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2015","15 - 19 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2015","20 - 29 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2015","20 - 29 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2015","20 - 49 years","Domestic","Thousand","3929"
"Number of Trips by Irish Residents","2015","20 - 49 years","Outbound","Thousand","3383"
"Number of Trips by Irish Residents","2015","30 - 39 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2015","30 - 39 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2015","40 - 49 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2015","40 - 49 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2015","50 years and over","Domestic","Thousand","2597"
"Number of Trips by Irish Residents","2015","50 years and over","Outbound","Thousand","2218"
"Number of Trips by Irish Residents","2015","50 - 59 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2015","50 - 59 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2015","60 - 69 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2015","60 - 69 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2015","70 years and over","Domestic","Thousand",""
"Number of Trips by Irish Residents","2015","70 years and over","Outbound","Thousand",""
"Number of Trips by Irish Residents","2015","All ages","Domestic","Thousand","9125"
"Number of Trips by Irish Residents","2015","All ages","Outbound","Thousand","7094"
"Number of Trips by Irish Residents","2016","0 - 14 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2016","0 - 14 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2016","0 - 19 years","Domestic","Thousand","2503"
"Number of Trips by Irish Residents","2016","0 - 19 years","Outbound","Thousand","1593"
"Number of Trips by Irish Residents","2016","15 - 19 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2016","15 - 19 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2016","20 - 29 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2016","20 - 29 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2016","20 - 49 years","Domestic","Thousand","4175"
"Number of Trips by Irish Residents","2016","20 - 49 years","Outbound","Thousand","3692"
"Number of Trips by Irish Residents","2016","30 - 39 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2016","30 - 39 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2016","40 - 49 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2016","40 - 49 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2016","50 years and over","Domestic","Thousand","2680"
"Number of Trips by Irish Residents","2016","50 years and over","Outbound","Thousand","2359"
"Number of Trips by Irish Residents","2016","50 - 59 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2016","50 - 59 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2016","60 - 69 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2016","60 - 69 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2016","70 years and over","Domestic","Thousand",""
"Number of Trips by Irish Residents","2016","70 years and over","Outbound","Thousand",""
"Number of Trips by Irish Residents","2016","All ages","Domestic","Thousand","9359"
"Number of Trips by Irish Residents","2016","All ages","Outbound","Thousand","7644"
"Number of Trips by Irish Residents","2017","0 - 14 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2017","0 - 14 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2017","0 - 19 years","Domestic","Thousand","2546"
"Number of Trips by Irish Residents","2017","0 - 19 years","Outbound","Thousand","1673"
"Number of Trips by Irish Residents","2017","15 - 19 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2017","15 - 19 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2017","20 - 29 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2017","20 - 29 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2017","20 - 49 years","Domestic","Thousand","4205"
"Number of Trips by Irish Residents","2017","20 - 49 years","Outbound","Thousand","3938"
"Number of Trips by Irish Residents","2017","30 - 39 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2017","30 - 39 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2017","40 - 49 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2017","40 - 49 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2017","50 years and over","Domestic","Thousand","2875"
"Number of Trips by Irish Residents","2017","50 years and over","Outbound","Thousand","2560"
"Number of Trips by Irish Residents","2017","50 - 59 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2017","50 - 59 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2017","60 - 69 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2017","60 - 69 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2017","70 years and over","Domestic","Thousand",""
"Number of Trips by Irish Residents","2017","70 years and over","Outbound","Thousand",""
"Number of Trips by Irish Residents","2017","All ages","Domestic","Thousand","9626"
"Number of Trips by Irish Residents","2017","All ages","Outbound","Thousand","8171"
"Number of Trips by Irish Residents","2018","0 - 14 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2018","0 - 14 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2018","0 - 19 years","Domestic","Thousand","2869"
"Number of Trips by Irish Residents","2018","0 - 19 years","Outbound","Thousand","1808"
"Number of Trips by Irish Residents","2018","15 - 19 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2018","15 - 19 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2018","20 - 29 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2018","20 - 29 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2018","20 - 49 years","Domestic","Thousand","4789"
"Number of Trips by Irish Residents","2018","20 - 49 years","Outbound","Thousand","4171"
"Number of Trips by Irish Residents","2018","30 - 39 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2018","30 - 39 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2018","40 - 49 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2018","40 - 49 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2018","50 years and over","Domestic","Thousand","3261"
"Number of Trips by Irish Residents","2018","50 years and over","Outbound","Thousand","2664"
"Number of Trips by Irish Residents","2018","50 - 59 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2018","50 - 59 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2018","60 - 69 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2018","60 - 69 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2018","70 years and over","Domestic","Thousand",""
"Number of Trips by Irish Residents","2018","70 years and over","Outbound","Thousand",""
"Number of Trips by Irish Residents","2018","All ages","Domestic","Thousand","10919"
"Number of Trips by Irish Residents","2018","All ages","Outbound","Thousand","8643"
"Number of Trips by Irish Residents","2019","0 - 14 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2019","0 - 14 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2019","0 - 19 years","Domestic","Thousand","3063"
"Number of Trips by Irish Residents","2019","0 - 19 years","Outbound","Thousand","1956"
"Number of Trips by Irish Residents","2019","15 - 19 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2019","15 - 19 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2019","20 - 29 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2019","20 - 29 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2019","20 - 49 years","Domestic","Thousand","4981"
"Number of Trips by Irish Residents","2019","20 - 49 years","Outbound","Thousand","4436"
"Number of Trips by Irish Residents","2019","30 - 39 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2019","30 - 39 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2019","40 - 49 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2019","40 - 49 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2019","50 years and over","Domestic","Thousand","3577"
"Number of Trips by Irish Residents","2019","50 years and over","Outbound","Thousand","2958"
"Number of Trips by Irish Residents","2019","50 - 59 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2019","50 - 59 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2019","60 - 69 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2019","60 - 69 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2019","70 years and over","Domestic","Thousand",""
"Number of Trips by Irish Residents","2019","70 years and over","Outbound","Thousand",""
"Number of Trips by Irish Residents","2019","All ages","Domestic","Thousand","11621"
"Number of Trips by Irish Residents","2019","All ages","Outbound","Thousand","9350"
"Number of Trips by Irish Residents","2020","0 - 14 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2020","0 - 14 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020","0 - 19 years","Domestic","Thousand","2018"
"Number of Trips by Irish Residents","2020","0 - 19 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020","15 - 19 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2020","15 - 19 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020","20 - 29 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2020","20 - 29 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020","20 - 49 years","Domestic","Thousand","3502"
"Number of Trips by Irish Residents","2020","20 - 49 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020","30 - 39 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2020","30 - 39 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020","40 - 49 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2020","40 - 49 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020","50 years and over","Domestic","Thousand","2201"
"Number of Trips by Irish Residents","2020","50 years and over","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020","50 - 59 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2020","50 - 59 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020","60 - 69 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2020","60 - 69 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020","70 years and over","Domestic","Thousand",""
"Number of Trips by Irish Residents","2020","70 years and over","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020","All ages","Domestic","Thousand","7721"
"Number of Trips by Irish Residents","2020","All ages","Outbound","Thousand","2365"
"Number of Trips by Irish Residents","2021","0 - 14 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2021","0 - 14 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2021","0 - 19 years","Domestic","Thousand","1455"
"Number of Trips by Irish Residents","2021","0 - 19 years","Outbound","Thousand","376"
"Number of Trips by Irish Residents","2021","15 - 19 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2021","15 - 19 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2021","20 - 29 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2021","20 - 29 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2021","20 - 49 years","Domestic","Thousand","2500"
"Number of Trips by Irish Residents","2021","20 - 49 years","Outbound","Thousand","1191"
"Number of Trips by Irish Residents","2021","30 - 39 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2021","30 - 39 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2021","40 - 49 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2021","40 - 49 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2021","50 years and over","Domestic","Thousand","1708"
"Number of Trips by Irish Residents","2021","50 years and over","Outbound","Thousand","709"
"Number of Trips by Irish Residents","2021","50 - 59 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2021","50 - 59 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2021","60 - 69 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2021","60 - 69 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2021","70 years and over","Domestic","Thousand",""
"Number of Trips by Irish Residents","2021","70 years and over","Outbound","Thousand",""
"Number of Trips by Irish Residents","2021","All ages","Domestic","Thousand","5663"
"Number of Trips by Irish Residents","2021","All ages","Outbound","Thousand","2276"
"Number of Trips by Irish Residents","2022","0 - 14 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2022","0 - 14 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2022","0 - 19 years","Domestic","Thousand","3321"
"Number of Trips by Irish Residents","2022","0 - 19 years","Outbound","Thousand","1818"
"Number of Trips by Irish Residents","2022","15 - 19 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2022","15 - 19 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2022","20 - 29 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2022","20 - 29 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2022","20 - 49 years","Domestic","Thousand","5585"
"Number of Trips by Irish Residents","2022","20 - 49 years","Outbound","Thousand","4152"
"Number of Trips by Irish Residents","2022","30 - 39 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2022","30 - 39 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2022","40 - 49 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2022","40 - 49 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2022","50 years and over","Domestic","Thousand","4368"
"Number of Trips by Irish Residents","2022","50 years and over","Outbound","Thousand","2576"
"Number of Trips by Irish Residents","2022","50 - 59 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2022","50 - 59 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2022","60 - 69 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2022","60 - 69 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2022","70 years and over","Domestic","Thousand",""
"Number of Trips by Irish Residents","2022","70 years and over","Outbound","Thousand",""
"Number of Trips by Irish Residents","2022","All ages","Domestic","Thousand","13274"
"Number of Trips by Irish Residents","2022","All ages","Outbound","Thousand","8546"
"Number of Nights by Irish Residents","2000","0 - 14 years","Domestic","Thousand","4990"
"Number of Nights by Irish Residents","2000","0 - 14 years","Outbound","Thousand","5406"
"Number of Nights by Irish Residents","2000","0 - 19 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2000","0 - 19 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2000","15 - 19 years","Domestic","Thousand","1144"
"Number of Nights by Irish Residents","2000","15 - 19 years","Outbound","Thousand","2401"
"Number of Nights by Irish Residents","2000","20 - 29 years","Domestic","Thousand","2233"
"Number of Nights by Irish Residents","2000","20 - 29 years","Outbound","Thousand","7052"
"Number of Nights by Irish Residents","2000","20 - 49 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2000","20 - 49 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2000","30 - 39 years","Domestic","Thousand","3482"
"Number of Nights by Irish Residents","2000","30 - 39 years","Outbound","Thousand","5436"
"Number of Nights by Irish Residents","2000","40 - 49 years","Domestic","Thousand","3466"
"Number of Nights by Irish Residents","2000","40 - 49 years","Outbound","Thousand","5470"
"Number of Nights by Irish Residents","2000","50 years and over","Domestic","Thousand",""
"Number of Nights by Irish Residents","2000","50 years and over","Outbound","Thousand",""
"Number of Nights by Irish Residents","2000","50 - 59 years","Domestic","Thousand","2556"
"Number of Nights by Irish Residents","2000","50 - 59 years","Outbound","Thousand","4943"
"Number of Nights by Irish Residents","2000","60 - 69 years","Domestic","Thousand","1667"
"Number of Nights by Irish Residents","2000","60 - 69 years","Outbound","Thousand","3234"
"Number of Nights by Irish Residents","2000","70 years and over","Domestic","Thousand","1165"
"Number of Nights by Irish Residents","2000","70 years and over","Outbound","Thousand","1602"
"Number of Nights by Irish Residents","2000","All ages","Domestic","Thousand","20703"
"Number of Nights by Irish Residents","2000","All ages","Outbound","Thousand","35544"
"Number of Nights by Irish Residents","2001","0 - 14 years","Domestic","Thousand","6159"
"Number of Nights by Irish Residents","2001","0 - 14 years","Outbound","Thousand","6704"
"Number of Nights by Irish Residents","2001","0 - 19 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2001","0 - 19 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2001","15 - 19 years","Domestic","Thousand","1228"
"Number of Nights by Irish Residents","2001","15 - 19 years","Outbound","Thousand","2780"
"Number of Nights by Irish Residents","2001","20 - 29 years","Domestic","Thousand","2312"
"Number of Nights by Irish Residents","2001","20 - 29 years","Outbound","Thousand","6315"
"Number of Nights by Irish Residents","2001","20 - 49 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2001","20 - 49 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2001","30 - 39 years","Domestic","Thousand","4096"
"Number of Nights by Irish Residents","2001","30 - 39 years","Outbound","Thousand","6058"
"Number of Nights by Irish Residents","2001","40 - 49 years","Domestic","Thousand","4432"
"Number of Nights by Irish Residents","2001","40 - 49 years","Outbound","Thousand","7045"
"Number of Nights by Irish Residents","2001","50 years and over","Domestic","Thousand",""
"Number of Nights by Irish Residents","2001","50 years and over","Outbound","Thousand",""
"Number of Nights by Irish Residents","2001","50 - 59 years","Domestic","Thousand","2384"
"Number of Nights by Irish Residents","2001","50 - 59 years","Outbound","Thousand","4662"
"Number of Nights by Irish Residents","2001","60 - 69 years","Domestic","Thousand","1377"
"Number of Nights by Irish Residents","2001","60 - 69 years","Outbound","Thousand","2825"
"Number of Nights by Irish Residents","2001","70 years and over","Domestic","Thousand","1220"
"Number of Nights by Irish Residents","2001","70 years and over","Outbound","Thousand","1564"
"Number of Nights by Irish Residents","2001","All ages","Domestic","Thousand","23207"
"Number of Nights by Irish Residents","2001","All ages","Outbound","Thousand","37953"
"Number of Nights by Irish Residents","2002","0 - 14 years","Domestic","Thousand","5585"
"Number of Nights by Irish Residents","2002","0 - 14 years","Outbound","Thousand","6513"
"Number of Nights by Irish Residents","2002","0 - 19 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2002","0 - 19 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2002","15 - 19 years","Domestic","Thousand","1373"
"Number of Nights by Irish Residents","2002","15 - 19 years","Outbound","Thousand","2818"
"Number of Nights by Irish Residents","2002","20 - 29 years","Domestic","Thousand","2368"
"Number of Nights by Irish Residents","2002","20 - 29 years","Outbound","Thousand","6896"
"Number of Nights by Irish Residents","2002","20 - 49 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2002","20 - 49 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2002","30 - 39 years","Domestic","Thousand","3962"
"Number of Nights by Irish Residents","2002","30 - 39 years","Outbound","Thousand","7022"
"Number of Nights by Irish Residents","2002","40 - 49 years","Domestic","Thousand","4151"
"Number of Nights by Irish Residents","2002","40 - 49 years","Outbound","Thousand","7230"
"Number of Nights by Irish Residents","2002","50 years and over","Domestic","Thousand",""
"Number of Nights by Irish Residents","2002","50 years and over","Outbound","Thousand",""
"Number of Nights by Irish Residents","2002","50 - 59 years","Domestic","Thousand","2194"
"Number of Nights by Irish Residents","2002","50 - 59 years","Outbound","Thousand","4925"
"Number of Nights by Irish Residents","2002","60 - 69 years","Domestic","Thousand","1462"
"Number of Nights by Irish Residents","2002","60 - 69 years","Outbound","Thousand","3443"
"Number of Nights by Irish Residents","2002","70 years and over","Domestic","Thousand","1127"
"Number of Nights by Irish Residents","2002","70 years and over","Outbound","Thousand","1812"
"Number of Nights by Irish Residents","2002","All ages","Domestic","Thousand","22222"
"Number of Nights by Irish Residents","2002","All ages","Outbound","Thousand","40660"
"Number of Nights by Irish Residents","2003","0 - 14 years","Domestic","Thousand","5626"
"Number of Nights by Irish Residents","2003","0 - 14 years","Outbound","Thousand","7298"
"Number of Nights by Irish Residents","2003","0 - 19 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2003","0 - 19 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2003","15 - 19 years","Domestic","Thousand","1401"
"Number of Nights by Irish Residents","2003","15 - 19 years","Outbound","Thousand","2816"
"Number of Nights by Irish Residents","2003","20 - 29 years","Domestic","Thousand","2442"
"Number of Nights by Irish Residents","2003","20 - 29 years","Outbound","Thousand","7276"
"Number of Nights by Irish Residents","2003","20 - 49 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2003","20 - 49 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2003","30 - 39 years","Domestic","Thousand","3958"
"Number of Nights by Irish Residents","2003","30 - 39 years","Outbound","Thousand","6694"
"Number of Nights by Irish Residents","2003","40 - 49 years","Domestic","Thousand","4297"
"Number of Nights by Irish Residents","2003","40 - 49 years","Outbound","Thousand","7934"
"Number of Nights by Irish Residents","2003","50 years and over","Domestic","Thousand",""
"Number of Nights by Irish Residents","2003","50 years and over","Outbound","Thousand",""
"Number of Nights by Irish Residents","2003","50 - 59 years","Domestic","Thousand","2597"
"Number of Nights by Irish Residents","2003","50 - 59 years","Outbound","Thousand","5890"
"Number of Nights by Irish Residents","2003","60 - 69 years","Domestic","Thousand","1926"
"Number of Nights by Irish Residents","2003","60 - 69 years","Outbound","Thousand","3889"
"Number of Nights by Irish Residents","2003","70 years and over","Domestic","Thousand","1368"
"Number of Nights by Irish Residents","2003","70 years and over","Outbound","Thousand","1906"
"Number of Nights by Irish Residents","2003","All ages","Domestic","Thousand","23616"
"Number of Nights by Irish Residents","2003","All ages","Outbound","Thousand","43702"
"Number of Nights by Irish Residents","2004","0 - 14 years","Domestic","Thousand","6275"
"Number of Nights by Irish Residents","2004","0 - 14 years","Outbound","Thousand","8206"
"Number of Nights by Irish Residents","2004","0 - 19 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2004","0 - 19 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2004","15 - 19 years","Domestic","Thousand","1470"
"Number of Nights by Irish Residents","2004","15 - 19 years","Outbound","Thousand","2710"
"Number of Nights by Irish Residents","2004","20 - 29 years","Domestic","Thousand","2056"
"Number of Nights by Irish Residents","2004","20 - 29 years","Outbound","Thousand","6554"
"Number of Nights by Irish Residents","2004","20 - 49 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2004","20 - 49 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2004","30 - 39 years","Domestic","Thousand","3988"
"Number of Nights by Irish Residents","2004","30 - 39 years","Outbound","Thousand","7190"
"Number of Nights by Irish Residents","2004","40 - 49 years","Domestic","Thousand","4563"
"Number of Nights by Irish Residents","2004","40 - 49 years","Outbound","Thousand","8667"
"Number of Nights by Irish Residents","2004","50 years and over","Domestic","Thousand",""
"Number of Nights by Irish Residents","2004","50 years and over","Outbound","Thousand",""
"Number of Nights by Irish Residents","2004","50 - 59 years","Domestic","Thousand","2398"
"Number of Nights by Irish Residents","2004","50 - 59 years","Outbound","Thousand","6085"
"Number of Nights by Irish Residents","2004","60 - 69 years","Domestic","Thousand","1927"
"Number of Nights by Irish Residents","2004","60 - 69 years","Outbound","Thousand","4624"
"Number of Nights by Irish Residents","2004","70 years and over","Domestic","Thousand","1513"
"Number of Nights by Irish Residents","2004","70 years and over","Outbound","Thousand","2265"
"Number of Nights by Irish Residents","2004","All ages","Domestic","Thousand","24189"
"Number of Nights by Irish Residents","2004","All ages","Outbound","Thousand","46302"
"Number of Nights by Irish Residents","2005","0 - 14 years","Domestic","Thousand","5978"
"Number of Nights by Irish Residents","2005","0 - 14 years","Outbound","Thousand","8112"
"Number of Nights by Irish Residents","2005","0 - 19 years","Domestic","Thousand","7297"
"Number of Nights by Irish Residents","2005","0 - 19 years","Outbound","Thousand","11476"
"Number of Nights by Irish Residents","2005","15 - 19 years","Domestic","Thousand","1319"
"Number of Nights by Irish Residents","2005","15 - 19 years","Outbound","Thousand","3364"
"Number of Nights by Irish Residents","2005","20 - 29 years","Domestic","Thousand","2119"
"Number of Nights by Irish Residents","2005","20 - 29 years","Outbound","Thousand","7723"
"Number of Nights by Irish Residents","2005","20 - 49 years","Domestic","Thousand","10508"
"Number of Nights by Irish Residents","2005","20 - 49 years","Outbound","Thousand","23876"
"Number of Nights by Irish Residents","2005","30 - 39 years","Domestic","Thousand","3867"
"Number of Nights by Irish Residents","2005","30 - 39 years","Outbound","Thousand","7037"
"Number of Nights by Irish Residents","2005","40 - 49 years","Domestic","Thousand","4522"
"Number of Nights by Irish Residents","2005","40 - 49 years","Outbound","Thousand","9116"
"Number of Nights by Irish Residents","2005","50 years and over","Domestic","Thousand","6803"
"Number of Nights by Irish Residents","2005","50 years and over","Outbound","Thousand","16151"
"Number of Nights by Irish Residents","2005","50 - 59 years","Domestic","Thousand","2854"
"Number of Nights by Irish Residents","2005","50 - 59 years","Outbound","Thousand","7791"
"Number of Nights by Irish Residents","2005","60 - 69 years","Domestic","Thousand","2074"
"Number of Nights by Irish Residents","2005","60 - 69 years","Outbound","Thousand","5295"
"Number of Nights by Irish Residents","2005","70 years and over","Domestic","Thousand","1875"
"Number of Nights by Irish Residents","2005","70 years and over","Outbound","Thousand","3065"
"Number of Nights by Irish Residents","2005","All ages","Domestic","Thousand","24607"
"Number of Nights by Irish Residents","2005","All ages","Outbound","Thousand","51503"
"Number of Nights by Irish Residents","2006","0 - 14 years","Domestic","Thousand","5385"
"Number of Nights by Irish Residents","2006","0 - 14 years","Outbound","Thousand","8227"
"Number of Nights by Irish Residents","2006","0 - 19 years","Domestic","Thousand","6848"
"Number of Nights by Irish Residents","2006","0 - 19 years","Outbound","Thousand","11878"
"Number of Nights by Irish Residents","2006","15 - 19 years","Domestic","Thousand","1463"
"Number of Nights by Irish Residents","2006","15 - 19 years","Outbound","Thousand","3651"
"Number of Nights by Irish Residents","2006","20 - 29 years","Domestic","Thousand","1966"
"Number of Nights by Irish Residents","2006","20 - 29 years","Outbound","Thousand","7099"
"Number of Nights by Irish Residents","2006","20 - 49 years","Domestic","Thousand","9365"
"Number of Nights by Irish Residents","2006","20 - 49 years","Outbound","Thousand","22822"
"Number of Nights by Irish Residents","2006","30 - 39 years","Domestic","Thousand","2745"
"Number of Nights by Irish Residents","2006","30 - 39 years","Outbound","Thousand","5383"
"Number of Nights by Irish Residents","2006","40 - 49 years","Domestic","Thousand","4654"
"Number of Nights by Irish Residents","2006","40 - 49 years","Outbound","Thousand","10340"
"Number of Nights by Irish Residents","2006","50 years and over","Domestic","Thousand","7990"
"Number of Nights by Irish Residents","2006","50 years and over","Outbound","Thousand","19566"
"Number of Nights by Irish Residents","2006","50 - 59 years","Domestic","Thousand","3404"
"Number of Nights by Irish Residents","2006","50 - 59 years","Outbound","Thousand","9333"
"Number of Nights by Irish Residents","2006","60 - 69 years","Domestic","Thousand","2604"
"Number of Nights by Irish Residents","2006","60 - 69 years","Outbound","Thousand","6829"
"Number of Nights by Irish Residents","2006","70 years and over","Domestic","Thousand","1982"
"Number of Nights by Irish Residents","2006","70 years and over","Outbound","Thousand","3404"
"Number of Nights by Irish Residents","2006","All ages","Domestic","Thousand","24203"
