"STATISTIC","Statistic Label","C02164V02610","Type of Accommodation Used","C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20172","2017Q2","Thousand","6058"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20173","2017Q3","Thousand","6610"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20174","2017Q4","Thousand","3814"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20181","2018Q1","Thousand","3036"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20182","2018Q2","Thousand","5589"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20183","2018Q3","Thousand","7162"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20184","2018Q4","Thousand","4273"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20191","2019Q1","Thousand","3313"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20192","2019Q2","Thousand","6246"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20193","2019Q3","Thousand","7214"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","20194","2019Q4","Thousand","4116"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20121","2012Q1","Thousand","819"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20122","2012Q2","Thousand","2894"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20123","2012Q3","Thousand","3956"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20124","2012Q4","Thousand","1521"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20131","2013Q1","Thousand","964"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20132","2013Q2","Thousand","3188"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20133","2013Q3","Thousand","3834"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20134","2013Q4","Thousand","1393"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20141","2014Q1","Thousand","1065"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20142","2014Q2","Thousand","2758"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20143","2014Q3","Thousand","4105"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20144","2014Q4","Thousand","1674"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20151","2015Q1","Thousand","1197"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20152","2015Q2","Thousand","3490"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20153","2015Q3","Thousand","5003"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20154","2015Q4","Thousand","1986"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20161","2016Q1","Thousand","1493"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20162","2016Q2","Thousand","3713"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20163","2016Q3","Thousand","4784"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20164","2016Q4","Thousand","2380"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20171","2017Q1","Thousand","1448"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20172","2017Q2","Thousand","4141"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20173","2017Q3","Thousand","4973"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20174","2017Q4","Thousand","2291"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20181","2018Q1","Thousand","1704"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20182","2018Q2","Thousand","4055"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20183","2018Q3","Thousand","5463"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20184","2018Q4","Thousand","2922"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20191","2019Q1","Thousand","1865"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20192","2019Q2","Thousand","4568"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20193","2019Q3","Thousand","5471"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","20194","2019Q4","Thousand","2629"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20121","2012Q1","Thousand","203"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20122","2012Q2","Thousand","329"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20123","2012Q3","Thousand","375"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20124","2012Q4","Thousand","273"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20131","2013Q1","Thousand","238"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20132","2013Q2","Thousand","384"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20133","2013Q3","Thousand","475"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20134","2013Q4","Thousand","370"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20141","2014Q1","Thousand","307"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20142","2014Q2","Thousand","384"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20143","2014Q3","Thousand","528"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20144","2014Q4","Thousand","387"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20151","2015Q1","Thousand","284"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20152","2015Q2","Thousand","488"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20153","2015Q3","Thousand","572"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20154","2015Q4","Thousand","450"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20161","2016Q1","Thousand","315"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20162","2016Q2","Thousand","446"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20163","2016Q3","Thousand","575"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20164","2016Q4","Thousand","432"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20171","2017Q1","Thousand","354"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20172","2017Q2","Thousand","683"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20173","2017Q3","Thousand","592"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20174","2017Q4","Thousand","421"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20181","2018Q1","Thousand","306"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20182","2018Q2","Thousand","514"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20183","2018Q3","Thousand","645"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20184","2018Q4","Thousand","446"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20191","2019Q1","Thousand","355"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20192","2019Q2","Thousand","572"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20193","2019Q3","Thousand","692"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","2","Visit to friends/relatives","20194","2019Q4","Thousand","457"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20121","2012Q1","Thousand","686"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20122","2012Q2","Thousand","768"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20123","2012Q3","Thousand","677"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20124","2012Q4","Thousand","969"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20131","2013Q1","Thousand","607"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20132","2013Q2","Thousand","740"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20133","2013Q3","Thousand","681"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20134","2013Q4","Thousand","907"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20141","2014Q1","Thousand","625"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20142","2014Q2","Thousand","878"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20143","2014Q3","Thousand","742"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20144","2014Q4","Thousand","829"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20151","2015Q1","Thousand","784"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20152","2015Q2","Thousand","888"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20153","2015Q3","Thousand","818"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20154","2015Q4","Thousand","981"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20161","2016Q1","Thousand","821"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20162","2016Q2","Thousand","1049"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20163","2016Q3","Thousand","915"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20164","2016Q4","Thousand","1071"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20171","2017Q1","Thousand","831"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20172","2017Q2","Thousand","1075"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20173","2017Q3","Thousand","882"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20174","2017Q4","Thousand","1026"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20181","2018Q1","Thousand","865"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20182","2018Q2","Thousand","826"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20183","2018Q3","Thousand","934"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20184","2018Q4","Thousand","841"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20191","2019Q1","Thousand","969"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20192","2019Q2","Thousand","882"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20193","2019Q3","Thousand","900"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","3","Business","20194","2019Q4","Thousand","931"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20121","2012Q1","Thousand","74"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20122","2012Q2","Thousand","185"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20123","2012Q3","Thousand","186"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20124","2012Q4","Thousand","266"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20131","2013Q1","Thousand","97"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20132","2013Q2","Thousand","177"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20133","2013Q3","Thousand","135"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20134","2013Q4","Thousand","80"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20141","2014Q1","Thousand","74"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20142","2014Q2","Thousand","121"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20143","2014Q3","Thousand","121"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20144","2014Q4","Thousand","108"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20151","2015Q1","Thousand","88"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20152","2015Q2","Thousand","132"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20153","2015Q3","Thousand","129"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20154","2015Q4","Thousand","84"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20161","2016Q1","Thousand","78"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20162","2016Q2","Thousand","184"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20163","2016Q3","Thousand","177"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20164","2016Q4","Thousand","88"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20171","2017Q1","Thousand","66"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20172","2017Q2","Thousand","159"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20173","2017Q3","Thousand","162"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20174","2017Q4","Thousand","77"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20181","2018Q1","Thousand","161"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20182","2018Q2","Thousand","195"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20183","2018Q3","Thousand","120"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20184","2018Q4","Thousand","64"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20191","2019Q1","Thousand","124"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20192","2019Q2","Thousand","225"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20193","2019Q3","Thousand","151"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","4","Other reason for journey","20194","2019Q4","Thousand","99"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20121","2012Q1","Thousand","1023"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20122","2012Q2","Thousand","1841"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20123","2012Q3","Thousand","1453"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20124","2012Q4","Thousand","1731"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20131","2013Q1","Thousand","1191"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20132","2013Q2","Thousand","2083"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20133","2013Q3","Thousand","1906"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20134","2013Q4","Thousand","1755"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20141","2014Q1","Thousand","1319"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20142","2014Q2","Thousand","2469"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20143","2014Q3","Thousand","2201"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20144","2014Q4","Thousand","1862"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20151","2015Q1","Thousand","1600"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20152","2015Q2","Thousand","3068"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20153","2015Q3","Thousand","2690"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20154","2015Q4","Thousand","2071"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20161","2016Q1","Thousand","2177"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20162","2016Q2","Thousand","2803"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20163","2016Q3","Thousand","2983"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20164","2016Q4","Thousand","2424"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20171","2017Q1","Thousand","1799"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20172","2017Q2","Thousand","2766"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20173","2017Q3","Thousand","3013"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20174","2017Q4","Thousand","3248"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20181","2018Q1","Thousand","2214"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20182","2018Q2","Thousand","3221"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20183","2018Q3","Thousand","2828"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20184","2018Q4","Thousand","2812"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20191","2019Q1","Thousand","1964"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20192","2019Q2","Thousand","3301"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20193","2019Q3","Thousand","2592"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All reasons for journey","20194","2019Q4","Thousand","3113"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","1","Holiday/leisure/recreation","20121","2012Q1","Thousand","123"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","1","Holiday/leisure/recreation","20122","2012Q2","Thousand","377"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","1","Holiday/leisure/recreation","20123","2012Q3","Thousand","593"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","1","Holiday/leisure/recreation","20124","2012Q4","Thousand","344"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","1","Holiday/leisure/recreation","20131","2013Q1","Thousand","135"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","1","Holiday/leisure/recreation","20132","2013Q2","Thousand","381"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","1","Holiday/leisure/recreation","20133","2013Q3","Thousand","683"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","1","Holiday/leisure/recreation","20134","2013Q4","Thousand","209"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","1","Holiday/leisure/recreation","20141","2014Q1","Thousand","258"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","1","Holiday/leisure/recreation","20142","2014Q2","Thousand","521"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","1","Holiday/leisure/recreation","20143","2014Q3","Thousand","785"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","1","Holiday/leisure/recreation","20144","2014Q4","Thousand","241"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","1","Holiday/leisure/recreation","20151","2015Q1","Thousand","155"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","1","Holiday/leisure/recreation","20152","2015Q2","Thousand","694"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","1","Holiday/leisure/recreation","20153","2015Q3","Thousand","1071"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","1","Holiday/leisure/recreation","20154","2015Q4","Thousand","297"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","1","Holiday/leisure/recreation","20161","2016Q1","Thousand","290"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","1","Holiday/leisure/recreation","20162","2016Q2","Thousand","596"
