"STATISTIC","Statistic Label","C02164V02610","Type of Accommodation Used","C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","20142","2014Q2","Thousand","5962"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","20143","2014Q3","Thousand","9987"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","20144","2014Q4","Thousand","3395"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","20151","2015Q1","Thousand","2671"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","20152","2015Q2","Thousand","7506"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","20153","2015Q3","Thousand","11546"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","20154","2015Q4","Thousand","4248"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","20161","2016Q1","Thousand","3316"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","20162","2016Q2","Thousand","7972"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","20163","2016Q3","Thousand","12137"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","20164","2016Q4","Thousand","4806"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","20171","2017Q1","Thousand","3396"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","20172","2017Q2","Thousand","8884"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","20173","2017Q3","Thousand","12517"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","20174","2017Q4","Thousand","5321"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","20181","2018Q1","Thousand","4102"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","20182","2018Q2","Thousand","9110"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","20183","2018Q3","Thousand","13665"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","20184","2018Q4","Thousand","5961"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","20191","2019Q1","Thousand","4073"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","20192","2019Q2","Thousand","9512"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","20193","2019Q3","Thousand","13244"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","20194","2019Q4","Thousand","5060"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20121","2012Q1","Thousand","3179"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20122","2012Q2","Thousand","3241"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20123","2012Q3","Thousand","4052"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20124","2012Q4","Thousand","2836"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20131","2013Q1","Thousand","3155"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20132","2013Q2","Thousand","3015"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20133","2013Q3","Thousand","5119"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20134","2013Q4","Thousand","3336"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20141","2014Q1","Thousand","3653"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20142","2014Q2","Thousand","3946"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20143","2014Q3","Thousand","5450"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20144","2014Q4","Thousand","3387"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20151","2015Q1","Thousand","3498"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20152","2015Q2","Thousand","3992"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20153","2015Q3","Thousand","5550"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20154","2015Q4","Thousand","3797"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20161","2016Q1","Thousand","4099"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20162","2016Q2","Thousand","4170"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20163","2016Q3","Thousand","6004"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20164","2016Q4","Thousand","4070"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20171","2017Q1","Thousand","4053"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20172","2017Q2","Thousand","4265"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20173","2017Q3","Thousand","5923"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20174","2017Q4","Thousand","4114"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20181","2018Q1","Thousand","3746"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20182","2018Q2","Thousand","4632"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20183","2018Q3","Thousand","6344"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20184","2018Q4","Thousand","4025"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20191","2019Q1","Thousand","4095"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20192","2019Q2","Thousand","4750"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20193","2019Q3","Thousand","6057"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","20194","2019Q4","Thousand","4112"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20121","2012Q1","Thousand","1195"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20122","2012Q2","Thousand","1324"
