"STATISTIC Label","Year","Direction","Route","UNIT","VALUE"
"Air and Sea Travel","2018","Departures","Other","Thousand","614.1"
"Air and Sea Travel","2019","Arrivals","All routes of travel","Thousand","20143.7"
"Air and Sea Travel","2019","Arrivals","Cross channel","Thousand","7660.1"
"Air and Sea Travel","2019","Arrivals","Continental Europe","Thousand","9683"
"Air and Sea Travel","2019","Arrivals","Transatlantic","Thousand","2155.6"
"Air and Sea Travel","2019","Arrivals","Other","Thousand","645.1"
"Air and Sea Travel","2019","Departures","All routes of travel","Thousand","20205.3"
"Air and Sea Travel","2019","Departures","Cross channel","Thousand","7670.5"
"Air and Sea Travel","2019","Departures","Continental Europe","Thousand","9715.8"
"Air and Sea Travel","2019","Departures","Transatlantic","Thousand","2184.7"
"Air and Sea Travel","2019","Departures","Other","Thousand","634.3"
"Air and Sea Travel","2020","Arrivals","All routes of travel","Thousand","4460.2"
"Air and Sea Travel","2020","Arrivals","Cross channel","Thousand","1812.3"
"Air and Sea Travel","2020","Arrivals","Continental Europe","Thousand","2169.5"
"Air and Sea Travel","2020","Arrivals","Transatlantic","Thousand","307"
"Air and Sea Travel","2020","Arrivals","Other","Thousand","171.4"
"Air and Sea Travel","2020","Departures","All routes of travel","Thousand","4452.6"
"Air and Sea Travel","2020","Departures","Cross channel","Thousand","1858.9"
"Air and Sea Travel","2020","Departures","Continental Europe","Thousand","2145.2"
"Air and Sea Travel","2020","Departures","Transatlantic","Thousand","295.1"
"Air and Sea Travel","2020","Departures","Other","Thousand","153.3"
"Air and Sea Travel","2021","Arrivals","All routes of travel","Thousand","4955.9"
"Air and Sea Travel","2021","Arrivals","Cross channel","Thousand","1694.4"
"Air and Sea Travel","2021","Arrivals","Continental Europe","Thousand","2825.2"
"Air and Sea Travel","2021","Arrivals","Transatlantic","Thousand","271.6"
"Air and Sea Travel","2021","Arrivals","Other","Thousand","164.7"
"Air and Sea Travel","2021","Departures","All routes of travel","Thousand","5022"
"Air and Sea Travel","2021","Departures","Cross channel","Thousand","1757.5"
"Air and Sea Travel","2021","Departures","Continental Europe","Thousand","2839.3"
"Air and Sea Travel","2021","Departures","Transatlantic","Thousand","276"
"Air and Sea Travel","2021","Departures","Other","Thousand","149.2"
"Air and Sea Travel","2022","Arrivals","All routes of travel","Thousand","17257"
"Air and Sea Travel","2022","Arrivals","Cross channel","Thousand","6051.9"
"Air and Sea Travel","2022","Arrivals","Continental Europe","Thousand","8929.8"
"Air and Sea Travel","2022","Arrivals","Transatlantic","Thousand","1714.7"
"Air and Sea Travel","2022","Arrivals","Other","Thousand","560.6"
"Air and Sea Travel","2022","Departures","All routes of travel","Thousand","17172.3"
"Air and Sea Travel","2022","Departures","Cross channel","Thousand","6016.7"
"Air and Sea Travel","2022","Departures","Continental Europe","Thousand","8836.9"
"Air and Sea Travel","2022","Departures","Transatlantic","Thousand","1773.1"
"Air and Sea Travel","2022","Departures","Other","Thousand","545.7"
"Air and Sea Travel","2023","Arrivals","All routes of travel","Thousand","20625.6"
"Air and Sea Travel","2023","Arrivals","Cross channel","Thousand","7251.5"
"Air and Sea Travel","2023","Arrivals","Continental Europe","Thousand","10506.2"
"Air and Sea Travel","2023","Arrivals","Transatlantic","Thousand","2063.4"
"Air and Sea Travel","2023","Arrivals","Other","Thousand","804.6"
"Air and Sea Travel","2023","Departures","All routes of travel","Thousand","20626.2"
"Air and Sea Travel","2023","Departures","Cross channel","Thousand","7216.1"
"Air and Sea Travel","2023","Departures","Continental Europe","Thousand","10485"
"Air and Sea Travel","2023","Departures","Transatlantic","Thousand","2139.5"
"Air and Sea Travel","2023","Departures","Other","Thousand","785.6"
