"STATISTIC","Statistic Label","C02149V02592","Type of Expenditure","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","20142","2014Q2","Euro Million","330"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","20143","2014Q3","Euro Million","431"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","20144","2014Q4","Euro Million","241"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","20151","2015Q1","Euro Million","190"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","20152","2015Q2","Euro Million","372"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","20153","2015Q3","Euro Million","486"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","20154","2015Q4","Euro Million","275"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","20161","2016Q1","Euro Million","233"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","20162","2016Q2","Euro Million","394"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","20163","2016Q3","Euro Million","548"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","20164","2016Q4","Euro Million","312"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","20171","2017Q1","Euro Million","261"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","20172","2017Q2","Euro Million","468"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","20173","2017Q3","Euro Million","551"
