"C02118V02559","Reason for Journey","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"2","Visit to friends/relatives","2016","2016","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","2476"
"2","Visit to friends/relatives","2016","2016","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","78"
"2","Visit to friends/relatives","2017","2017","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","2487"
"2","Visit to friends/relatives","2017","2017","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","79"
"2","Visit to friends/relatives","2018","2018","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","2567"
"2","Visit to friends/relatives","2018","2018","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","87"
"2","Visit to friends/relatives","2019","2019","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","2581"
"2","Visit to friends/relatives","2019","2019","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","86"
"3","Business","2009","2009","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","946"
"3","Business","2009","2009","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","173"
"3","Business","2010","2010","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","861"
"3","Business","2010","2010","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","177"
"3","Business","2011","2011","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","928"
"3","Business","2011","2011","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","170"
"3","Business","2012","2012","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","1018"
"3","Business","2012","2012","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","165"
"3","Business","2013","2013","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","1068"
"3","Business","2013","2013","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","174"
"3","Business","2014","2014","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","1089"
"3","Business","2014","2014","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","193"
"3","Business","2015","2015","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","1252"
"3","Business","2015","2015","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","189"
"3","Business","2016","2016","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","1318"
"3","Business","2016","2016","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","220"
"3","Business","2017","2017","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","1273"
"3","Business","2017","2017","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","205"
"3","Business","2018","2018","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","1226"
"3","Business","2018","2018","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","206"
"3","Business","2019","2019","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","1297"
"3","Business","2019","2019","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","188"
"4","Other reason for journey","2009","2009","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","368"
"4","Other reason for journey","2009","2009","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","93"
"4","Other reason for journey","2010","2010","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","440"
"4","Other reason for journey","2010","2010","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","148"
"4","Other reason for journey","2011","2011","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","515"
"4","Other reason for journey","2011","2011","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","190"
"4","Other reason for journey","2012","2012","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","488"
"4","Other reason for journey","2012","2012","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","197"
"4","Other reason for journey","2013","2013","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","350"
"4","Other reason for journey","2013","2013","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","320"
"4","Other reason for journey","2014","2014","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","316"
"4","Other reason for journey","2014","2014","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","473"
"4","Other reason for journey","2015","2015","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","352"
"4","Other reason for journey","2015","2015","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","552"
"4","Other reason for journey","2016","2016","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","383"
"4","Other reason for journey","2016","2016","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","721"
"4","Other reason for journey","2017","2017","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","393"
"4","Other reason for journey","2017","2017","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","784"
"4","Other reason for journey","2018","2018","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","395"
"4","Other reason for journey","2018","2018","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","899"
"4","Other reason for journey","2019","2019","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","411"
"4","Other reason for journey","2019","2019","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","1028"
