X,Y,OBJECTID,Name,Address,Streetview_Link,WGS84Longitude,WGS84Latitude
594677.0449,746204.4046,25,Derryglad Folk Museum,Derryglad,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.4658631591965&amp;Lng=-8.0801645211801",-8.08016452,53.46586315
587203.2979,765075.656899998,26,Roscommon Castle,Roscommon,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.6310728480655&amp;Lng=-8.19136446960903",-8.19349182,53.6353224
578933.992,764814.879800001,27,Donamon Castle,Donamon,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.632711593763&amp;Lng=-8.31850805103326",-8.31850805,53.63271159
595581.5796,758676.183800002,28,Gailey Bay,Lough Ree,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.5779510941414&amp;Lng=-8.06671796557968",-8.06671796,53.577951
600615.1162,754304.604000003,29,Rindoon Castle/St John’s Wood entrance,Lough Ree,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.5386836721574&amp;Lng=-7.99072036731681",-7.9907203,53.5386836
582730.5586,757751.368299999,30,"Suck Valley Visitor Conference Centre & Riverside Cafe, Athleague",Athleague,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.5693746756462&amp;Lng=-8.26071533975432",-8.26071533,53.5693746
582008.1767,759518.842100001,31,Castle Strange,Athleague,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.5852337723824&amp;Lng=-8.27172277244939",-8.27172277,53.58523377
581997.7538,759685.495100001,32,Castle Strange Stone,Athleague,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.5867310364209&amp;Lng=-8.27188979379509",-8.27188979,53.586731
598635.0769,738636.840299998,33,Glendeer Pet Farm,Drum,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.397880120548&amp;Lng=-8.02052317528816",-8.02052317,53.39788012
586024.8838,741188.482499999,34,Little House of Avalon,Taughmaconnell,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.4206280213918&amp;Lng=-8.21024407255308",-8.21024407,53.42062802
