"C02173V03830","Area of Residence","C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"DE","Germany","-","All reasons for journey","20174","2017Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"DE","Germany","-","All reasons for journey","20181","2018Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.5"
"DE","Germany","-","All reasons for journey","20181","2018Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","55"
"DE","Germany","-","All reasons for journey","20181","2018Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"DE","Germany","-","All reasons for journey","20182","2018Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.5"
"DE","Germany","-","All reasons for journey","20182","2018Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","153"
"DE","Germany","-","All reasons for journey","20182","2018Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"DE","Germany","-","All reasons for journey","20183","2018Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"DE","Germany","-","All reasons for journey","20183","2018Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","175"
"DE","Germany","-","All reasons for journey","20183","2018Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"DE","Germany","-","All reasons for journey","20184","2018Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"DE","Germany","-","All reasons for journey","20184","2018Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","85"
"DE","Germany","-","All reasons for journey","20184","2018Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"DE","Germany","-","All reasons for journey","20191","2019Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.7"
"DE","Germany","-","All reasons for journey","20191","2019Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","53"
"DE","Germany","-","All reasons for journey","20191","2019Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"DE","Germany","-","All reasons for journey","20192","2019Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"DE","Germany","-","All reasons for journey","20192","2019Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","150"
"DE","Germany","-","All reasons for journey","20192","2019Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"DE","Germany","-","All reasons for journey","20193","2019Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"DE","Germany","-","All reasons for journey","20193","2019Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","163"
"DE","Germany","-","All reasons for journey","20193","2019Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"DE","Germany","-","All reasons for journey","20194","2019Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"DE","Germany","-","All reasons for journey","20194","2019Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","80"
"DE","Germany","-","All reasons for journey","20194","2019Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"DE","Germany","1","Holiday/leisure/recreation","20121","2012Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"DE","Germany","1","Holiday/leisure/recreation","20121","2012Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","10"
"DE","Germany","1","Holiday/leisure/recreation","20121","2012Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"DE","Germany","1","Holiday/leisure/recreation","20122","2012Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"DE","Germany","1","Holiday/leisure/recreation","20122","2012Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","54"
"DE","Germany","1","Holiday/leisure/recreation","20122","2012Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"DE","Germany","1","Holiday/leisure/recreation","20123","2012Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"DE","Germany","1","Holiday/leisure/recreation","20123","2012Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","69"
"DE","Germany","1","Holiday/leisure/recreation","20123","2012Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","12"
"DE","Germany","1","Holiday/leisure/recreation","20124","2012Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.1"
"DE","Germany","1","Holiday/leisure/recreation","20124","2012Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","25"
"DE","Germany","1","Holiday/leisure/recreation","20124","2012Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"DE","Germany","1","Holiday/leisure/recreation","20131","2013Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"DE","Germany","1","Holiday/leisure/recreation","20131","2013Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","21"
"DE","Germany","1","Holiday/leisure/recreation","20131","2013Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"DE","Germany","1","Holiday/leisure/recreation","20132","2013Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"DE","Germany","1","Holiday/leisure/recreation","20132","2013Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","69"
"DE","Germany","1","Holiday/leisure/recreation","20132","2013Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"DE","Germany","1","Holiday/leisure/recreation","20133","2013Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","10"
"DE","Germany","1","Holiday/leisure/recreation","20133","2013Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","82"
"DE","Germany","1","Holiday/leisure/recreation","20133","2013Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"DE","Germany","1","Holiday/leisure/recreation","20134","2013Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.1"
"DE","Germany","1","Holiday/leisure/recreation","20134","2013Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","24"
"DE","Germany","1","Holiday/leisure/recreation","20134","2013Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"DE","Germany","1","Holiday/leisure/recreation","20141","2014Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5"
"DE","Germany","1","Holiday/leisure/recreation","20141","2014Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","15"
"DE","Germany","1","Holiday/leisure/recreation","20141","2014Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"DE","Germany","1","Holiday/leisure/recreation","20142","2014Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"DE","Germany","1","Holiday/leisure/recreation","20142","2014Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","85"
"DE","Germany","1","Holiday/leisure/recreation","20142","2014Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","12"
"DE","Germany","1","Holiday/leisure/recreation","20143","2014Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.6"
"DE","Germany","1","Holiday/leisure/recreation","20143","2014Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","106"
"DE","Germany","1","Holiday/leisure/recreation","20143","2014Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","12"
"DE","Germany","1","Holiday/leisure/recreation","20144","2014Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"DE","Germany","1","Holiday/leisure/recreation","20144","2014Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","26"
"DE","Germany","1","Holiday/leisure/recreation","20144","2014Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"DE","Germany","1","Holiday/leisure/recreation","20151","2015Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"DE","Germany","1","Holiday/leisure/recreation","20151","2015Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","19"
"DE","Germany","1","Holiday/leisure/recreation","20151","2015Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"DE","Germany","1","Holiday/leisure/recreation","20152","2015Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.2"
"DE","Germany","1","Holiday/leisure/recreation","20152","2015Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","118"
"DE","Germany","1","Holiday/leisure/recreation","20152","2015Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","12"
"DE","Germany","1","Holiday/leisure/recreation","20153","2015Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.1"
"DE","Germany","1","Holiday/leisure/recreation","20153","2015Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","125"
"DE","Germany","1","Holiday/leisure/recreation","20153","2015Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","12"
"DE","Germany","1","Holiday/leisure/recreation","20154","2015Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.7"
"DE","Germany","1","Holiday/leisure/recreation","20154","2015Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","32"
"DE","Germany","1","Holiday/leisure/recreation","20154","2015Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"DE","Germany","1","Holiday/leisure/recreation","20161","2016Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"DE","Germany","1","Holiday/leisure/recreation","20161","2016Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","21"
"DE","Germany","1","Holiday/leisure/recreation","20161","2016Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"DE","Germany","1","Holiday/leisure/recreation","20162","2016Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"DE","Germany","1","Holiday/leisure/recreation","20162","2016Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","94"
"DE","Germany","1","Holiday/leisure/recreation","20162","2016Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"DE","Germany","1","Holiday/leisure/recreation","20163","2016Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.9"
"DE","Germany","1","Holiday/leisure/recreation","20163","2016Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","135"
"DE","Germany","1","Holiday/leisure/recreation","20163","2016Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"DE","Germany","1","Holiday/leisure/recreation","20164","2016Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"DE","Germany","1","Holiday/leisure/recreation","20164","2016Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","35"
"DE","Germany","1","Holiday/leisure/recreation","20164","2016Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"DE","Germany","1","Holiday/leisure/recreation","20171","2017Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"DE","Germany","1","Holiday/leisure/recreation","20171","2017Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","20"
"DE","Germany","1","Holiday/leisure/recreation","20171","2017Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"DE","Germany","1","Holiday/leisure/recreation","20172","2017Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"DE","Germany","1","Holiday/leisure/recreation","20172","2017Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","105"
"DE","Germany","1","Holiday/leisure/recreation","20172","2017Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"DE","Germany","1","Holiday/leisure/recreation","20173","2017Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.4"
"DE","Germany","1","Holiday/leisure/recreation","20173","2017Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","123"
"DE","Germany","1","Holiday/leisure/recreation","20173","2017Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"DE","Germany","1","Holiday/leisure/recreation","20174","2017Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.1"
"DE","Germany","1","Holiday/leisure/recreation","20174","2017Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","41"
"DE","Germany","1","Holiday/leisure/recreation","20174","2017Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"DE","Germany","1","Holiday/leisure/recreation","20181","2018Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.7"
"DE","Germany","1","Holiday/leisure/recreation","20181","2018Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","29"
"DE","Germany","1","Holiday/leisure/recreation","20181","2018Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"DE","Germany","1","Holiday/leisure/recreation","20182","2018Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.5"
"DE","Germany","1","Holiday/leisure/recreation","20182","2018Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","121"
"DE","Germany","1","Holiday/leisure/recreation","20182","2018Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"DE","Germany","1","Holiday/leisure/recreation","20183","2018Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.1"
"DE","Germany","1","Holiday/leisure/recreation","20183","2018Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","148"
"DE","Germany","1","Holiday/leisure/recreation","20183","2018Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"DE","Germany","1","Holiday/leisure/recreation","20184","2018Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"DE","Germany","1","Holiday/leisure/recreation","20184","2018Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","46"
"DE","Germany","1","Holiday/leisure/recreation","20184","2018Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"DE","Germany","1","Holiday/leisure/recreation","20191","2019Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.1"
"DE","Germany","1","Holiday/leisure/recreation","20191","2019Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","27"
"DE","Germany","1","Holiday/leisure/recreation","20191","2019Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"DE","Germany","1","Holiday/leisure/recreation","20192","2019Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"DE","Germany","1","Holiday/leisure/recreation","20192","2019Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","116"
"DE","Germany","1","Holiday/leisure/recreation","20192","2019Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"DE","Germany","1","Holiday/leisure/recreation","20193","2019Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.8"
"DE","Germany","1","Holiday/leisure/recreation","20193","2019Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","131"
"DE","Germany","1","Holiday/leisure/recreation","20193","2019Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"DE","Germany","1","Holiday/leisure/recreation","20194","2019Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.6"
"DE","Germany","1","Holiday/leisure/recreation","20194","2019Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","46"
"DE","Germany","1","Holiday/leisure/recreation","20194","2019Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"DE","Germany","2","Visit to friends/relatives","20121","2012Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"DE","Germany","2","Visit to friends/relatives","20121","2012Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","7"
"DE","Germany","2","Visit to friends/relatives","20121","2012Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"DE","Germany","2","Visit to friends/relatives","20122","2012Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"DE","Germany","2","Visit to friends/relatives","20122","2012Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","4"
"DE","Germany","2","Visit to friends/relatives","20122","2012Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"DE","Germany","2","Visit to friends/relatives","20123","2012Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.9"
"DE","Germany","2","Visit to friends/relatives","20123","2012Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","4"
"DE","Germany","2","Visit to friends/relatives","20123","2012Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"DE","Germany","2","Visit to friends/relatives","20124","2012Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.7"
"DE","Germany","2","Visit to friends/relatives","20124","2012Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","3"
"DE","Germany","2","Visit to friends/relatives","20124","2012Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"DE","Germany","2","Visit to friends/relatives","20131","2013Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.7"
"DE","Germany","2","Visit to friends/relatives","20131","2013Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","8"
"DE","Germany","2","Visit to friends/relatives","20131","2013Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"DE","Germany","2","Visit to friends/relatives","20132","2013Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"DE","Germany","2","Visit to friends/relatives","20132","2013Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","5"
"DE","Germany","2","Visit to friends/relatives","20132","2013Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"DE","Germany","2","Visit to friends/relatives","20133","2013Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"DE","Germany","2","Visit to friends/relatives","20133","2013Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","6"
"DE","Germany","2","Visit to friends/relatives","20133","2013Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"DE","Germany","2","Visit to friends/relatives","20134","2013Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"DE","Germany","2","Visit to friends/relatives","20134","2013Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","8"
"DE","Germany","2","Visit to friends/relatives","20134","2013Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"DE","Germany","2","Visit to friends/relatives","20141","2014Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"DE","Germany","2","Visit to friends/relatives","20141","2014Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","8"
"DE","Germany","2","Visit to friends/relatives","20141","2014Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"DE","Germany","2","Visit to friends/relatives","20142","2014Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"DE","Germany","2","Visit to friends/relatives","20142","2014Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","9"
"DE","Germany","2","Visit to friends/relatives","20142","2014Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"DE","Germany","2","Visit to friends/relatives","20143","2014Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.4"
"DE","Germany","2","Visit to friends/relatives","20143","2014Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","7"
"DE","Germany","2","Visit to friends/relatives","20143","2014Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"DE","Germany","2","Visit to friends/relatives","20144","2014Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.9"
"DE","Germany","2","Visit to friends/relatives","20144","2014Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","8"
"DE","Germany","2","Visit to friends/relatives","20144","2014Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"DE","Germany","2","Visit to friends/relatives","20151","2015Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"DE","Germany","2","Visit to friends/relatives","20151","2015Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","5"
"DE","Germany","2","Visit to friends/relatives","20151","2015Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"DE","Germany","2","Visit to friends/relatives","20152","2015Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.6"
"DE","Germany","2","Visit to friends/relatives","20152","2015Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","7"
"DE","Germany","2","Visit to friends/relatives","20152","2015Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"DE","Germany","2","Visit to friends/relatives","20153","2015Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"DE","Germany","2","Visit to friends/relatives","20153","2015Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","6"
"DE","Germany","2","Visit to friends/relatives","20153","2015Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"DE","Germany","2","Visit to friends/relatives","20154","2015Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.7"
"DE","Germany","2","Visit to friends/relatives","20154","2015Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","9"
"DE","Germany","2","Visit to friends/relatives","20154","2015Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"DE","Germany","2","Visit to friends/relatives","20161","2016Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"DE","Germany","2","Visit to friends/relatives","20161","2016Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","8"
"DE","Germany","2","Visit to friends/relatives","20161","2016Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"DE","Germany","2","Visit to friends/relatives","20162","2016Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.1"
"DE","Germany","2","Visit to friends/relatives","20162","2016Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","7"
"DE","Germany","2","Visit to friends/relatives","20162","2016Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"DE","Germany","2","Visit to friends/relatives","20163","2016Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.5"
"DE","Germany","2","Visit to friends/relatives","20163","2016Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","6"
"DE","Germany","2","Visit to friends/relatives","20163","2016Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","2"
"DE","Germany","2","Visit to friends/relatives","20164","2016Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.7"
"DE","Germany","2","Visit to friends/relatives","20164","2016Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","11"
"DE","Germany","2","Visit to friends/relatives","20164","2016Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"DE","Germany","2","Visit to friends/relatives","20171","2017Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.2"
"DE","Germany","2","Visit to friends/relatives","20171","2017Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","7"
"DE","Germany","2","Visit to friends/relatives","20171","2017Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"DE","Germany","2","Visit to friends/relatives","20172","2017Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"DE","Germany","2","Visit to friends/relatives","20172","2017Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","7"
"DE","Germany","2","Visit to friends/relatives","20172","2017Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"DE","Germany","2","Visit to friends/relatives","20173","2017Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
