"C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"2","Visit to friends/relatives","20172","2017Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","612"
"2","Visit to friends/relatives","20172","2017Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","20"
"2","Visit to friends/relatives","20173","2017Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","696"
"2","Visit to friends/relatives","20173","2017Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","23"
"2","Visit to friends/relatives","20174","2017Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","645"
"2","Visit to friends/relatives","20174","2017Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","22"
"2","Visit to friends/relatives","20181","2018Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","512"
"2","Visit to friends/relatives","20181","2018Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","17"
"2","Visit to friends/relatives","20182","2018Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","709"
"2","Visit to friends/relatives","20182","2018Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","22"
"2","Visit to friends/relatives","20183","2018Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","742"
"2","Visit to friends/relatives","20183","2018Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","24"
"2","Visit to friends/relatives","20184","2018Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","604"
"2","Visit to friends/relatives","20184","2018Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","25"
"2","Visit to friends/relatives","20191","2019Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","530"
"2","Visit to friends/relatives","20191","2019Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","13"
"2","Visit to friends/relatives","20192","2019Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","668"
"2","Visit to friends/relatives","20192","2019Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","26"
"2","Visit to friends/relatives","20193","2019Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","720"
"2","Visit to friends/relatives","20193","2019Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","21"
"2","Visit to friends/relatives","20194","2019Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","662"
"2","Visit to friends/relatives","20194","2019Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","26"
"3","Business","20121","2012Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","253"
"3","Business","20121","2012Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","43"
"3","Business","20122","2012Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","260"
"3","Business","20122","2012Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","41"
"3","Business","20123","2012Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","236"
"3","Business","20123","2012Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","42"
"3","Business","20124","2012Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","269"
"3","Business","20124","2012Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","39"
"3","Business","20131","2013Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","247"
"3","Business","20131","2013Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","44"
"3","Business","20132","2013Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","281"
"3","Business","20132","2013Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","47"
"3","Business","20133","2013Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","243"
"3","Business","20133","2013Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","41"
"3","Business","20134","2013Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","297"
"3","Business","20134","2013Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","42"
"3","Business","20141","2014Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","243"
"3","Business","20141","2014Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","43"
"3","Business","20142","2014Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","314"
"3","Business","20142","2014Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","51"
"3","Business","20143","2014Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","241"
"3","Business","20143","2014Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","51"
"3","Business","20144","2014Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","291"
"3","Business","20144","2014Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","48"
"3","Business","20151","2015Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","314"
"3","Business","20151","2015Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","50"
"3","Business","20152","2015Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","299"
"3","Business","20152","2015Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","45"
"3","Business","20153","2015Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","290"
"3","Business","20153","2015Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","42"
"3","Business","20154","2015Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","349"
"3","Business","20154","2015Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","51"
"3","Business","20161","2016Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","313"
"3","Business","20161","2016Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","51"
"3","Business","20162","2016Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","369"
"3","Business","20162","2016Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","65"
"3","Business","20163","2016Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","307"
"3","Business","20163","2016Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","56"
"3","Business","20164","2016Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","330"
"3","Business","20164","2016Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","48"
"3","Business","20171","2017Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","298"
"3","Business","20171","2017Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","54"
"3","Business","20172","2017Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","360"
"3","Business","20172","2017Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","53"
"3","Business","20173","2017Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","310"
"3","Business","20173","2017Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","50"
"3","Business","20174","2017Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","305"
"3","Business","20174","2017Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","48"
"3","Business","20181","2018Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","299"
"3","Business","20181","2018Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","51"
"3","Business","20182","2018Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","304"
"3","Business","20182","2018Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","56"
"3","Business","20183","2018Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","293"
