"STATISTIC Label","Month","Country","Direction","UNIT","VALUE"
"Air and Sea Travel","2010 February","Other Countries(42)","Departures","Thousand","5"
"Air and Sea Travel","2010 February","All countries","Arrivals","Thousand","804"
"Air and Sea Travel","2010 February","All countries","Departures","Thousand","803.2"
"Air and Sea Travel","2010 March","Great Britain","Arrivals","Thousand","518.4"
"Air and Sea Travel","2010 March","Great Britain","Departures","Thousand","510.1"
"Air and Sea Travel","2010 March","Other UK (1)","Arrivals","Thousand","1.4"
"Air and Sea Travel","2010 March","Other UK (1)","Departures","Thousand","1.4"
"Air and Sea Travel","2010 March","Belgium","Arrivals","Thousand","16.3"
"Air and Sea Travel","2010 March","Belgium","Departures","Thousand","16.5"
"Air and Sea Travel","2010 March","Germany","Arrivals","Thousand","56.9"
"Air and Sea Travel","2010 March","Germany","Departures","Thousand","54.3"
"Air and Sea Travel","2010 March","Spain","Arrivals","Thousand","81"
"Air and Sea Travel","2010 March","Spain","Departures","Thousand","84.9"
"Air and Sea Travel","2010 March","France","Arrivals","Thousand","59.3"
"Air and Sea Travel","2010 March","France","Departures","Thousand","67.4"
"Air and Sea Travel","2010 March","Italy","Arrivals","Thousand","30.7"
"Air and Sea Travel","2010 March","Italy","Departures","Thousand","32.2"
"Air and Sea Travel","2010 March","Netherlands","Arrivals","Thousand","28"
"Air and Sea Travel","2010 March","Netherlands","Departures","Thousand","28.6"
"Air and Sea Travel","2010 March","Poland","Arrivals","Thousand","39.5"
"Air and Sea Travel","2010 March","Poland","Departures","Thousand","42.5"
"Air and Sea Travel","2010 March","Portugal","Arrivals","Thousand","9.5"
"Air and Sea Travel","2010 March","Portugal","Departures","Thousand","12.5"
"Air and Sea Travel","2010 March","Selected EU (AT,BG,CY,CZ,DK,EE,FI,GR,HR,HU,LT,LU,LV,MT,RO,SE,SI,SK)","Arrivals","Thousand","54.4"
"Air and Sea Travel","2010 March","Selected EU (AT,BG,CY,CZ,DK,EE,FI,GR,HR,HU,LT,LU,LV,MT,RO,SE,SI,SK)","Departures","Thousand","53.7"
