"STATISTIC","Statistic Label","C02164V02610","Type of Accommodation Used","AREARES","Area of Residence","TLIST(A1)","Year","UNIT","VALUE"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","03","USA and Canada","2009","2009","Thousand","2127"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","03","USA and Canada","2010","2010","Thousand","1884"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","03","USA and Canada","2011","2011","Thousand","1818"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","03","USA and Canada","2012","2012","Thousand","1429"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","03","USA and Canada","2013","2013","Thousand","1647"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","03","USA and Canada","2014","2014","Thousand","1722"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","03","USA and Canada","2015","2015","Thousand","1779"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","03","USA and Canada","2016","2016","Thousand","2036"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","03","USA and Canada","2017","2017","Thousand","2177"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","03","USA and Canada","2018","2018","Thousand","1960"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","03","USA and Canada","2019","2019","Thousand","1998"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","04","Other Areas","2009","2009","Thousand","1893"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","04","Other Areas","2010","2010","Thousand","2008"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","04","Other Areas","2011","2011","Thousand","1947"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","04","Other Areas","2012","2012","Thousand","1840"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","04","Other Areas","2013","2013","Thousand","2043"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","04","Other Areas","2014","2014","Thousand","2554"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","04","Other Areas","2015","2015","Thousand","2581"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","04","Other Areas","2016","2016","Thousand","2624"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","04","Other Areas","2017","2017","Thousand","3038"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","04","Other Areas","2018","2018","Thousand","3188"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","04","Other Areas","2019","2019","Thousand","3128"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","-","All areas of residence","2009","2009","Thousand","4484"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","-","All areas of residence","2010","2010","Thousand","3989"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","-","All areas of residence","2011","2011","Thousand","4169"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","-","All areas of residence","2012","2012","Thousand","4074"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","-","All areas of residence","2013","2013","Thousand","4451"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","-","All areas of residence","2014","2014","Thousand","5171"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","-","All areas of residence","2015","2015","Thousand","6729"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","-","All areas of residence","2016","2016","Thousand","7854"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","-","All areas of residence","2017","2017","Thousand","8594"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","-","All areas of residence","2018","2018","Thousand","9575"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","-","All areas of residence","2019","2019","Thousand","8930"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","01","Great Britain","2009","2009","Thousand","894"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","01","Great Britain","2010","2010","Thousand","809"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","01","Great Britain","2011","2011","Thousand","763"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","01","Great Britain","2012","2012","Thousand","607"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","01","Great Britain","2013","2013","Thousand","636"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","01","Great Britain","2014","2014","Thousand","682"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","01","Great Britain","2015","2015","Thousand","884"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","01","Great Britain","2016","2016","Thousand","1048"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","01","Great Britain","2017","2017","Thousand","1174"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","01","Great Britain","2018","2018","Thousand","1092"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","01","Great Britain","2019","2019","Thousand","1105"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","02","Other Europe","2009","2009","Thousand","2252"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","02","Other Europe","2010","2010","Thousand","2034"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","02","Other Europe","2011","2011","Thousand","2267"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","02","Other Europe","2012","2012","Thousand","2165"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","02","Other Europe","2013","2013","Thousand","2329"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","02","Other Europe","2014","2014","Thousand","2783"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","02","Other Europe","2015","2015","Thousand","3629"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","02","Other Europe","2016","2016","Thousand","4077"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","02","Other Europe","2017","2017","Thousand","4191"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","02","Other Europe","2018","2018","Thousand","4639"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","02","Other Europe","2019","2019","Thousand","4474"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","03","USA and Canada","2009","2009","Thousand","1027"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","03","USA and Canada","2010","2010","Thousand","866"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","03","USA and Canada","2011","2011","Thousand","854"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","03","USA and Canada","2012","2012","Thousand","988"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","03","USA and Canada","2013","2013","Thousand","1048"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","03","USA and Canada","2014","2014","Thousand","1242"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","03","USA and Canada","2015","2015","Thousand","1589"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","03","USA and Canada","2016","2016","Thousand","2080"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","03","USA and Canada","2017","2017","Thousand","2533"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","03","USA and Canada","2018","2018","Thousand","2979"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","03","USA and Canada","2019","2019","Thousand","2560"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","04","Other Areas","2009","2009","Thousand","310"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","04","Other Areas","2010","2010","Thousand","281"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","04","Other Areas","2011","2011","Thousand","286"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","04","Other Areas","2012","2012","Thousand","313"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","04","Other Areas","2013","2013","Thousand","437"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","04","Other Areas","2014","2014","Thousand","464"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","04","Other Areas","2015","2015","Thousand","627"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","04","Other Areas","2016","2016","Thousand","649"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","04","Other Areas","2017","2017","Thousand","696"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","04","Other Areas","2018","2018","Thousand","865"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","04","Other Areas","2019","2019","Thousand","791"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","-","All areas of residence","2009","2009","Thousand","9553"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","-","All areas of residence","2010","2010","Thousand","9261"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","-","All areas of residence","2011","2011","Thousand","10324"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","-","All areas of residence","2012","2012","Thousand","10311"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","-","All areas of residence","2013","2013","Thousand","10992"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","-","All areas of residence","2014","2014","Thousand","11051"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","-","All areas of residence","2015","2015","Thousand","11900"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","-","All areas of residence","2016","2016","Thousand","12417"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","-","All areas of residence","2017","2017","Thousand","13082"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","-","All areas of residence","2018","2018","Thousand","13018"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","-","All areas of residence","2019","2019","Thousand","12567"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","01","Great Britain","2009","2009","Thousand","1234"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","01","Great Britain","2010","2010","Thousand","1470"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","01","Great Britain","2011","2011","Thousand","1565"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","01","Great Britain","2012","2012","Thousand","1965"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","01","Great Britain","2013","2013","Thousand","2237"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","01","Great Britain","2014","2014","Thousand","2423"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","01","Great Britain","2015","2015","Thousand","2497"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","01","Great Britain","2016","2016","Thousand","2785"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","01","Great Britain","2017","2017","Thousand","3214"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","01","Great Britain","2018","2018","Thousand","2696"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","01","Great Britain","2019","2019","Thousand","2731"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","02","Other Europe","2009","2009","Thousand","6922"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","02","Other Europe","2010","2010","Thousand","6116"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","02","Other Europe","2011","2011","Thousand","6704"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","02","Other Europe","2012","2012","Thousand","6294"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","02","Other Europe","2013","2013","Thousand","6183"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","02","Other Europe","2014","2014","Thousand","5925"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","02","Other Europe","2015","2015","Thousand","6303"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","02","Other Europe","2016","2016","Thousand","6610"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","02","Other Europe","2017","2017","Thousand","6745"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","02","Other Europe","2018","2018","Thousand","6840"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","02","Other Europe","2019","2019","Thousand","6625"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","03","USA and Canada","2009","2009","Thousand","924"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","03","USA and Canada","2010","2010","Thousand","1128"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","03","USA and Canada","2011","2011","Thousand","1297"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","03","USA and Canada","2012","2012","Thousand","1260"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","03","USA and Canada","2013","2013","Thousand","1464"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","03","USA and Canada","2014","2014","Thousand","1431"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","03","USA and Canada","2015","2015","Thousand","1640"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","03","USA and Canada","2016","2016","Thousand","1809"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","03","USA and Canada","2017","2017","Thousand","1781"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","03","USA and Canada","2018","2018","Thousand","1995"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","03","USA and Canada","2019","2019","Thousand","1790"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","04","Other Areas","2009","2009","Thousand","475"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","04","Other Areas","2010","2010","Thousand","548"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","04","Other Areas","2011","2011","Thousand","757"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","04","Other Areas","2012","2012","Thousand","792"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","04","Other Areas","2013","2013","Thousand","1107"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","04","Other Areas","2014","2014","Thousand","1272"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","04","Other Areas","2015","2015","Thousand","1460"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","04","Other Areas","2016","2016","Thousand","1213"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","04","Other Areas","2017","2017","Thousand","1341"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","04","Other Areas","2018","2018","Thousand","1487"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","04","Other Areas","2019","2019","Thousand","1421"
