"STATISTIC","Statistic Label","C02164V02610","Type of Accommodation Used","AREARES","Area of Residence","TLIST(A1)","Year","UNIT","VALUE"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","2010","2010","Thousand","4505"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","2011","2011","Thousand","4966"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","2012","2012","Thousand","4893"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","2013","2013","Thousand","5723"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","2014","2014","Thousand","6577"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","2015","2015","Thousand","7543"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","2016","2016","Thousand","7943"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","2017","2017","Thousand","8976"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","2018","2018","Thousand","8973"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","2019","2019","Thousand","8992"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","2009","2009","Thousand","11187"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","2010","2010","Thousand","11265"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","2011","2011","Thousand","12552"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","2012","2012","Thousand","14180"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","2013","2013","Thousand","14272"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","2014","2014","Thousand","14707"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","2015","2015","Thousand","17375"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","2016","2016","Thousand","18522"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","2017","2017","Thousand","19183"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","2018","2018","Thousand","20060"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","2019","2019","Thousand","20890"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","2009","2009","Thousand","3437"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","2010","2010","Thousand","3409"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","2011","2011","Thousand","3431"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","2012","2012","Thousand","3463"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","2013","2013","Thousand","3492"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","2014","2014","Thousand","3647"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","2015","2015","Thousand","4345"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","2016","2016","Thousand","4554"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","2017","2017","Thousand","4027"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","2018","2018","Thousand","3969"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","2019","2019","Thousand","4215"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","2009","2009","Thousand","3768"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","2010","2010","Thousand","3849"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","2011","2011","Thousand","4670"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","2012","2012","Thousand","5568"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","2013","2013","Thousand","5528"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","2014","2014","Thousand","5563"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","2015","2015","Thousand","6587"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","2016","2016","Thousand","7088"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","2017","2017","Thousand","7131"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","2018","2018","Thousand","7266"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","2019","2019","Thousand","7831"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","2009","2009","Thousand","3162"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","2010","2010","Thousand","3266"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","2011","2011","Thousand","3464"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","2012","2012","Thousand","4036"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","2013","2013","Thousand","4069"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","2014","2014","Thousand","4355"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","2015","2015","Thousand","5044"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","2016","2016","Thousand","5385"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","2017","2017","Thousand","6402"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","2018","2018","Thousand","7184"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","2019","2019","Thousand","6985"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","2009","2009","Thousand","819"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","2010","2010","Thousand","740"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","2011","2011","Thousand","987"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","2012","2012","Thousand","1113"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","2013","2013","Thousand","1184"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","2014","2014","Thousand","1143"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","2015","2015","Thousand","1397"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","2016","2016","Thousand","1495"
