"STATISTIC","Statistic Label","C02173V04143","Area of Residence","TLIST(A1)","Year","UNIT","VALUE"
"TMA13","Overseas Trips to Ireland","ZZEURQ17","Other Europe (27)","2016","2016","Thousand","3302.1"
"TMA13","Overseas Trips to Ireland","ZZEURQ17","Other Europe (27)","2017","2017","Thousand","3482.4"
"TMA13","Overseas Trips to Ireland","ZZEURQ17","Other Europe (27)","2018","2018","Thousand","3812.7"
"TMA13","Overseas Trips to Ireland","ZZEURQ17","Other Europe (27)","2019","2019","Thousand","3910.2"
"TMA13","Overseas Trips to Ireland","ZZWORX27","Other Areas  (27)","2008","2008","Thousand",""
"TMA13","Overseas Trips to Ireland","ZZWORX27","Other Areas  (27)","2009","2009","Thousand",""
"TMA13","Overseas Trips to Ireland","ZZWORX27","Other Areas  (27)","2010","2010","Thousand",""
"TMA13","Overseas Trips to Ireland","ZZWORX27","Other Areas  (27)","2011","2011","Thousand","356.7"
"TMA13","Overseas Trips to Ireland","ZZWORX27","Other Areas  (27)","2012","2012","Thousand","378.6"
"TMA13","Overseas Trips to Ireland","ZZWORX27","Other Areas  (27)","2013","2013","Thousand","435.9"
"TMA13","Overseas Trips to Ireland","ZZWORX27","Other Areas  (27)","2014","2014","Thousand","473.8"
"TMA13","Overseas Trips to Ireland","ZZWORX27","Other Areas  (27)","2015","2015","Thousand","538.6"
"TMA13","Overseas Trips to Ireland","ZZWORX27","Other Areas  (27)","2016","2016","Thousand","550.2"
"TMA13","Overseas Trips to Ireland","ZZWORX27","Other Areas  (27)","2017","2017","Thousand","619.3"
"TMA13","Overseas Trips to Ireland","ZZWORX27","Other Areas  (27)","2018","2018","Thousand","660.7"
"TMA13","Overseas Trips to Ireland","ZZWORX27","Other Areas  (27)","2019","2019","Thousand","697.2"
"TMA13","Overseas Trips to Ireland","ZZWORX31","Other Areas (31)","2008","2008","Thousand",""
"TMA13","Overseas Trips to Ireland","ZZWORX31","Other Areas (31)","2009","2009","Thousand",""
"TMA13","Overseas Trips to Ireland","ZZWORX31","Other Areas (31)","2010","2010","Thousand","317.8"
"TMA13","Overseas Trips to Ireland","ZZWORX31","Other Areas (31)","2011","2011","Thousand",""
"TMA13","Overseas Trips to Ireland","ZZWORX31","Other Areas (31)","2012","2012","Thousand",""
"TMA13","Overseas Trips to Ireland","ZZWORX31","Other Areas (31)","2013","2013","Thousand",""
"TMA13","Overseas Trips to Ireland","ZZWORX31","Other Areas (31)","2014","2014","Thousand",""
"TMA13","Overseas Trips to Ireland","ZZWORX31","Other Areas (31)","2015","2015","Thousand",""
"TMA13","Overseas Trips to Ireland","ZZWORX31","Other Areas (31)","2016","2016","Thousand",""
"TMA13","Overseas Trips to Ireland","ZZWORX31","Other Areas (31)","2017","2017","Thousand",""
"TMA13","Overseas Trips to Ireland","ZZWORX31","Other Areas (31)","2018","2018","Thousand",""
"TMA13","Overseas Trips to Ireland","ZZWORX31","Other Areas (31)","2019","2019","Thousand",""
"TMA13","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","2008","2008","Thousand","351.7"
"TMA13","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","2009","2009","Thousand","307.9"
"TMA13","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","2010","2010","Thousand",""
"TMA13","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","2011","2011","Thousand",""
"TMA13","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","2012","2012","Thousand",""
"TMA13","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","2013","2013","Thousand",""
"TMA13","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","2014","2014","Thousand",""
"TMA13","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","2015","2015","Thousand",""
"TMA13","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","2016","2016","Thousand",""
"TMA13","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","2017","2017","Thousand",""
"TMA13","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","2018","2018","Thousand",""
"TMA13","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","2019","2019","Thousand",""
