"STATISTIC","Statistic Label","C02173V03830","Area of Residence","C02118V02559","Reason for Journey","TLIST(A1)","Year","UNIT","VALUE"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","2017","2017","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","2018","2018","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","4","Other reason for journey","2019","2019","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","2009","2009","%","54"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","2010","2010","%","56"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","2011","2011","%","53"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","2012","2012","%","53"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","2013","2013","%","49"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","2014","2014","%","48"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","2015","2015","%","48"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","2016","2016","%","46"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","2017","2017","%","41"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","2018","2018","%","38"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","-","All reasons for journey","2019","2019","%","36"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","2009","2009","%","47"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","2010","2010","%","49"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","2011","2011","%","47"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","2012","2012","%","43"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","2013","2013","%","45"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","2014","2014","%","44"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","2015","2015","%","43"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","2016","2016","%","47"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","2017","2017","%","44"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","2018","2018","%","39"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","2019","2019","%","27"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","2009","2009","%","47"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","2010","2010","%","58"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","2011","2011","%","56"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","2012","2012","%","60"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","2013","2013","%","58"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","2014","2014","%","59"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","2015","2015","%","52"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","2016","2016","%","52"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","2017","2017","%","44"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","2018","2018","%","49"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","2019","2019","%","43"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","2009","2009","%","81"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","2010","2010","%","84"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","2011","2011","%","83"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","2012","2012","%","82"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","2013","2013","%","82"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","2014","2014","%","82"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","2015","2015","%","83"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","2016","2016","%","81"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","2017","2017","%","77"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","2018","2018","%","75"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","2019","2019","%","76"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","2009","2009","%","18"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","2010","2010","%","24"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","2011","2011","%","26"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","2012","2012","%","31"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","2013","2013","%","30"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","2014","2014","%","34"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","2015","2015","%","36"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","2016","2016","%","34"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","2017","2017","%","30"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","2018","2018","%","28"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","2019","2019","%","29"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","2009","2009","%","24"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","2010","2010","%","23"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","2011","2011","%","23"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","2012","2012","%","24"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","2013","2013","%","22"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","2014","2014","%","21"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","2015","2015","%","20"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","2016","2016","%","19"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","2017","2017","%","21"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","2018","2018","%","25"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","2019","2019","%","23"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","2009","2009","%","23"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","2010","2010","%","26"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","2011","2011","%","24"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","2012","2012","%","22"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","2013","2013","%","17"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","2014","2014","%","15"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","2015","2015","%","15"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","2016","2016","%","16"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","2017","2017","%","19"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","2018","2018","%","19"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","2019","2019","%","19"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","2009","2009","%","28"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","2010","2010","%","22"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","2011","2011","%","30"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","2012","2012","%","24"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","2013","2013","%","22"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","2014","2014","%","16"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","2015","2015","%","20"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","2016","2016","%","20"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","2017","2017","%","18"
