"STATISTIC","Statistic Label","C02164V02610","Type of Accommodation Used","C02118V02559","Reason for Journey","TLIST(A1)","Year","UNIT","VALUE"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","2019","2019","Thousand","8793"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","2009","2009","Thousand","7918"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","2010","2010","Thousand","8204"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","2011","2011","Thousand","11024"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","2012","2012","Thousand","10100"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","2013","2013","Thousand","9350"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","2014","2014","Thousand","9519"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","2015","2015","Thousand","10776"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","2016","2016","Thousand","11062"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","2017","2017","Thousand","11101"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","2018","2018","Thousand","10460"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","2019","2019","Thousand","10713"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","2009","2009","Thousand","11187"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","2010","2010","Thousand","11265"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","2011","2011","Thousand","12552"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","2012","2012","Thousand","14180"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","2013","2013","Thousand","14272"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","2014","2014","Thousand","14707"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","2015","2015","Thousand","17375"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","2016","2016","Thousand","18522"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","2017","2017","Thousand","19183"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","2018","2018","Thousand","20060"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All reasons for journey","2019","2019","Thousand","20890"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","2009","2009","Thousand","7231"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","2010","2010","Thousand","7135"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","2011","2011","Thousand","8259"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","2012","2012","Thousand","9190"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","2013","2013","Thousand","9380"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","2014","2014","Thousand","9603"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","1","Holiday/leisure/recreation","2015","2015","Thousand","11676"
