"Statistic Label","Month","Residency","Expenditure Type","UNIT","VALUE"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 April","Great Britain (England, Scotland & Wales)","Prepayments","%","1.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 April","Great Britain (England, Scotland & Wales)","Accommodation","%","24.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 April","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","%","49.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 April","Great Britain (England, Scotland & Wales)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 April","Other Europe (3)","Fare","%","18.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 April","Other Europe (3)","Prepayments","%","2"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 April","Other Europe (3)","Accommodation","%","34.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 April","Other Europe (3)","Day-to-Day Expenditure","%","44.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 April","Other Europe (3)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 April","USA & Canada","Fare","%","31.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 April","USA & Canada","Prepayments","%","3.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 April","USA & Canada","Accommodation","%","28.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 April","USA & Canada","Day-to-Day Expenditure","%","36.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 April","USA & Canada","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 April","Other Residencies","Fare","%","23.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 April","Other Residencies","Prepayments","%","3.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 April","Other Residencies","Accommodation","%","28.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 April","Other Residencies","Day-to-Day Expenditure","%","45.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 April","Other Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 April","All Residencies","Fare","%","24.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 April","All Residencies","Prepayments","%","2.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 April","All Residencies","Accommodation","%","29.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 April","All Residencies","Day-to-Day Expenditure","%","43"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 April","All Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 May","Great Britain (England, Scotland & Wales)","Fare","%","23.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 May","Great Britain (England, Scotland & Wales)","Prepayments","%","2.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 May","Great Britain (England, Scotland & Wales)","Accommodation","%","28.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 May","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","%","45.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 May","Great Britain (England, Scotland & Wales)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 May","Other Europe (3)","Fare","%","18.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 May","Other Europe (3)","Prepayments","%","1.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 May","Other Europe (3)","Accommodation","%","39.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 May","Other Europe (3)","Day-to-Day Expenditure","%","40.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 May","Other Europe (3)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 May","USA & Canada","Fare","%","30.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 May","USA & Canada","Prepayments","%","4.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 May","USA & Canada","Accommodation","%","36.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 May","USA & Canada","Day-to-Day Expenditure","%","29.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 May","USA & Canada","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 May","Other Residencies","Fare","%","24"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 May","Other Residencies","Prepayments","%","2.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 May","Other Residencies","Accommodation","%","25.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 May","Other Residencies","Day-to-Day Expenditure","%","48"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 May","Other Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 May","All Residencies","Fare","%","24"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 May","All Residencies","Prepayments","%","2.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 May","All Residencies","Accommodation","%","35.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 May","All Residencies","Day-to-Day Expenditure","%","37.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 May","All Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 June","Great Britain (England, Scotland & Wales)","Fare","%","24"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 June","Great Britain (England, Scotland & Wales)","Prepayments","%","3.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 June","Great Britain (England, Scotland & Wales)","Accommodation","%","28.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 June","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","%","43.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 June","Great Britain (England, Scotland & Wales)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 June","Other Europe (3)","Fare","%","19.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 June","Other Europe (3)","Prepayments","%","1.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 June","Other Europe (3)","Accommodation","%","35.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 June","Other Europe (3)","Day-to-Day Expenditure","%","43.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 June","Other Europe (3)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 June","USA & Canada","Fare","%","35.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 June","USA & Canada","Prepayments","%","3.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 June","USA & Canada","Accommodation","%","32.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 June","USA & Canada","Day-to-Day Expenditure","%","28.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 June","USA & Canada","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 June","Other Residencies","Fare","%","26.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 June","Other Residencies","Prepayments","%","1.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 June","Other Residencies","Accommodation","%","26.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 June","Other Residencies","Day-to-Day Expenditure","%","45.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 June","Other Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 June","All Residencies","Fare","%","28.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 June","All Residencies","Prepayments","%","3.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 June","All Residencies","Accommodation","%","32.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 June","All Residencies","Day-to-Day Expenditure","%","36.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 June","All Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 July","Great Britain (England, Scotland & Wales)","Fare","%","24"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 July","Great Britain (England, Scotland & Wales)","Prepayments","%","1.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 July","Great Britain (England, Scotland & Wales)","Accommodation","%","24.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 July","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","%","50.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 July","Great Britain (England, Scotland & Wales)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 July","Other Europe (3)","Fare","%","19"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 July","Other Europe (3)","Prepayments","%","3.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 July","Other Europe (3)","Accommodation","%","35.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 July","Other Europe (3)","Day-to-Day Expenditure","%","41.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 July","Other Europe (3)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 July","USA & Canada","Fare","%","37.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 July","USA & Canada","Prepayments","%","3.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 July","USA & Canada","Accommodation","%","32.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 July","USA & Canada","Day-to-Day Expenditure","%","25.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 July","USA & Canada","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 July","Other Residencies","Fare","%","29.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 July","Other Residencies","Prepayments","%","2.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 July","Other Residencies","Accommodation","%","21.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 July","Other Residencies","Day-to-Day Expenditure","%","46.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 July","Other Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 July","All Residencies","Fare","%","29"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 July","All Residencies","Prepayments","%","3.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 July","All Residencies","Accommodation","%","31.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 July","All Residencies","Day-to-Day Expenditure","%","36.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 July","All Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 August","Great Britain (England, Scotland & Wales)","Fare","%","25"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 August","Great Britain (England, Scotland & Wales)","Prepayments","%","2.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 August","Great Britain (England, Scotland & Wales)","Accommodation","%","25.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 August","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","%","47.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 August","Great Britain (England, Scotland & Wales)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 August","Other Europe (3)","Fare","%","16.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 August","Other Europe (3)","Prepayments","%","4.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 August","Other Europe (3)","Accommodation","%","36.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 August","Other Europe (3)","Day-to-Day Expenditure","%","42.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 August","Other Europe (3)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 August","USA & Canada","Fare","%","36.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 August","USA & Canada","Prepayments","%","5.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 August","USA & Canada","Accommodation","%","33.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 August","USA & Canada","Day-to-Day Expenditure","%","24.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 August","USA & Canada","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 August","Other Residencies","Fare","%","24.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 August","Other Residencies","Prepayments","%","6.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 August","Other Residencies","Accommodation","%","17.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 August","Other Residencies","Day-to-Day Expenditure","%","51.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 August","Other Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 August","All Residencies","Fare","%","26.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 August","All Residencies","Prepayments","%","4.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 August","All Residencies","Accommodation","%","31.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 August","All Residencies","Day-to-Day Expenditure","%","37.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 August","All Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 September","Great Britain (England, Scotland & Wales)","Fare","%","22.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 September","Great Britain (England, Scotland & Wales)","Prepayments","%","2.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 September","Great Britain (England, Scotland & Wales)","Accommodation","%","31.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 September","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","%","43.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 September","Great Britain (England, Scotland & Wales)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 September","Other Europe (3)","Fare","%","17.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 September","Other Europe (3)","Prepayments","%","3"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 September","Other Europe (3)","Accommodation","%","39.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 September","Other Europe (3)","Day-to-Day Expenditure","%","39.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 September","Other Europe (3)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 September","USA & Canada","Fare","%","31.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 September","USA & Canada","Prepayments","%","5.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 September","USA & Canada","Accommodation","%","36"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 September","USA & Canada","Day-to-Day Expenditure","%","27"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 September","USA & Canada","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 September","Other Residencies","Fare","%","24.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 September","Other Residencies","Prepayments","%","4"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 September","Other Residencies","Accommodation","%","28.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 September","Other Residencies","Day-to-Day Expenditure","%","43"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 September","Other Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 September","All Residencies","Fare","%","25"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 September","All Residencies","Prepayments","%","4.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 September","All Residencies","Accommodation","%","35.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 September","All Residencies","Day-to-Day Expenditure","%","35.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 September","All Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 October","Great Britain (England, Scotland & Wales)","Fare","%","22.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 October","Great Britain (England, Scotland & Wales)","Prepayments","%","3.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 October","Great Britain (England, Scotland & Wales)","Accommodation","%","30.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 October","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","%","43.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 October","Great Britain (England, Scotland & Wales)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 October","Other Europe (3)","Fare","%","19.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 October","Other Europe (3)","Prepayments","%","2.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 October","Other Europe (3)","Accommodation","%","37.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 October","Other Europe (3)","Day-to-Day Expenditure","%","40.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 October","Other Europe (3)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 October","USA & Canada","Fare","%","31.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 October","USA & Canada","Prepayments","%","5.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 October","USA & Canada","Accommodation","%","34.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 October","USA & Canada","Day-to-Day Expenditure","%","28.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 October","USA & Canada","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 October","Other Residencies","Fare","%","20.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 October","Other Residencies","Prepayments","%","2.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 October","Other Residencies","Accommodation","%","33.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 October","Other Residencies","Day-to-Day Expenditure","%","43.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 October","Other Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 October","All Residencies","Fare","%","25.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 October","All Residencies","Prepayments","%","4.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 October","All Residencies","Accommodation","%","34.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 October","All Residencies","Day-to-Day Expenditure","%","35.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 October","All Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 November","Great Britain (England, Scotland & Wales)","Fare","%","23.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 November","Great Britain (England, Scotland & Wales)","Prepayments","%","2.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 November","Great Britain (England, Scotland & Wales)","Accommodation","%","28"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 November","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","%","46.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 November","Great Britain (England, Scotland & Wales)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 November","Other Europe (3)","Fare","%","19.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 November","Other Europe (3)","Prepayments","%","2"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 November","Other Europe (3)","Accommodation","%","35.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 November","Other Europe (3)","Day-to-Day Expenditure","%","43"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 November","Other Europe (3)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 November","USA & Canada","Fare","%","29.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 November","USA & Canada","Prepayments","%","4.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 November","USA & Canada","Accommodation","%","32.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 November","USA & Canada","Day-to-Day Expenditure","%","33.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 November","USA & Canada","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 November","Other Residencies","Fare","%","25.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 November","Other Residencies","Prepayments","%","1.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 November","Other Residencies","Accommodation","%","25.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 November","Other Residencies","Day-to-Day Expenditure","%","48.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 November","Other Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 November","All Residencies","Fare","%","24.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 November","All Residencies","Prepayments","%","2.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 November","All Residencies","Accommodation","%","31.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 November","All Residencies","Day-to-Day Expenditure","%","41.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 November","All Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 December","Great Britain (England, Scotland & Wales)","Fare","%","23.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 December","Great Britain (England, Scotland & Wales)","Prepayments","%","1.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 December","Great Britain (England, Scotland & Wales)","Accommodation","%","26.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 December","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","%","48.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 December","Great Britain (England, Scotland & Wales)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 December","Other Europe (3)","Fare","%","13.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 December","Other Europe (3)","Prepayments","%","2.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 December","Other Europe (3)","Accommodation","%","41.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 December","Other Europe (3)","Day-to-Day Expenditure","%","42.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 December","Other Europe (3)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 December","USA & Canada","Fare","%","28.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 December","USA & Canada","Prepayments","%","4.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 December","USA & Canada","Accommodation","%","34.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 December","USA & Canada","Day-to-Day Expenditure","%","32.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 December","USA & Canada","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 December","Other Residencies","Fare","%","17.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 December","Other Residencies","Prepayments","%","30.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 December","Other Residencies","Accommodation","%","21.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 December","Other Residencies","Day-to-Day Expenditure","%","30.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 December","Other Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 December","All Residencies","Fare","%","19.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 December","All Residencies","Prepayments","%","6.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 December","All Residencies","Accommodation","%","33.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 December","All Residencies","Day-to-Day Expenditure","%","39.8"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 December","All Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 January","Great Britain (England, Scotland & Wales)","Fare","%","22.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 January","Great Britain (England, Scotland & Wales)","Prepayments","%","1.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 January","Great Britain (England, Scotland & Wales)","Accommodation","%","21.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 January","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","%","53.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 January","Great Britain (England, Scotland & Wales)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 January","Other Europe (3)","Fare","%","20"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 January","Other Europe (3)","Prepayments","%","1.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 January","Other Europe (3)","Accommodation","%","25.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 January","Other Europe (3)","Day-to-Day Expenditure","%","52.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 January","Other Europe (3)","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 January","USA & Canada","Fare","%","33.9"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 January","USA & Canada","Prepayments","%","6.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 January","USA & Canada","Accommodation","%","19.5"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 January","USA & Canada","Day-to-Day Expenditure","%","40.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 January","USA & Canada","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 January","Other Residencies","Fare","%","42.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 January","Other Residencies","Prepayments","%","0.7"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 January","Other Residencies","Accommodation","%","14.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 January","Other Residencies","Day-to-Day Expenditure","%","42.4"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 January","Other Residencies","All Travel Expenditure","%","100"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 January","All Residencies","Fare","%","28.3"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 January","All Residencies","Prepayments","%","2.6"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 January","All Residencies","Accommodation","%","21"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 January","All Residencies","Day-to-Day Expenditure","%","48.2"
"Percentage of Expenditure of Overnight Foreign Visitors","2024 January","All Residencies","All Travel Expenditure","%","100"
"Mean Expenditure of Overnight Foreign Visitors","2023 April","Great Britain (England, Scotland & Wales)","Fare","Euro","149"
"Mean Expenditure of Overnight Foreign Visitors","2023 April","Great Britain (England, Scotland & Wales)","Prepayments","Euro","10"
"Mean Expenditure of Overnight Foreign Visitors","2023 April","Great Britain (England, Scotland & Wales)","Accommodation","Euro","147"
"Mean Expenditure of Overnight Foreign Visitors","2023 April","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","Euro","304"
"Mean Expenditure of Overnight Foreign Visitors","2023 April","Great Britain (England, Scotland & Wales)","All Travel Expenditure","Euro","611"
"Mean Expenditure of Overnight Foreign Visitors","2023 April","Other Europe (3)","Fare","Euro","178"
"Mean Expenditure of Overnight Foreign Visitors","2023 April","Other Europe (3)","Prepayments","Euro","19"
"Mean Expenditure of Overnight Foreign Visitors","2023 April","Other Europe (3)","Accommodation","Euro","328"
"Mean Expenditure of Overnight Foreign Visitors","2023 April","Other Europe (3)","Day-to-Day Expenditure","Euro","422"
"Mean Expenditure of Overnight Foreign Visitors","2023 April","Other Europe (3)","All Travel Expenditure","Euro","947"
"Mean Expenditure of Overnight Foreign Visitors","2023 April","USA & Canada","Fare","Euro","685"
