"Statistic Label","Month","Residency","Expenditure Type","UNIT","VALUE"
"Expenditure of Overnight Foreign Visitors","2023 June","Great Britain (England, Scotland & Wales)","Accommodation","Euro Million","44.8"
"Expenditure of Overnight Foreign Visitors","2023 June","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","Euro Million","67.8"
"Expenditure of Overnight Foreign Visitors","2023 June","Great Britain (England, Scotland & Wales)","All Travel Expenditure","Euro Million","156"
"Expenditure of Overnight Foreign Visitors","2023 June","Other Europe (3)","Fare","Euro Million","42.5"
"Expenditure of Overnight Foreign Visitors","2023 June","Other Europe (3)","Prepayments","Euro Million","4.2"
"Expenditure of Overnight Foreign Visitors","2023 June","Other Europe (3)","Accommodation","Euro Million","77.6"
"Expenditure of Overnight Foreign Visitors","2023 June","Other Europe (3)","Day-to-Day Expenditure","Euro Million","96.8"
"Expenditure of Overnight Foreign Visitors","2023 June","Other Europe (3)","All Travel Expenditure","Euro Million","221.1"
"Expenditure of Overnight Foreign Visitors","2023 June","USA & Canada","Fare","Euro Million","145.6"
"Expenditure of Overnight Foreign Visitors","2023 June","USA & Canada","Prepayments","Euro Million","14.9"
"Expenditure of Overnight Foreign Visitors","2023 June","USA & Canada","Accommodation","Euro Million","132.8"
"Expenditure of Overnight Foreign Visitors","2023 June","USA & Canada","Day-to-Day Expenditure","Euro Million","115.8"
"Expenditure of Overnight Foreign Visitors","2023 June","USA & Canada","All Travel Expenditure","Euro Million","409.1"
"Expenditure of Overnight Foreign Visitors","2023 June","Other Residencies","Fare","Euro Million","14.6"
"Expenditure of Overnight Foreign Visitors","2023 June","Other Residencies","Prepayments","Euro Million","0.8"
"Expenditure of Overnight Foreign Visitors","2023 June","Other Residencies","Accommodation","Euro Million","14.4"
"Expenditure of Overnight Foreign Visitors","2023 June","Other Residencies","Day-to-Day Expenditure","Euro Million","25.1"
"Expenditure of Overnight Foreign Visitors","2023 June","Other Residencies","All Travel Expenditure","Euro Million","54.9"
"Expenditure of Overnight Foreign Visitors","2023 June","All Residencies","Fare","Euro Million","240.2"
"Expenditure of Overnight Foreign Visitors","2023 June","All Residencies","Prepayments","Euro Million","25.8"
"Expenditure of Overnight Foreign Visitors","2023 June","All Residencies","Accommodation","Euro Million","269.7"
"Expenditure of Overnight Foreign Visitors","2023 June","All Residencies","Day-to-Day Expenditure","Euro Million","305.6"
"Expenditure of Overnight Foreign Visitors","2023 June","All Residencies","All Travel Expenditure","Euro Million","841.2"
"Expenditure of Overnight Foreign Visitors","2023 July","Great Britain (England, Scotland & Wales)","Fare","Euro Million","41.1"
"Expenditure of Overnight Foreign Visitors","2023 July","Great Britain (England, Scotland & Wales)","Prepayments","Euro Million","3.2"
"Expenditure of Overnight Foreign Visitors","2023 July","Great Britain (England, Scotland & Wales)","Accommodation","Euro Million","41.3"
"Expenditure of Overnight Foreign Visitors","2023 July","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","Euro Million","85.8"
"Expenditure of Overnight Foreign Visitors","2023 July","Great Britain (England, Scotland & Wales)","All Travel Expenditure","Euro Million","171.3"
"Expenditure of Overnight Foreign Visitors","2023 July","Other Europe (3)","Fare","Euro Million","48.1"
"Expenditure of Overnight Foreign Visitors","2023 July","Other Europe (3)","Prepayments","Euro Million","8"
"Expenditure of Overnight Foreign Visitors","2023 July","Other Europe (3)","Accommodation","Euro Million","90.7"
"Expenditure of Overnight Foreign Visitors","2023 July","Other Europe (3)","Day-to-Day Expenditure","Euro Million","106"
"Expenditure of Overnight Foreign Visitors","2023 July","Other Europe (3)","All Travel Expenditure","Euro Million","252.8"
"Expenditure of Overnight Foreign Visitors","2023 July","USA & Canada","Fare","Euro Million","144"
"Expenditure of Overnight Foreign Visitors","2023 July","USA & Canada","Prepayments","Euro Million","14.4"
"Expenditure of Overnight Foreign Visitors","2023 July","USA & Canada","Accommodation","Euro Million","124.7"
"Expenditure of Overnight Foreign Visitors","2023 July","USA & Canada","Day-to-Day Expenditure","Euro Million","97.2"
"Expenditure of Overnight Foreign Visitors","2023 July","USA & Canada","All Travel Expenditure","Euro Million","380.2"
"Expenditure of Overnight Foreign Visitors","2023 July","Other Residencies","Fare","Euro Million","20.9"
"Expenditure of Overnight Foreign Visitors","2023 July","Other Residencies","Prepayments","Euro Million","2"
"Expenditure of Overnight Foreign Visitors","2023 July","Other Residencies","Accommodation","Euro Million","15.3"
"Expenditure of Overnight Foreign Visitors","2023 July","Other Residencies","Day-to-Day Expenditure","Euro Million","32.9"
"Expenditure of Overnight Foreign Visitors","2023 July","Other Residencies","All Travel Expenditure","Euro Million","71.1"
"Expenditure of Overnight Foreign Visitors","2023 July","All Residencies","Fare","Euro Million","254.1"
"Expenditure of Overnight Foreign Visitors","2023 July","All Residencies","Prepayments","Euro Million","27.6"
"Expenditure of Overnight Foreign Visitors","2023 July","All Residencies","Accommodation","Euro Million","272"
"Expenditure of Overnight Foreign Visitors","2023 July","All Residencies","Day-to-Day Expenditure","Euro Million","321.7"
"Expenditure of Overnight Foreign Visitors","2023 July","All Residencies","All Travel Expenditure","Euro Million","875.4"
"Expenditure of Overnight Foreign Visitors","2023 August","Great Britain (England, Scotland & Wales)","Fare","Euro Million","44.2"
"Expenditure of Overnight Foreign Visitors","2023 August","Great Britain (England, Scotland & Wales)","Prepayments","Euro Million","4.7"
"Expenditure of Overnight Foreign Visitors","2023 August","Great Britain (England, Scotland & Wales)","Accommodation","Euro Million","44.3"
"Expenditure of Overnight Foreign Visitors","2023 August","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","Euro Million","83.4"
"Expenditure of Overnight Foreign Visitors","2023 August","Great Britain (England, Scotland & Wales)","All Travel Expenditure","Euro Million","176.6"
"Expenditure of Overnight Foreign Visitors","2023 August","Other Europe (3)","Fare","Euro Million","60.7"
"Expenditure of Overnight Foreign Visitors","2023 August","Other Europe (3)","Prepayments","Euro Million","15.9"
"Expenditure of Overnight Foreign Visitors","2023 August","Other Europe (3)","Accommodation","Euro Million","131.4"
"Expenditure of Overnight Foreign Visitors","2023 August","Other Europe (3)","Day-to-Day Expenditure","Euro Million","155.9"
"Expenditure of Overnight Foreign Visitors","2023 August","Other Europe (3)","All Travel Expenditure","Euro Million","363.9"
"Expenditure of Overnight Foreign Visitors","2023 August","USA & Canada","Fare","Euro Million","138.2"
"Expenditure of Overnight Foreign Visitors","2023 August","USA & Canada","Prepayments","Euro Million","19.5"
