"Area of Residence","Reason for Journey","Quarter","Statistic Label","UNIT","VALUE"
"Germany","Business","2016Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"Germany","Business","2016Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","8"
"Germany","Business","2016Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"Germany","Business","2016Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.9"
"Germany","Business","2016Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","15"
"Germany","Business","2016Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Germany","Business","2016Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","5"
"Germany","Business","2016Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","9"
"Germany","Business","2016Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Germany","Business","2016Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"Germany","Business","2016Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","10"
"Germany","Business","2016Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"Germany","Business","2017Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.6"
"Germany","Business","2017Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","8"
"Germany","Business","2017Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Germany","Business","2017Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","3"
"Germany","Business","2017Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","12"
"Germany","Business","2017Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Germany","Business","2017Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.9"
"Germany","Business","2017Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","10"
"Germany","Business","2017Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Germany","Business","2017Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"Germany","Business","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","13"
"Germany","Business","2017Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"Germany","Business","2018Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"Germany","Business","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","11"
"Germany","Business","2018Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"Germany","Business","2018Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"Germany","Business","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","9"
"Germany","Business","2018Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"Germany","Business","2018Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","6"
"Germany","Business","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","14"
"Germany","Business","2018Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Germany","Business","2018Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"Germany","Business","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","21"
"Germany","Business","2018Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"Germany","Business","2019Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5"
"Germany","Business","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","12"
"Germany","Business","2019Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"Germany","Business","2019Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.7"
"Germany","Business","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","13"
"Germany","Business","2019Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Germany","Business","2019Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.5"
"Germany","Business","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","18"
"Germany","Business","2019Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Germany","Business","2019Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"Germany","Business","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","12"
"Germany","Business","2019Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"Germany","Other reason for journey","2012Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","35.8"
"Germany","Other reason for journey","2012Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","4"
"Germany","Other reason for journey","2012Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"Germany","Other reason for journey","2012Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","18"
"Germany","Other reason for journey","2012Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","9"
"Germany","Other reason for journey","2012Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"Germany","Other reason for journey","2012Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","21.8"
"Germany","Other reason for journey","2012Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","5"
"Germany","Other reason for journey","2012Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"Germany","Other reason for journey","2012Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","24.7"
"Germany","Other reason for journey","2012Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","12"
"Germany","Other reason for journey","2012Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","13"
"Germany","Other reason for journey","2013Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","48.1"
"Germany","Other reason for journey","2013Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","3"
"Germany","Other reason for journey","2013Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"Germany","Other reason for journey","2013Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","20.5"
"Germany","Other reason for journey","2013Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","11"
"Germany","Other reason for journey","2013Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"Germany","Other reason for journey","2013Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","21.8"
"Germany","Other reason for journey","2013Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","7"
"Germany","Other reason for journey","2013Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Germany","Other reason for journey","2013Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","29.2"
"Germany","Other reason for journey","2013Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","7"
"Germany","Other reason for journey","2013Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","13"
"Germany","Other reason for journey","2014Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","39"
"Germany","Other reason for journey","2014Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","6"
"Germany","Other reason for journey","2014Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","13"
"Germany","Other reason for journey","2014Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","19.9"
"Germany","Other reason for journey","2014Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","15"
"Germany","Other reason for journey","2014Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","13"
"Germany","Other reason for journey","2014Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","19.5"
"Germany","Other reason for journey","2014Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","5"
"Germany","Other reason for journey","2014Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"Germany","Other reason for journey","2014Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","25.4"
"Germany","Other reason for journey","2014Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","7"
"Germany","Other reason for journey","2014Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"Germany","Other reason for journey","2015Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","47.3"
"Germany","Other reason for journey","2015Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","8"
"Germany","Other reason for journey","2015Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"Germany","Other reason for journey","2015Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","28.1"
"Germany","Other reason for journey","2015Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","8"
"Germany","Other reason for journey","2015Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"Germany","Other reason for journey","2015Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.2"
"Germany","Other reason for journey","2015Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","6"
"Germany","Other reason for journey","2015Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"Germany","Other reason for journey","2015Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","33.3"
"Germany","Other reason for journey","2015Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","17"
"Germany","Other reason for journey","2015Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"Germany","Other reason for journey","2016Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","28.4"
"Germany","Other reason for journey","2016Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","7"
"Germany","Other reason for journey","2016Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"Germany","Other reason for journey","2016Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","22.4"
"Germany","Other reason for journey","2016Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","6"
"Germany","Other reason for journey","2016Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Germany","Other reason for journey","2016Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.3"
"Germany","Other reason for journey","2016Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","9"
"Germany","Other reason for journey","2016Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"Germany","Other reason for journey","2016Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","20"
"Germany","Other reason for journey","2016Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","6"
"Germany","Other reason for journey","2016Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Germany","Other reason for journey","2017Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","23.2"
"Germany","Other reason for journey","2017Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","5"
"Germany","Other reason for journey","2017Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Germany","Other reason for journey","2017Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.4"
"Germany","Other reason for journey","2017Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","10"
"Germany","Other reason for journey","2017Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"Germany","Other reason for journey","2017Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.5"
"Germany","Other reason for journey","2017Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","6"
"Germany","Other reason for journey","2017Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"Germany","Other reason for journey","2017Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","26.5"
"Germany","Other reason for journey","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","17"
"Germany","Other reason for journey","2017Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","12"
"Germany","Other reason for journey","2018Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","17.3"
"Germany","Other reason for journey","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","7"
"Germany","Other reason for journey","2018Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"Germany","Other reason for journey","2018Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.1"
"Germany","Other reason for journey","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","11"
"Germany","Other reason for journey","2018Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"Germany","Other reason for journey","2018Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.3"
"Germany","Other reason for journey","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","5"
"Germany","Other reason for journey","2018Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"Germany","Other reason for journey","2018Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.5"
"Germany","Other reason for journey","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","11"
"Germany","Other reason for journey","2018Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","12"
"Germany","Other reason for journey","2019Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","14"
"Germany","Other reason for journey","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","9"
"Germany","Other reason for journey","2019Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"Germany","Other reason for journey","2019Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.2"
"Germany","Other reason for journey","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","8"
"Germany","Other reason for journey","2019Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"Germany","Other reason for journey","2019Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.6"
"Germany","Other reason for journey","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","8"
"Germany","Other reason for journey","2019Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","13"
"Germany","Other reason for journey","2019Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.5"
"Germany","Other reason for journey","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","14"
"Germany","Other reason for journey","2019Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"France","All reasons for journey","2012Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"France","All reasons for journey","2012Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","29"
"France","All reasons for journey","2012Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"France","All reasons for journey","2012Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.5"
"France","All reasons for journey","2012Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","63"
"France","All reasons for journey","2012Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"France","All reasons for journey","2012Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.6"
"France","All reasons for journey","2012Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","66"
"France","All reasons for journey","2012Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"France","All reasons for journey","2012Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.6"
"France","All reasons for journey","2012Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","31"
"France","All reasons for journey","2012Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"France","All reasons for journey","2013Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"France","All reasons for journey","2013Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","37"
"France","All reasons for journey","2013Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"France","All reasons for journey","2013Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.1"
"France","All reasons for journey","2013Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","60"
"France","All reasons for journey","2013Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"France","All reasons for journey","2013Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.7"
"France","All reasons for journey","2013Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","72"
"France","All reasons for journey","2013Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"France","All reasons for journey","2013Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.4"
"France","All reasons for journey","2013Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","31"
"France","All reasons for journey","2013Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"France","All reasons for journey","2014Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"France","All reasons for journey","2014Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","25"
"France","All reasons for journey","2014Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"France","All reasons for journey","2014Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"France","All reasons for journey","2014Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","64"
"France","All reasons for journey","2014Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"France","All reasons for journey","2014Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.5"
"France","All reasons for journey","2014Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","78"
"France","All reasons for journey","2014Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"France","All reasons for journey","2014Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"France","All reasons for journey","2014Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","34"
"France","All reasons for journey","2014Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"France","All reasons for journey","2015Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"France","All reasons for journey","2015Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","33"
"France","All reasons for journey","2015Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"France","All reasons for journey","2015Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.5"
"France","All reasons for journey","2015Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","78"
"France","All reasons for journey","2015Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"France","All reasons for journey","2015Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.8"
"France","All reasons for journey","2015Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","84"
"France","All reasons for journey","2015Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"France","All reasons for journey","2015Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"France","All reasons for journey","2015Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","41"
"France","All reasons for journey","2015Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"France","All reasons for journey","2016Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"France","All reasons for journey","2016Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","42"
"France","All reasons for journey","2016Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"France","All reasons for journey","2016Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.9"
"France","All reasons for journey","2016Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","92"
"France","All reasons for journey","2016Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"France","All reasons for journey","2016Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.6"
"France","All reasons for journey","2016Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","103"
"France","All reasons for journey","2016Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"France","All reasons for journey","2016Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"France","All reasons for journey","2016Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","38"
"France","All reasons for journey","2016Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"France","All reasons for journey","2017Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.6"
"France","All reasons for journey","2017Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","51"
"France","All reasons for journey","2017Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"France","All reasons for journey","2017Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"France","All reasons for journey","2017Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","82"
"France","All reasons for journey","2017Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"France","All reasons for journey","2017Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.5"
"France","All reasons for journey","2017Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","99"
"France","All reasons for journey","2017Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"France","All reasons for journey","2017Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.3"
"France","All reasons for journey","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","63"
"France","All reasons for journey","2017Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"France","All reasons for journey","2018Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.1"
"France","All reasons for journey","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","48"
"France","All reasons for journey","2018Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"France","All reasons for journey","2018Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.7"
"France","All reasons for journey","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","104"
"France","All reasons for journey","2018Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"France","All reasons for journey","2018Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.5"
"France","All reasons for journey","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","97"
"France","All reasons for journey","2018Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"France","All reasons for journey","2018Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"France","All reasons for journey","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","43"
"France","All reasons for journey","2018Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"France","All reasons for journey","2019Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"France","All reasons for journey","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","43"
"France","All reasons for journey","2019Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"France","All reasons for journey","2019Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.8"
"France","All reasons for journey","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","81"
"France","All reasons for journey","2019Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"France","All reasons for journey","2019Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.6"
"France","All reasons for journey","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","98"
"France","All reasons for journey","2019Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"France","All reasons for journey","2019Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"France","All reasons for journey","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","46"
"France","All reasons for journey","2019Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"France","Holiday/leisure/recreation","2012Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.4"
"France","Holiday/leisure/recreation","2012Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","10"
"France","Holiday/leisure/recreation","2012Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"France","Holiday/leisure/recreation","2012Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.7"
"France","Holiday/leisure/recreation","2012Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","46"
"France","Holiday/leisure/recreation","2012Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"France","Holiday/leisure/recreation","2012Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.8"
"France","Holiday/leisure/recreation","2012Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","49"
"France","Holiday/leisure/recreation","2012Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"France","Holiday/leisure/recreation","2012Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"France","Holiday/leisure/recreation","2012Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","15"
"France","Holiday/leisure/recreation","2012Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"France","Holiday/leisure/recreation","2013Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.9"
"France","Holiday/leisure/recreation","2013Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","17"
"France","Holiday/leisure/recreation","2013Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"France","Holiday/leisure/recreation","2013Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"France","Holiday/leisure/recreation","2013Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","36"
"France","Holiday/leisure/recreation","2013Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"France","Holiday/leisure/recreation","2013Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.2"
"France","Holiday/leisure/recreation","2013Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","54"
"France","Holiday/leisure/recreation","2013Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"France","Holiday/leisure/recreation","2013Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"France","Holiday/leisure/recreation","2013Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","12"
