"Area of Residence","Reason for Journey","Quarter","Statistic Label","UNIT","VALUE"
"All Countries","All reasons for journey","2016Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"All Countries","All reasons for journey","2016Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","930"
"All Countries","All reasons for journey","2016Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","All reasons for journey","2017Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"All Countries","All reasons for journey","2017Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","684"
"All Countries","All reasons for journey","2017Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","All reasons for journey","2017Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"All Countries","All reasons for journey","2017Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1408"
"All Countries","All reasons for journey","2017Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","All reasons for journey","2017Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"All Countries","All reasons for journey","2017Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1736"
"All Countries","All reasons for journey","2017Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","All reasons for journey","2017Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"All Countries","All reasons for journey","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1046"
"All Countries","All reasons for journey","2017Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","All reasons for journey","2018Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"All Countries","All reasons for journey","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","795"
"All Countries","All reasons for journey","2018Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","All reasons for journey","2018Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"All Countries","All reasons for journey","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1475"
"All Countries","All reasons for journey","2018Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","All reasons for journey","2018Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"All Countries","All reasons for journey","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1832"
"All Countries","All reasons for journey","2018Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","All reasons for journey","2018Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"All Countries","All reasons for journey","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1047"
"All Countries","All reasons for journey","2018Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","All reasons for journey","2019Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6"
"All Countries","All reasons for journey","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","763"
"All Countries","All reasons for journey","2019Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","All reasons for journey","2019Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
