"Statistic Label","Area of Residence","Reason for Journey","Quarter","UNIT","VALUE"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","All reasons for journey","2017Q2","%","38"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","All reasons for journey","2017Q3","%","40"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","All reasons for journey","2017Q4","%","44"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","All reasons for journey","2018Q1","%","41"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","All reasons for journey","2018Q2","%","36"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","All reasons for journey","2018Q3","%","34"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","All reasons for journey","2018Q4","%","41"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","All reasons for journey","2019Q1","%","39"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","All reasons for journey","2019Q2","%","34"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","All reasons for journey","2019Q3","%","34"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","All reasons for journey","2019Q4","%","38"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2012Q1","%","49"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2012Q2","%","39"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2012Q3","%","50"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2012Q4","%","37"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2013Q1","%","47"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2013Q2","%","25"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2013Q3","%","45"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2013Q4","%","60"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2014Q1","%","61"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2014Q2","%","45"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2014Q3","%","39"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2014Q4","%","39"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2015Q1","%","50"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2015Q2","%","38"
