"Statistic Label","Type of Expenditure","Quarter","UNIT","VALUE"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2012Q1","Euro Million","621"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2012Q2","Euro Million","1048"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2012Q3","Euro Million","1296"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2012Q4","Euro Million","806"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2013Q1","Euro Million","688"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2013Q2","Euro Million","1140"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2013Q3","Euro Million","1546"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2013Q4","Euro Million","864"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2014Q1","Euro Million","699"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2014Q2","Euro Million","1331"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2014Q3","Euro Million","1734"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2014Q4","Euro Million","952"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2015Q1","Euro Million","780"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2015Q2","Euro Million","1566"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2015Q3","Euro Million","2037"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2015Q4","Euro Million","1148"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2016Q1","Euro Million","926"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2016Q2","Euro Million","1655"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2016Q3","Euro Million","2241"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2016Q4","Euro Million","1242"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2017Q1","Euro Million","945"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2017Q2","Euro Million","1876"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2017Q3","Euro Million","2287"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2017Q4","Euro Million","1377"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2018Q1","Euro Million","1079"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2018Q2","Euro Million","1970"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2018Q3","Euro Million","2425"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2018Q4","Euro Million","1400"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2019Q1","Euro Million","1029"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2019Q2","Euro Million","2012"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2019Q3","Euro Million","2448"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2019Q4","Euro Million","1378"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2012Q1","Euro Million","821"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2012Q2","Euro Million","1054"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2012Q3","Euro Million","1648"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2012Q4","Euro Million","889"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2013Q1","Euro Million","828"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2013Q2","Euro Million","1037"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2013Q3","Euro Million","1565"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2013Q4","Euro Million","865"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2014Q1","Euro Million","723"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2014Q2","Euro Million","1133"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2014Q3","Euro Million","1559"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2014Q4","Euro Million","952"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2015Q1","Euro Million","794"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2015Q2","Euro Million","1170"
