"Statistic Label","Type of Accommodation Used","Area of Residence","Quarter","UNIT","VALUE"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2013Q4","Thousand","924"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2014Q1","Thousand","683"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2014Q2","Thousand","1668"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2014Q3","Thousand","2154"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2014Q4","Thousand","1058"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2015Q1","Thousand","849"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2015Q2","Thousand","1960"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2015Q3","Thousand","2603"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2015Q4","Thousand","1176"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2016Q1","Thousand","950"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2016Q2","Thousand","2204"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2016Q3","Thousand","2658"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2016Q4","Thousand","1277"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2017Q1","Thousand","945"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2017Q2","Thousand","2401"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2017Q3","Thousand","2526"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2017Q4","Thousand","1259"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2018Q1","Thousand","1125"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2018Q2","Thousand","2178"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2018Q3","Thousand","2581"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2018Q4","Thousand","1382"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2019Q1","Thousand","1222"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2019Q2","Thousand","2358"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2019Q3","Thousand","2737"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2019Q4","Thousand","1515"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2012Q1","Thousand","417"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2012Q2","Thousand","1073"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2012Q3","Thousand","1615"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2012Q4","Thousand","931"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2013Q1","Thousand","451"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2013Q2","Thousand","1291"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2013Q3","Thousand","1634"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2013Q4","Thousand","693"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2014Q1","Thousand","488"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2014Q2","Thousand","1226"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2014Q3","Thousand","1815"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2014Q4","Thousand","826"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2015Q1","Thousand","524"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2015Q2","Thousand","1533"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2015Q3","Thousand","2007"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2015Q4","Thousand","980"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2016Q1","Thousand","620"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2016Q2","Thousand","1541"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2016Q3","Thousand","1960"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2016Q4","Thousand","1263"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2017Q1","Thousand","613"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2017Q2","Thousand","2080"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2017Q3","Thousand","2443"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2017Q4","Thousand","1265"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2018Q1","Thousand","757"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2018Q2","Thousand","1937"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2018Q3","Thousand","2887"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2018Q4","Thousand","1602"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2019Q1","Thousand","921"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2019Q2","Thousand","2267"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2019Q3","Thousand","2630"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2019Q4","Thousand","1167"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2012Q1","Thousand","116"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2012Q2","Thousand","295"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2012Q3","Thousand","430"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2012Q4","Thousand","272"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2013Q1","Thousand","112"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2013Q2","Thousand","353"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2013Q3","Thousand","422"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2013Q4","Thousand","298"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2014Q1","Thousand","176"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2014Q2","Thousand","298"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2014Q3","Thousand","421"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2014Q4","Thousand","248"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2015Q1","Thousand","184"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2015Q2","Thousand","376"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2015Q3","Thousand","501"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2015Q4","Thousand","337"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2016Q1","Thousand","191"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2016Q2","Thousand","376"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2016Q3","Thousand","555"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2016Q4","Thousand","373"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2017Q1","Thousand","252"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2017Q2","Thousand","460"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2017Q3","Thousand","576"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2017Q4","Thousand","334"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2018Q1","Thousand","279"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2018Q2","Thousand","455"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2018Q3","Thousand","578"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2018Q4","Thousand","329"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2019Q1","Thousand","256"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2019Q2","Thousand","498"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2019Q3","Thousand","697"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2019Q4","Thousand","407"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2012Q1","Thousand","1023"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2012Q2","Thousand","1841"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2012Q3","Thousand","1453"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2012Q4","Thousand","1731"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2013Q1","Thousand","1191"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2013Q2","Thousand","2083"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2013Q3","Thousand","1906"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2013Q4","Thousand","1755"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2014Q1","Thousand","1319"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2014Q2","Thousand","2469"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2014Q3","Thousand","2201"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2014Q4","Thousand","1862"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2015Q1","Thousand","1600"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2015Q2","Thousand","3068"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2015Q3","Thousand","2690"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2015Q4","Thousand","2071"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2016Q1","Thousand","2177"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2016Q2","Thousand","2803"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2016Q3","Thousand","2983"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2016Q4","Thousand","2424"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2017Q1","Thousand","1799"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2017Q2","Thousand","2766"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2017Q3","Thousand","3013"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2017Q4","Thousand","3248"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2018Q1","Thousand","2214"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2018Q2","Thousand","3221"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2018Q3","Thousand","2828"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2018Q4","Thousand","2812"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2019Q1","Thousand","1964"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2019Q2","Thousand","3301"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2019Q3","Thousand","2592"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2019Q4","Thousand","3113"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2012Q1","Thousand","126"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2012Q2","Thousand","313"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2012Q3","Thousand","311"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2012Q4","Thousand","382"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2013Q1","Thousand","211"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2013Q2","Thousand","285"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2013Q3","Thousand","400"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2013Q4","Thousand","275"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2014Q1","Thousand","147"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2014Q2","Thousand","253"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2014Q3","Thousand","502"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2014Q4","Thousand","272"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2015Q1","Thousand","123"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2015Q2","Thousand","368"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2015Q3","Thousand","569"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2015Q4","Thousand","239"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2016Q1","Thousand","240"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2016Q2","Thousand","407"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2016Q3","Thousand","468"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2016Q4","Thousand","262"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2017Q1","Thousand","198"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2017Q2","Thousand","408"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2017Q3","Thousand","568"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2017Q4","Thousand","261"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2018Q1","Thousand","232"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2018Q2","Thousand","290"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2018Q3","Thousand","420"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2018Q4","Thousand","236"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2019Q1","Thousand","156"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2019Q2","Thousand","396"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2019Q3","Thousand","418"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2019Q4","Thousand","176"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2012Q1","Thousand","583"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2012Q2","Thousand","798"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2012Q3","Thousand","699"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2012Q4","Thousand","1024"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2013Q1","Thousand","584"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2013Q2","Thousand","1201"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2013Q3","Thousand","971"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2013Q4","Thousand","843"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2014Q1","Thousand","769"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2014Q2","Thousand","1460"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2014Q3","Thousand","1075"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2014Q4","Thousand","1144"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2015Q1","Thousand","1068"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2015Q2","Thousand","1564"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2015Q3","Thousand","1443"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2015Q4","Thousand","971"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2016Q1","Thousand","1263"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2016Q2","Thousand","1504"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2016Q3","Thousand","1466"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2016Q4","Thousand","1112"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2017Q1","Thousand","941"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2017Q2","Thousand","1368"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2017Q3","Thousand","1394"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2017Q4","Thousand","1778"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2018Q1","Thousand","1073"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2018Q2","Thousand","1970"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2018Q3","Thousand","1526"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2018Q4","Thousand","1804"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2019Q1","Thousand","1138"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2019Q2","Thousand","1784"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2019Q3","Thousand","1319"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2019Q4","Thousand","1587"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2012Q1","Thousand","114"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2012Q2","Thousand","410"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2012Q3","Thousand","266"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2012Q4","Thousand","186"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2013Q1","Thousand","206"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2013Q2","Thousand","388"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2013Q3","Thousand","233"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2013Q4","Thousand","388"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2014Q1","Thousand","128"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2014Q2","Thousand","379"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2014Q3","Thousand","330"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2014Q4","Thousand","249"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2015Q1","Thousand","189"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2015Q2","Thousand","726"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2015Q3","Thousand","320"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2015Q4","Thousand","370"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2016Q1","Thousand","223"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2016Q2","Thousand","463"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2016Q3","Thousand","447"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2016Q4","Thousand","570"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2017Q1","Thousand","206"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2017Q2","Thousand","567"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2017Q3","Thousand","439"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2017Q4","Thousand","421"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2018Q1","Thousand","265"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2018Q2","Thousand","581"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2018Q3","Thousand","421"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2018Q4","Thousand","464"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2019Q1","Thousand","212"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2019Q2","Thousand","623"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2019Q3","Thousand","478"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2019Q4","Thousand","890"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2012Q1","Thousand","200"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2012Q2","Thousand","320"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2012Q3","Thousand","177"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2012Q4","Thousand","139"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2013Q1","Thousand","189"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2013Q2","Thousand","209"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2013Q3","Thousand","303"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2013Q4","Thousand","250"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2014Q1","Thousand","275"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2014Q2","Thousand","376"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2014Q3","Thousand","294"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2014Q4","Thousand","198"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2015Q1","Thousand","220"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2015Q2","Thousand","409"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2015Q3","Thousand","359"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2015Q4","Thousand","490"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2016Q1","Thousand","451"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Areas","2016Q2","Thousand","429"
