"Statistic Label","Type of Expenditure","Quarter","UNIT","VALUE"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2014Q3","Euro Million","383"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2014Q4","Euro Million","224"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2015Q1","Euro Million","186"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2015Q2","Euro Million","305"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2015Q3","Euro Million","416"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2015Q4","Euro Million","242"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2016Q1","Euro Million","210"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2016Q2","Euro Million","310"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2016Q3","Euro Million","460"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2016Q4","Euro Million","267"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2017Q1","Euro Million","221"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2017Q2","Euro Million","383"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2017Q3","Euro Million","487"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2017Q4","Euro Million","287"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2018Q1","Euro Million","252"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2018Q2","Euro Million","393"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2018Q3","Euro Million","484"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2018Q4","Euro Million","294"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2019Q1","Euro Million","232"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2019Q2","Euro Million","396"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2019Q3","Euro Million","497"
"Estimated Expenditure by Irish Residents on Overseas Trips","Fare payments by Irish residents abroad to Irish carriers","2019Q4","Euro Million","310"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2012Q1","Euro Million","821"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2012Q2","Euro Million","1054"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2012Q3","Euro Million","1648"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2012Q4","Euro Million","889"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2013Q1","Euro Million","828"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2013Q2","Euro Million","1037"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2013Q3","Euro Million","1565"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2013Q4","Euro Million","865"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2014Q1","Euro Million","723"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2014Q2","Euro Million","1133"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2014Q3","Euro Million","1559"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2014Q4","Euro Million","952"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2015Q1","Euro Million","794"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2015Q2","Euro Million","1170"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2015Q3","Euro Million","1680"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2015Q4","Euro Million","1050"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2016Q1","Euro Million","971"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2016Q2","Euro Million","1243"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2016Q3","Euro Million","1771"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2016Q4","Euro Million","1118"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2017Q1","Euro Million","952"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2017Q2","Euro Million","1281"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2017Q3","Euro Million","1875"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2017Q4","Euro Million","1107"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2018Q1","Euro Million","1047"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2018Q2","Euro Million","1438"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2018Q3","Euro Million","1931"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2018Q4","Euro Million","1223"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2019Q1","Euro Million","1260"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2019Q2","Euro Million","1689"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2019Q3","Euro Million","2223"
"Estimated Expenditure by Irish Residents on Overseas Trips","Overseas tourism and travel expenditure by Irish residents abroad","2019Q4","Euro Million","1308"
