"Area of Residence","Quarter","Statistic Label","UNIT","VALUE"
"All Countries","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1046"
"All Countries","2018Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1921"
"All Countries","2018Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"All Countries","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","795"
"All Countries","2018Q2","Overseas Trips to Ireland by Non-Residents","Thousand","2952"
"All Countries","2018Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"All Countries","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1475"
"All Countries","2018Q3","Overseas Trips to Ireland by Non-Residents","Thousand","3331"
"All Countries","2018Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"All Countries","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1832"
"All Countries","2018Q4","Overseas Trips to Ireland by Non-Residents","Thousand","2413"
"All Countries","2018Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"All Countries","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1047"
"All Countries","2019Q1","Overseas Trips to Ireland by Non-Residents","Thousand","2027"
"All Countries","2019Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6"
"All Countries","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","763"
"All Countries","2019Q2","Overseas Trips to Ireland by Non-Residents","Thousand","3022"
"All Countries","2019Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"All Countries","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1513"
"All Countries","2019Q3","Overseas Trips to Ireland by Non-Residents","Thousand","3334"
"All Countries","2019Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"All Countries","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1824"
"All Countries","2019Q4","Overseas Trips to Ireland by Non-Residents","Thousand","2425"
"All Countries","2019Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"All Countries","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1001"
"Germany","2012Q1","Overseas Trips to Ireland by Non-Residents","Thousand","66"
"Germany","2012Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.9"
"Germany","2012Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","27"
"Germany","2012Q2","Overseas Trips to Ireland by Non-Residents","Thousand","134"
"Germany","2012Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"Germany","2012Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","71"
"Germany","2012Q3","Overseas Trips to Ireland by Non-Residents","Thousand","155"
"Germany","2012Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.2"
"Germany","2012Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","82"
"Germany","2012Q4","Overseas Trips to Ireland by Non-Residents","Thousand","93"
"Germany","2012Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.3"
"Germany","2012Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","47"
"Germany","2013Q1","Overseas Trips to Ireland by Non-Residents","Thousand","73"
"Germany","2013Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.4"
"Germany","2013Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","37"
"Germany","2013Q2","Overseas Trips to Ireland by Non-Residents","Thousand","141"
"Germany","2013Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.2"
