"Area of Residence","Quarter","Statistic Label","UNIT","VALUE"
"Italy","2014Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","23"
"Italy","2015Q1","Overseas Trips to Ireland by Non-Residents","Thousand","60"
"Italy","2015Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"Italy","2015Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","24"
"Italy","2015Q2","Overseas Trips to Ireland by Non-Residents","Thousand","81"
"Italy","2015Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"Italy","2015Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","32"
"Italy","2015Q3","Overseas Trips to Ireland by Non-Residents","Thousand","116"
"Italy","2015Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.7"
"Italy","2015Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","70"
"Italy","2015Q4","Overseas Trips to Ireland by Non-Residents","Thousand","65"
"Italy","2015Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.5"
"Italy","2015Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","26"
"Italy","2016Q1","Overseas Trips to Ireland by Non-Residents","Thousand","62"
"Italy","2016Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"Italy","2016Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","22"
"Italy","2016Q2","Overseas Trips to Ireland by Non-Residents","Thousand","96"
"Italy","2016Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.5"
"Italy","2016Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","44"
"Italy","2016Q3","Overseas Trips to Ireland by Non-Residents","Thousand","129"
"Italy","2016Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.9"
"Italy","2016Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","88"
"Italy","2016Q4","Overseas Trips to Ireland by Non-Residents","Thousand","58"
"Italy","2016Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"Italy","2016Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","21"
"Italy","2017Q1","Overseas Trips to Ireland by Non-Residents","Thousand","60"
"Italy","2017Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.7"
"Italy","2017Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","23"
"Italy","2017Q2","Overseas Trips to Ireland by Non-Residents","Thousand","97"
"Italy","2017Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.8"
"Italy","2017Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","55"
"Italy","2017Q3","Overseas Trips to Ireland by Non-Residents","Thousand","130"
"Italy","2017Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"Italy","2017Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","80"
"Italy","2017Q4","Overseas Trips to Ireland by Non-Residents","Thousand","76"
"Italy","2017Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.6"
"Italy","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","33"
"Italy","2018Q1","Overseas Trips to Ireland by Non-Residents","Thousand","71"
"Italy","2018Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"Italy","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","30"
"Italy","2018Q2","Overseas Trips to Ireland by Non-Residents","Thousand","108"
"Italy","2018Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"Italy","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","46"
"Italy","2018Q3","Overseas Trips to Ireland by Non-Residents","Thousand","142"
"Italy","2018Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.3"
"Italy","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","82"
"Italy","2018Q4","Overseas Trips to Ireland by Non-Residents","Thousand","87"
"Italy","2018Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.3"
"Italy","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","39"
"Italy","2019Q1","Overseas Trips to Ireland by Non-Residents","Thousand","67"
"Italy","2019Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.4"
"Italy","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","25"
"Italy","2019Q2","Overseas Trips to Ireland by Non-Residents","Thousand","98"
"Italy","2019Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"Italy","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","36"
"Italy","2019Q3","Overseas Trips to Ireland by Non-Residents","Thousand","148"
"Italy","2019Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.5"
"Italy","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","90"
"Italy","2019Q4","Overseas Trips to Ireland by Non-Residents","Thousand","79"
"Italy","2019Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"Italy","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","28"
"United States and Canada","2012Q1","Overseas Trips to Ireland by Non-Residents","Thousand","145"
"United States and Canada","2012Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8"
"United States and Canada","2012Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","97"
"United States and Canada","2012Q2","Overseas Trips to Ireland by Non-Residents","Thousand","306"
"United States and Canada","2012Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.6"
"United States and Canada","2012Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","210"
"United States and Canada","2012Q3","Overseas Trips to Ireland by Non-Residents","Thousand","365"
"United States and Canada","2012Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.4"
"United States and Canada","2012Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","287"
"United States and Canada","2012Q4","Overseas Trips to Ireland by Non-Residents","Thousand","201"
"United States and Canada","2012Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.1"
"United States and Canada","2012Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","148"
"United States and Canada","2013Q1","Overseas Trips to Ireland by Non-Residents","Thousand","169"
"United States and Canada","2013Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"United States and Canada","2013Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","101"
"United States and Canada","2013Q2","Overseas Trips to Ireland by Non-Residents","Thousand","351"
"United States and Canada","2013Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"United States and Canada","2013Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","239"
"United States and Canada","2013Q3","Overseas Trips to Ireland by Non-Residents","Thousand","415"
"United States and Canada","2013Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"United States and Canada","2013Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","329"
"United States and Canada","2013Q4","Overseas Trips to Ireland by Non-Residents","Thousand","223"
"United States and Canada","2013Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.8"
"United States and Canada","2013Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","153"
"United States and Canada","2014Q1","Overseas Trips to Ireland by Non-Residents","Thousand","179"
"United States and Canada","2014Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"United States and Canada","2014Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","107"
"United States and Canada","2014Q2","Overseas Trips to Ireland by Non-Residents","Thousand","396"
"United States and Canada","2014Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"United States and Canada","2014Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","267"
"United States and Canada","2014Q3","Overseas Trips to Ireland by Non-Residents","Thousand","490"
"United States and Canada","2014Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"United States and Canada","2014Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","389"
"United States and Canada","2014Q4","Overseas Trips to Ireland by Non-Residents","Thousand","264"
"United States and Canada","2014Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"United States and Canada","2014Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","172"
"United States and Canada","2015Q1","Overseas Trips to Ireland by Non-Residents","Thousand","191"
"United States and Canada","2015Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"United States and Canada","2015Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","125"
"United States and Canada","2015Q2","Overseas Trips to Ireland by Non-Residents","Thousand","468"
"United States and Canada","2015Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"United States and Canada","2015Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","375"
"United States and Canada","2015Q3","Overseas Trips to Ireland by Non-Residents","Thousand","550"
"United States and Canada","2015Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"United States and Canada","2015Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","470"
"United States and Canada","2015Q4","Overseas Trips to Ireland by Non-Residents","Thousand","305"
"United States and Canada","2015Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","8"
"United States and Canada","2015Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","226"
"United States and Canada","2016Q1","Overseas Trips to Ireland by Non-Residents","Thousand","238"
"United States and Canada","2016Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"United States and Canada","2016Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","144"
"United States and Canada","2016Q2","Overseas Trips to Ireland by Non-Residents","Thousand","520"
"United States and Canada","2016Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.7"
"United States and Canada","2016Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","394"
"United States and Canada","2016Q3","Overseas Trips to Ireland by Non-Residents","Thousand","638"
"United States and Canada","2016Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"United States and Canada","2016Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","494"
"United States and Canada","2016Q4","Overseas Trips to Ireland by Non-Residents","Thousand","412"
"United States and Canada","2016Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"United States and Canada","2016Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","303"
"United States and Canada","2017Q1","Overseas Trips to Ireland by Non-Residents","Thousand","293"
"United States and Canada","2017Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6"
"United States and Canada","2017Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","152"
"United States and Canada","2017Q2","Overseas Trips to Ireland by Non-Residents","Thousand","629"
"United States and Canada","2017Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"United States and Canada","2017Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","476"
"United States and Canada","2017Q3","Overseas Trips to Ireland by Non-Residents","Thousand","733"
"United States and Canada","2017Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"United States and Canada","2017Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","580"
"United States and Canada","2017Q4","Overseas Trips to Ireland by Non-Residents","Thousand","447"
"United States and Canada","2017Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"United States and Canada","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","315"
"United States and Canada","2018Q1","Overseas Trips to Ireland by Non-Residents","Thousand","332"
"United States and Canada","2018Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"United States and Canada","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","194"
"United States and Canada","2018Q2","Overseas Trips to Ireland by Non-Residents","Thousand","689"
"United States and Canada","2018Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"United States and Canada","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","493"
"United States and Canada","2018Q3","Overseas Trips to Ireland by Non-Residents","Thousand","847"
"United States and Canada","2018Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"United States and Canada","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","681"
"United States and Canada","2018Q4","Overseas Trips to Ireland by Non-Residents","Thousand","516"
"United States and Canada","2018Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"United States and Canada","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","367"
"United States and Canada","2019Q1","Overseas Trips to Ireland by Non-Residents","Thousand","367"
"United States and Canada","2019Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.9"
"United States and Canada","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","200"
"United States and Canada","2019Q2","Overseas Trips to Ireland by Non-Residents","Thousand","746"
"United States and Canada","2019Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"United States and Canada","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","546"
"United States and Canada","2019Q3","Overseas Trips to Ireland by Non-Residents","Thousand","825"
"United States and Canada","2019Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"United States and Canada","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","644"
"United States and Canada","2019Q4","Overseas Trips to Ireland by Non-Residents","Thousand","474"
"United States and Canada","2019Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"United States and Canada","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","301"
"Great Britain (includes England, Scotland, Wales)","2012Q1","Overseas Trips to Ireland by Non-Residents","Thousand","562"
"Great Britain (includes England, Scotland, Wales)","2012Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.3"
"Great Britain (includes England, Scotland, Wales)","2012Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","168"
"Great Britain (includes England, Scotland, Wales)","2012Q2","Overseas Trips to Ireland by Non-Residents","Thousand","735"
"Great Britain (includes England, Scotland, Wales)","2012Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.4"
"Great Britain (includes England, Scotland, Wales)","2012Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","218"
"Great Britain (includes England, Scotland, Wales)","2012Q3","Overseas Trips to Ireland by Non-Residents","Thousand","830"
"Great Britain (includes England, Scotland, Wales)","2012Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"Great Britain (includes England, Scotland, Wales)","2012Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","246"
"Great Britain (includes England, Scotland, Wales)","2012Q4","Overseas Trips to Ireland by Non-Residents","Thousand","646"
"Great Britain (includes England, Scotland, Wales)","2012Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.4"
"Great Britain (includes England, Scotland, Wales)","2012Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","186"
"Great Britain (includes England, Scotland, Wales)","2013Q1","Overseas Trips to Ireland by Non-Residents","Thousand","570"
"Great Britain (includes England, Scotland, Wales)","2013Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.5"
"Great Britain (includes England, Scotland, Wales)","2013Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","176"
"Great Britain (includes England, Scotland, Wales)","2013Q2","Overseas Trips to Ireland by Non-Residents","Thousand","727"
"Great Britain (includes England, Scotland, Wales)","2013Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.3"
"Great Britain (includes England, Scotland, Wales)","2013Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","194"
"Great Britain (includes England, Scotland, Wales)","2013Q3","Overseas Trips to Ireland by Non-Residents","Thousand","905"
"Great Britain (includes England, Scotland, Wales)","2013Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.5"
"Great Britain (includes England, Scotland, Wales)","2013Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","281"
"Great Britain (includes England, Scotland, Wales)","2013Q4","Overseas Trips to Ireland by Non-Residents","Thousand","727"
"Great Britain (includes England, Scotland, Wales)","2013Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.2"
"Great Britain (includes England, Scotland, Wales)","2013Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","196"
"Great Britain (includes England, Scotland, Wales)","2014Q1","Overseas Trips to Ireland by Non-Residents","Thousand","635"
"Great Britain (includes England, Scotland, Wales)","2014Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.3"
"Great Britain (includes England, Scotland, Wales)","2014Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","171"
"Great Britain (includes England, Scotland, Wales)","2014Q2","Overseas Trips to Ireland by Non-Residents","Thousand","838"
"Great Britain (includes England, Scotland, Wales)","2014Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.2"
"Great Britain (includes England, Scotland, Wales)","2014Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","223"
"Great Britain (includes England, Scotland, Wales)","2014Q3","Overseas Trips to Ireland by Non-Residents","Thousand","923"
"Great Britain (includes England, Scotland, Wales)","2014Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.5"
"Great Britain (includes England, Scotland, Wales)","2014Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","280"
"Great Britain (includes England, Scotland, Wales)","2014Q4","Overseas Trips to Ireland by Non-Residents","Thousand","768"
"Great Britain (includes England, Scotland, Wales)","2014Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.9"
"Great Britain (includes England, Scotland, Wales)","2014Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","212"
"Great Britain (includes England, Scotland, Wales)","2015Q1","Overseas Trips to Ireland by Non-Residents","Thousand","726"
"Great Britain (includes England, Scotland, Wales)","2015Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.1"
"Great Britain (includes England, Scotland, Wales)","2015Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","181"
"Great Britain (includes England, Scotland, Wales)","2015Q2","Overseas Trips to Ireland by Non-Residents","Thousand","886"
"Great Britain (includes England, Scotland, Wales)","2015Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.2"
"Great Britain (includes England, Scotland, Wales)","2015Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","246"
"Great Britain (includes England, Scotland, Wales)","2015Q3","Overseas Trips to Ireland by Non-Residents","Thousand","1050"
"Great Britain (includes England, Scotland, Wales)","2015Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.1"
"Great Britain (includes England, Scotland, Wales)","2015Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","309"
"Great Britain (includes England, Scotland, Wales)","2015Q4","Overseas Trips to Ireland by Non-Residents","Thousand","884"
"Great Britain (includes England, Scotland, Wales)","2015Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.6"
"Great Britain (includes England, Scotland, Wales)","2015Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","236"
"Great Britain (includes England, Scotland, Wales)","2016Q1","Overseas Trips to Ireland by Non-Residents","Thousand","851"
"Great Britain (includes England, Scotland, Wales)","2016Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.8"
"Great Britain (includes England, Scotland, Wales)","2016Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","214"
"Great Britain (includes England, Scotland, Wales)","2016Q2","Overseas Trips to Ireland by Non-Residents","Thousand","1014"
"Great Britain (includes England, Scotland, Wales)","2016Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4"
"Great Britain (includes England, Scotland, Wales)","2016Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","269"
"Great Britain (includes England, Scotland, Wales)","2016Q3","Overseas Trips to Ireland by Non-Residents","Thousand","1148"
"Great Britain (includes England, Scotland, Wales)","2016Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","5"
"Great Britain (includes England, Scotland, Wales)","2016Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","337"
"Great Britain (includes England, Scotland, Wales)","2016Q4","Overseas Trips to Ireland by Non-Residents","Thousand","911"
"Great Britain (includes England, Scotland, Wales)","2016Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.8"
"Great Britain (includes England, Scotland, Wales)","2016Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","241"
"Great Britain (includes England, Scotland, Wales)","2017Q1","Overseas Trips to Ireland by Non-Residents","Thousand","796"
"Great Britain (includes England, Scotland, Wales)","2017Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4"
"Great Britain (includes England, Scotland, Wales)","2017Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","198"
"Great Britain (includes England, Scotland, Wales)","2017Q2","Overseas Trips to Ireland by Non-Residents","Thousand","949"
"Great Britain (includes England, Scotland, Wales)","2017Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.3"
"Great Britain (includes England, Scotland, Wales)","2017Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","267"
"Great Britain (includes England, Scotland, Wales)","2017Q3","Overseas Trips to Ireland by Non-Residents","Thousand","1065"
"Great Britain (includes England, Scotland, Wales)","2017Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.2"
"Great Britain (includes England, Scotland, Wales)","2017Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","303"
"Great Britain (includes England, Scotland, Wales)","2017Q4","Overseas Trips to Ireland by Non-Residents","Thousand","918"
"Great Britain (includes England, Scotland, Wales)","2017Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.9"
"Great Britain (includes England, Scotland, Wales)","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","239"
"Great Britain (includes England, Scotland, Wales)","2018Q1","Overseas Trips to Ireland by Non-Residents","Thousand","798"
"Great Britain (includes England, Scotland, Wales)","2018Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.9"
"Great Britain (includes England, Scotland, Wales)","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","206"
"Great Britain (includes England, Scotland, Wales)","2018Q2","Overseas Trips to Ireland by Non-Residents","Thousand","988"
"Great Britain (includes England, Scotland, Wales)","2018Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.9"
"Great Britain (includes England, Scotland, Wales)","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","262"
"Great Britain (includes England, Scotland, Wales)","2018Q3","Overseas Trips to Ireland by Non-Residents","Thousand","1056"
"Great Britain (includes England, Scotland, Wales)","2018Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.8"
"Great Britain (includes England, Scotland, Wales)","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","292"
"Great Britain (includes England, Scotland, Wales)","2018Q4","Overseas Trips to Ireland by Non-Residents","Thousand","917"
"Great Britain (includes England, Scotland, Wales)","2018Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.6"
"Great Britain (includes England, Scotland, Wales)","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","221"
"Great Britain (includes England, Scotland, Wales)","2019Q1","Overseas Trips to Ireland by Non-Residents","Thousand","809"
"Great Britain (includes England, Scotland, Wales)","2019Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.7"
"Great Britain (includes England, Scotland, Wales)","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","195"
"Great Britain (includes England, Scotland, Wales)","2019Q2","Overseas Trips to Ireland by Non-Residents","Thousand","985"
"Great Britain (includes England, Scotland, Wales)","2019Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.1"
"Great Britain (includes England, Scotland, Wales)","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","254"
"Great Britain (includes England, Scotland, Wales)","2019Q3","Overseas Trips to Ireland by Non-Residents","Thousand","1065"
"Great Britain (includes England, Scotland, Wales)","2019Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.9"
"Great Britain (includes England, Scotland, Wales)","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","305"
"Great Britain (includes England, Scotland, Wales)","2019Q4","Overseas Trips to Ireland by Non-Residents","Thousand","928"
"Great Britain (includes England, Scotland, Wales)","2019Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.5"
"Great Britain (includes England, Scotland, Wales)","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","223"
"Australia and New Zealand","2012Q1","Overseas Trips to Ireland by Non-Residents","Thousand","21"
"Australia and New Zealand","2012Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","16.2"
"Australia and New Zealand","2012Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","18"
"Australia and New Zealand","2012Q2","Overseas Trips to Ireland by Non-Residents","Thousand","43"
"Australia and New Zealand","2012Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.6"
"Australia and New Zealand","2012Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","36"
"Australia and New Zealand","2012Q3","Overseas Trips to Ireland by Non-Residents","Thousand","56"
"Australia and New Zealand","2012Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.8"
"Australia and New Zealand","2012Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","49"
"Australia and New Zealand","2012Q4","Overseas Trips to Ireland by Non-Residents","Thousand","34"
"Australia and New Zealand","2012Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","10"
"Australia and New Zealand","2012Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","30"
"Australia and New Zealand","2013Q1","Overseas Trips to Ireland by Non-Residents","Thousand","26"
"Australia and New Zealand","2013Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","16.2"
"Australia and New Zealand","2013Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","24"
"Australia and New Zealand","2013Q2","Overseas Trips to Ireland by Non-Residents","Thousand","49"
"Australia and New Zealand","2013Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.4"
"Australia and New Zealand","2013Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","47"
"Australia and New Zealand","2013Q3","Overseas Trips to Ireland by Non-Residents","Thousand","69"
"Australia and New Zealand","2013Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.7"
"Australia and New Zealand","2013Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","61"
"Australia and New Zealand","2013Q4","Overseas Trips to Ireland by Non-Residents","Thousand","43"
"Australia and New Zealand","2013Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.2"
"Australia and New Zealand","2013Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","37"
"Australia and New Zealand","2014Q1","Overseas Trips to Ireland by Non-Residents","Thousand","30"
"Australia and New Zealand","2014Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.5"
