"Travel Mode","Quarter","Statistic Label","UNIT","VALUE"
"Air","2013Q4","Overseas Trips by Irish Residents","Thousand","1266"
"Air","2014Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1249"
"Air","2014Q1","Overseas Trips by Irish Residents","Thousand","1094"
"Air","2014Q2","Overseas Trips to Ireland by Non-Residents","Thousand","1862"
"Air","2014Q2","Overseas Trips by Irish Residents","Thousand","1680"
"Air","2014Q3","Overseas Trips to Ireland by Non-Residents","Thousand","2076"
"Air","2014Q3","Overseas Trips by Irish Residents","Thousand","1894"
"Air","2014Q4","Overseas Trips to Ireland by Non-Residents","Thousand","1558"
"Air","2014Q4","Overseas Trips by Irish Residents","Thousand","1391"
"Air","2015Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1432"
"Air","2015Q1","Overseas Trips by Irish Residents","Thousand","1245"
"Air","2015Q2","Overseas Trips to Ireland by Non-Residents","Thousand","2095"
"Air","2015Q2","Overseas Trips by Irish Residents","Thousand","1824"
"Air","2015Q3","Overseas Trips to Ireland by Non-Residents","Thousand","2410"
"Air","2015Q3","Overseas Trips by Irish Residents","Thousand","2010"
"Air","2015Q4","Overseas Trips to Ireland by Non-Residents","Thousand","1845"
"Air","2015Q4","Overseas Trips by Irish Residents","Thousand","1482"
"Air","2016Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1666"
"Air","2016Q1","Overseas Trips by Irish Residents","Thousand","1425"
"Air","2016Q2","Overseas Trips to Ireland by Non-Residents","Thousand","2372"
"Air","2016Q2","Overseas Trips by Irish Residents","Thousand","1878"
"Air","2016Q3","Overseas Trips to Ireland by Non-Residents","Thousand","2708"
"Air","2016Q3","Overseas Trips by Irish Residents","Thousand","2085"
"Air","2016Q4","Overseas Trips to Ireland by Non-Residents","Thousand","1995"
"Air","2016Q4","Overseas Trips by Irish Residents","Thousand","1635"
"Air","2017Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1702"
"Air","2017Q1","Overseas Trips by Irish Residents","Thousand","1516"
"Air","2017Q2","Overseas Trips to Ireland by Non-Residents","Thousand","2515"
"Air","2017Q2","Overseas Trips by Irish Residents","Thousand","2009"
"Air","2017Q3","Overseas Trips to Ireland by Non-Residents","Thousand","2749"
"Air","2017Q3","Overseas Trips by Irish Residents","Thousand","2319"
"Air","2017Q4","Overseas Trips to Ireland by Non-Residents","Thousand","2129"
"Air","2017Q4","Overseas Trips by Irish Residents","Thousand","1692"
"Air","2018Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1805"
"Air","2018Q1","Overseas Trips by Irish Residents","Thousand","1551"
"Air","2018Q2","Overseas Trips to Ireland by Non-Residents","Thousand","2710"
"Air","2018Q2","Overseas Trips by Irish Residents","Thousand","2151"
"Air","2018Q3","Overseas Trips to Ireland by Non-Residents","Thousand","2981"
"Air","2018Q3","Overseas Trips by Irish Residents","Thousand","2413"
"Air","2018Q4","Overseas Trips to Ireland by Non-Residents","Thousand","2281"
"Air","2018Q4","Overseas Trips by Irish Residents","Thousand","1798"
"Air","2019Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1933"
"Air","2019Q1","Overseas Trips by Irish Residents","Thousand","1681"
"Air","2019Q2","Overseas Trips to Ireland by Non-Residents","Thousand","2785"
"Air","2019Q2","Overseas Trips by Irish Residents","Thousand","2320"
"Air","2019Q3","Overseas Trips to Ireland by Non-Residents","Thousand","3001"
"Air","2019Q3","Overseas Trips by Irish Residents","Thousand","2640"
"Air","2019Q4","Overseas Trips to Ireland by Non-Residents","Thousand","2287"
"Air","2019Q4","Overseas Trips by Irish Residents","Thousand","1859"
"Sea","2012Q1","Overseas Trips to Ireland by Non-Residents","Thousand","101"
"Sea","2012Q1","Overseas Trips by Irish Residents","Thousand","67"
"Sea","2012Q2","Overseas Trips to Ireland by Non-Residents","Thousand","226"
"Sea","2012Q2","Overseas Trips by Irish Residents","Thousand","142"
"Sea","2012Q3","Overseas Trips to Ireland by Non-Residents","Thousand","319"
"Sea","2012Q3","Overseas Trips by Irish Residents","Thousand","193"
"Sea","2012Q4","Overseas Trips to Ireland by Non-Residents","Thousand","126"
"Sea","2012Q4","Overseas Trips by Irish Residents","Thousand","85"
"Sea","2013Q1","Overseas Trips to Ireland by Non-Residents","Thousand","95"
"Sea","2013Q1","Overseas Trips by Irish Residents","Thousand","84"
"Sea","2013Q2","Overseas Trips to Ireland by Non-Residents","Thousand","230"
"Sea","2013Q2","Overseas Trips by Irish Residents","Thousand","123"
"Sea","2013Q3","Overseas Trips to Ireland by Non-Residents","Thousand","368"
"Sea","2013Q3","Overseas Trips by Irish Residents","Thousand","178"
"Sea","2013Q4","Overseas Trips to Ireland by Non-Residents","Thousand","144"
"Sea","2013Q4","Overseas Trips by Irish Residents","Thousand","63"
"Sea","2014Q1","Overseas Trips to Ireland by Non-Residents","Thousand","94"
"Sea","2014Q1","Overseas Trips by Irish Residents","Thousand","60"
"Sea","2014Q2","Overseas Trips to Ireland by Non-Residents","Thousand","264"
"Sea","2014Q2","Overseas Trips by Irish Residents","Thousand","111"
"Sea","2014Q3","Overseas Trips to Ireland by Non-Residents","Thousand","364"
"Sea","2014Q3","Overseas Trips by Irish Residents","Thousand","217"
"Sea","2014Q4","Overseas Trips to Ireland by Non-Residents","Thousand","137"
"Sea","2014Q4","Overseas Trips by Irish Residents","Thousand","68"
"Sea","2015Q1","Overseas Trips to Ireland by Non-Residents","Thousand","99"
"Sea","2015Q1","Overseas Trips by Irish Residents","Thousand","61"
"Sea","2015Q2","Overseas Trips to Ireland by Non-Residents","Thousand","250"
"Sea","2015Q2","Overseas Trips by Irish Residents","Thousand","104"
"Sea","2015Q3","Overseas Trips to Ireland by Non-Residents","Thousand","361"
"Sea","2015Q3","Overseas Trips by Irish Residents","Thousand","176"
"Sea","2015Q4","Overseas Trips to Ireland by Non-Residents","Thousand","151"
"Sea","2015Q4","Overseas Trips by Irish Residents","Thousand","63"
"Sea","2016Q1","Overseas Trips to Ireland by Non-Residents","Thousand","118"
"Sea","2016Q1","Overseas Trips by Irish Residents","Thousand","52"
"Sea","2016Q2","Overseas Trips to Ireland by Non-Residents","Thousand","227"
"Sea","2016Q2","Overseas Trips by Irish Residents","Thousand","97"
"Sea","2016Q3","Overseas Trips to Ireland by Non-Residents","Thousand","354"
"Sea","2016Q3","Overseas Trips by Irish Residents","Thousand","168"
"Sea","2016Q4","Overseas Trips to Ireland by Non-Residents","Thousand","145"
"Sea","2016Q4","Overseas Trips by Irish Residents","Thousand","64"
"Sea","2017Q1","Overseas Trips to Ireland by Non-Residents","Thousand","94"
"Sea","2017Q1","Overseas Trips by Irish Residents","Thousand","53"
"Sea","2017Q2","Overseas Trips to Ireland by Non-Residents","Thousand","255"
"Sea","2017Q2","Overseas Trips by Irish Residents","Thousand","110"
"Sea","2017Q3","Overseas Trips to Ireland by Non-Residents","Thousand","347"
"Sea","2017Q3","Overseas Trips by Irish Residents","Thousand","176"
"Sea","2017Q4","Overseas Trips to Ireland by Non-Residents","Thousand","142"
"Sea","2017Q4","Overseas Trips by Irish Residents","Thousand","64"
"Sea","2018Q1","Overseas Trips to Ireland by Non-Residents","Thousand","116"
"Sea","2018Q1","Overseas Trips by Irish Residents","Thousand","48"
"Sea","2018Q2","Overseas Trips to Ireland by Non-Residents","Thousand","242"
"Sea","2018Q2","Overseas Trips by Irish Residents","Thousand","97"
"Sea","2018Q3","Overseas Trips to Ireland by Non-Residents","Thousand","350"
"Sea","2018Q3","Overseas Trips by Irish Residents","Thousand","158"
"Sea","2018Q4","Overseas Trips to Ireland by Non-Residents","Thousand","132"
"Sea","2018Q4","Overseas Trips by Irish Residents","Thousand","60"
"Sea","2019Q1","Overseas Trips to Ireland by Non-Residents","Thousand","94"
"Sea","2019Q1","Overseas Trips by Irish Residents","Thousand","47"
"Sea","2019Q2","Overseas Trips to Ireland by Non-Residents","Thousand","237"
"Sea","2019Q2","Overseas Trips by Irish Residents","Thousand","84"
"Sea","2019Q3","Overseas Trips to Ireland by Non-Residents","Thousand","334"
"Sea","2019Q3","Overseas Trips by Irish Residents","Thousand","134"
"Sea","2019Q4","Overseas Trips to Ireland by Non-Residents","Thousand","137"
"Sea","2019Q4","Overseas Trips by Irish Residents","Thousand","50"
