"Reason for Journey","Quarter","Statistic Label","UNIT","VALUE"
"All reasons for journey","2013Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1066"
"All reasons for journey","2014Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1343"
"All reasons for journey","2014Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"All reasons for journey","2014Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","534"
"All reasons for journey","2014Q1","Overseas Trips by Irish Residents","Thousand","1154"
"All reasons for journey","2014Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7"
"All reasons for journey","2014Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","894"
"All reasons for journey","2014Q2","Overseas Trips to Ireland by Non-Residents","Thousand","2127"
"All reasons for journey","2014Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"All reasons for journey","2014Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1001"
"All reasons for journey","2014Q2","Overseas Trips by Irish Residents","Thousand","1791"
"All reasons for journey","2014Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.4"
"All reasons for journey","2014Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1429"
"All reasons for journey","2014Q3","Overseas Trips to Ireland by Non-Residents","Thousand","2440"
"All reasons for journey","2014Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"All reasons for journey","2014Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1303"
"All reasons for journey","2014Q3","Overseas Trips by Irish Residents","Thousand","2112"
"All reasons for journey","2014Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.2"
"All reasons for journey","2014Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1942"
"All reasons for journey","2014Q4","Overseas Trips to Ireland by Non-Residents","Thousand","1695"
"All reasons for journey","2014Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"All reasons for journey","2014Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","711"
"All reasons for journey","2014Q4","Overseas Trips by Irish Residents","Thousand","1458"
"All reasons for journey","2014Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.8"
"All reasons for journey","2014Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1176"
"All reasons for journey","2015Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1531"
"All reasons for journey","2015Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"All reasons for journey","2015Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","590"
"All reasons for journey","2015Q1","Overseas Trips by Irish Residents","Thousand","1306"
"All reasons for journey","2015Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.1"
"All reasons for journey","2015Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","980"
"All reasons for journey","2015Q2","Overseas Trips to Ireland by Non-Residents","Thousand","2345"
"All reasons for journey","2015Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"All reasons for journey","2015Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1194"
"All reasons for journey","2015Q2","Overseas Trips by Irish Residents","Thousand","1928"
"All reasons for journey","2015Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.8"
"All reasons for journey","2015Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1475"
"All reasons for journey","2015Q3","Overseas Trips to Ireland by Non-Residents","Thousand","2771"
"All reasons for journey","2015Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"All reasons for journey","2015Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1551"
"All reasons for journey","2015Q3","Overseas Trips by Irish Residents","Thousand","2186"
"All reasons for journey","2015Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.5"
"All reasons for journey","2015Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","2096"
"All reasons for journey","2015Q4","Overseas Trips to Ireland by Non-Residents","Thousand","1996"
"All reasons for journey","2015Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"All reasons for journey","2015Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","873"
"All reasons for journey","2015Q4","Overseas Trips by Irish Residents","Thousand","1545"
"All reasons for journey","2015Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.1"
"All reasons for journey","2015Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1292"
"All reasons for journey","2016Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1785"
"All reasons for journey","2016Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"All reasons for journey","2016Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","693"
"All reasons for journey","2016Q1","Overseas Trips by Irish Residents","Thousand","1478"
"All reasons for journey","2016Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.2"
"All reasons for journey","2016Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1181"
"All reasons for journey","2016Q2","Overseas Trips to Ireland by Non-Residents","Thousand","2599"
"All reasons for journey","2016Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.7"
"All reasons for journey","2016Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1261"
"All reasons for journey","2016Q2","Overseas Trips by Irish Residents","Thousand","1975"
"All reasons for journey","2016Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.1"
"All reasons for journey","2016Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1553"
"All reasons for journey","2016Q3","Overseas Trips to Ireland by Non-Residents","Thousand","3062"
"All reasons for journey","2016Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"All reasons for journey","2016Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1693"
"All reasons for journey","2016Q3","Overseas Trips by Irish Residents","Thousand","2253"
"All reasons for journey","2016Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.4"
"All reasons for journey","2016Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","2231"
"All reasons for journey","2016Q4","Overseas Trips to Ireland by Non-Residents","Thousand","2139"
"All reasons for journey","2016Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"All reasons for journey","2016Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","930"
"All reasons for journey","2016Q4","Overseas Trips by Irish Residents","Thousand","1699"
"All reasons for journey","2016Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6"
"All reasons for journey","2016Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1385"
"All reasons for journey","2017Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1796"
"All reasons for journey","2017Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"All reasons for journey","2017Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","684"
"All reasons for journey","2017Q1","Overseas Trips by Irish Residents","Thousand","1569"
"All reasons for journey","2017Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6"
"All reasons for journey","2017Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1173"
"All reasons for journey","2017Q2","Overseas Trips to Ireland by Non-Residents","Thousand","2769"
"All reasons for journey","2017Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"All reasons for journey","2017Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1408"
"All reasons for journey","2017Q2","Overseas Trips by Irish Residents","Thousand","2119"
"All reasons for journey","2017Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.8"
"All reasons for journey","2017Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1664"
"All reasons for journey","2017Q3","Overseas Trips to Ireland by Non-Residents","Thousand","3096"
"All reasons for journey","2017Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"All reasons for journey","2017Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1736"
"All reasons for journey","2017Q3","Overseas Trips by Irish Residents","Thousand","2495"
"All reasons for journey","2017Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9"
"All reasons for journey","2017Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","2362"
"All reasons for journey","2017Q4","Overseas Trips to Ireland by Non-Residents","Thousand","2271"
"All reasons for journey","2017Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"All reasons for journey","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1046"
"All reasons for journey","2017Q4","Overseas Trips by Irish Residents","Thousand","1756"
"All reasons for journey","2017Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6"
"All reasons for journey","2017Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1394"
"All reasons for journey","2018Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1921"
"All reasons for journey","2018Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"All reasons for journey","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","795"
"All reasons for journey","2018Q1","Overseas Trips by Irish Residents","Thousand","1599"
"All reasons for journey","2018Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.2"
"All reasons for journey","2018Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1299"
"All reasons for journey","2018Q2","Overseas Trips to Ireland by Non-Residents","Thousand","2952"
"All reasons for journey","2018Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"All reasons for journey","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1475"
"All reasons for journey","2018Q2","Overseas Trips by Irish Residents","Thousand","2248"
"All reasons for journey","2018Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.7"
"All reasons for journey","2018Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1831"
"All reasons for journey","2018Q3","Overseas Trips to Ireland by Non-Residents","Thousand","3331"
"All reasons for journey","2018Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"All reasons for journey","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1832"
"All reasons for journey","2018Q3","Overseas Trips by Irish Residents","Thousand","2571"
"All reasons for journey","2018Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.9"
"All reasons for journey","2018Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","2415"
"All reasons for journey","2018Q4","Overseas Trips to Ireland by Non-Residents","Thousand","2413"
"All reasons for journey","2018Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"All reasons for journey","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1047"
"All reasons for journey","2018Q4","Overseas Trips by Irish Residents","Thousand","1858"
"All reasons for journey","2018Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6"
"All reasons for journey","2018Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1517"
"All reasons for journey","2019Q1","Overseas Trips to Ireland by Non-Residents","Thousand","2027"
"All reasons for journey","2019Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6"
"All reasons for journey","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","763"
"All reasons for journey","2019Q1","Overseas Trips by Irish Residents","Thousand","1727"
"All reasons for journey","2019Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.4"
"All reasons for journey","2019Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1492"
"All reasons for journey","2019Q2","Overseas Trips to Ireland by Non-Residents","Thousand","3022"
"All reasons for journey","2019Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"All reasons for journey","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1513"
"All reasons for journey","2019Q2","Overseas Trips by Irish Residents","Thousand","2404"
"All reasons for journey","2019Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.8"
"All reasons for journey","2019Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","2085"
"All reasons for journey","2019Q3","Overseas Trips to Ireland by Non-Residents","Thousand","3334"
"All reasons for journey","2019Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"All reasons for journey","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1824"
"All reasons for journey","2019Q3","Overseas Trips by Irish Residents","Thousand","2774"
"All reasons for journey","2019Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.1"
"All reasons for journey","2019Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","2720"
"All reasons for journey","2019Q4","Overseas Trips to Ireland by Non-Residents","Thousand","2425"
"All reasons for journey","2019Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"All reasons for journey","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1001"
"All reasons for journey","2019Q4","Overseas Trips by Irish Residents","Thousand","1910"
"All reasons for journey","2019Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.5"
"All reasons for journey","2019Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1618"
"Holiday/leisure/recreation","2012Q1","Overseas Trips to Ireland by Non-Residents","Thousand","371"
"Holiday/leisure/recreation","2012Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.2"
"Holiday/leisure/recreation","2012Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","180"
"Holiday/leisure/recreation","2012Q1","Overseas Trips by Irish Residents","Thousand","684"
"Holiday/leisure/recreation","2012Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.2"
"Holiday/leisure/recreation","2012Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","631"
"Holiday/leisure/recreation","2012Q2","Overseas Trips to Ireland by Non-Residents","Thousand","863"
"Holiday/leisure/recreation","2012Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"Holiday/leisure/recreation","2012Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","453"
"Holiday/leisure/recreation","2012Q2","Overseas Trips by Irish Residents","Thousand","1124"
"Holiday/leisure/recreation","2012Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.9"
"Holiday/leisure/recreation","2012Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","912"
"Holiday/leisure/recreation","2012Q3","Overseas Trips to Ireland by Non-Residents","Thousand","1075"
"Holiday/leisure/recreation","2012Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"Holiday/leisure/recreation","2012Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","608"
"Holiday/leisure/recreation","2012Q3","Overseas Trips by Irish Residents","Thousand","1376"
"Holiday/leisure/recreation","2012Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","11.5"
"Holiday/leisure/recreation","2012Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1486"
"Holiday/leisure/recreation","2012Q4","Overseas Trips to Ireland by Non-Residents","Thousand","523"
"Holiday/leisure/recreation","2012Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.8"
"Holiday/leisure/recreation","2012Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","272"
"Holiday/leisure/recreation","2012Q4","Overseas Trips by Irish Residents","Thousand","717"
"Holiday/leisure/recreation","2012Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.9"
"Holiday/leisure/recreation","2012Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","675"
"Holiday/leisure/recreation","2013Q1","Overseas Trips to Ireland by Non-Residents","Thousand","442"
"Holiday/leisure/recreation","2013Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.1"
"Holiday/leisure/recreation","2013Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","212"
"Holiday/leisure/recreation","2013Q1","Overseas Trips by Irish Residents","Thousand","623"
"Holiday/leisure/recreation","2013Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.3"
"Holiday/leisure/recreation","2013Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","624"
"Holiday/leisure/recreation","2013Q2","Overseas Trips to Ireland by Non-Residents","Thousand","886"
"Holiday/leisure/recreation","2013Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"Holiday/leisure/recreation","2013Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","486"
"Holiday/leisure/recreation","2013Q2","Overseas Trips by Irish Residents","Thousand","1172"
"Holiday/leisure/recreation","2013Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.2"
"Holiday/leisure/recreation","2013Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","974"
"Holiday/leisure/recreation","2013Q3","Overseas Trips to Ireland by Non-Residents","Thousand","1156"
"Holiday/leisure/recreation","2013Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"Holiday/leisure/recreation","2013Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","727"
"Holiday/leisure/recreation","2013Q3","Overseas Trips by Irish Residents","Thousand","1435"
"Holiday/leisure/recreation","2013Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","11.2"
"Holiday/leisure/recreation","2013Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1520"
"Holiday/leisure/recreation","2013Q4","Overseas Trips to Ireland by Non-Residents","Thousand","575"
"Holiday/leisure/recreation","2013Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.6"
"Holiday/leisure/recreation","2013Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","262"
"Holiday/leisure/recreation","2013Q4","Overseas Trips by Irish Residents","Thousand","702"
"Holiday/leisure/recreation","2013Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.2"
"Holiday/leisure/recreation","2013Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","698"
"Holiday/leisure/recreation","2014Q1","Overseas Trips to Ireland by Non-Residents","Thousand","475"
"Holiday/leisure/recreation","2014Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.1"
"Holiday/leisure/recreation","2014Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","194"
"Holiday/leisure/recreation","2014Q1","Overseas Trips by Irish Residents","Thousand","645"
"Holiday/leisure/recreation","2014Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.8"
"Holiday/leisure/recreation","2014Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","595"
"Holiday/leisure/recreation","2014Q2","Overseas Trips to Ireland by Non-Residents","Thousand","957"
"Holiday/leisure/recreation","2014Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"Holiday/leisure/recreation","2014Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","502"
"Holiday/leisure/recreation","2014Q2","Overseas Trips by Irish Residents","Thousand","1150"
"Holiday/leisure/recreation","2014Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.2"
"Holiday/leisure/recreation","2014Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1005"
"Holiday/leisure/recreation","2014Q3","Overseas Trips to Ireland by Non-Residents","Thousand","1250"
"Holiday/leisure/recreation","2014Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8"
"Holiday/leisure/recreation","2014Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","811"
"Holiday/leisure/recreation","2014Q3","Overseas Trips by Irish Residents","Thousand","1446"
"Holiday/leisure/recreation","2014Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","11.1"
"Holiday/leisure/recreation","2014Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1480"
"Holiday/leisure/recreation","2014Q4","Overseas Trips to Ireland by Non-Residents","Thousand","642"
"Holiday/leisure/recreation","2014Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"Holiday/leisure/recreation","2014Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","316"
"Holiday/leisure/recreation","2014Q4","Overseas Trips by Irish Residents","Thousand","763"
"Holiday/leisure/recreation","2014Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.9"
"Holiday/leisure/recreation","2014Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","738"
"Holiday/leisure/recreation","2015Q1","Overseas Trips to Ireland by Non-Residents","Thousand","538"
"Holiday/leisure/recreation","2015Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5"
"Holiday/leisure/recreation","2015Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","219"
"Holiday/leisure/recreation","2015Q1","Overseas Trips by Irish Residents","Thousand","671"
"Holiday/leisure/recreation","2015Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.1"
"Holiday/leisure/recreation","2015Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","571"
"Holiday/leisure/recreation","2015Q2","Overseas Trips to Ireland by Non-Residents","Thousand","1184"
"Holiday/leisure/recreation","2015Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"Holiday/leisure/recreation","2015Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","717"
"Holiday/leisure/recreation","2015Q2","Overseas Trips by Irish Residents","Thousand","1194"
"Holiday/leisure/recreation","2015Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.8"
"Holiday/leisure/recreation","2015Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1027"
"Holiday/leisure/recreation","2015Q3","Overseas Trips to Ireland by Non-Residents","Thousand","1485"
"Holiday/leisure/recreation","2015Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"Holiday/leisure/recreation","2015Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1002"
"Holiday/leisure/recreation","2015Q3","Overseas Trips by Irish Residents","Thousand","1515"
"Holiday/leisure/recreation","2015Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.7"
"Holiday/leisure/recreation","2015Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1630"
"Holiday/leisure/recreation","2015Q4","Overseas Trips to Ireland by Non-Residents","Thousand","795"
"Holiday/leisure/recreation","2015Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"Holiday/leisure/recreation","2015Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","392"
"Holiday/leisure/recreation","2015Q4","Overseas Trips by Irish Residents","Thousand","828"
"Holiday/leisure/recreation","2015Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.3"
"Holiday/leisure/recreation","2015Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","860"
"Holiday/leisure/recreation","2016Q1","Overseas Trips to Ireland by Non-Residents","Thousand","691"
