"Statistic Label","Type of Expenditure","Quarter","UNIT","VALUE"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2012Q1","Euro Million","483"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2012Q2","Euro Million","816"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2012Q3","Euro Million","994"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2012Q4","Euro Million","622"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2013Q1","Euro Million","541"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2013Q2","Euro Million","870"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2013Q3","Euro Million","1186"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2013Q4","Euro Million","665"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2014Q1","Euro Million","534"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2014Q2","Euro Million","1001"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2014Q3","Euro Million","1303"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2014Q4","Euro Million","711"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2015Q1","Euro Million","590"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2015Q2","Euro Million","1194"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2015Q3","Euro Million","1551"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2015Q4","Euro Million","873"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2016Q1","Euro Million","693"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2016Q2","Euro Million","1261"
