"Statistic Label","Type of Expenditure","Quarter","UNIT","VALUE"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2016Q3","Euro Million","1693"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2016Q4","Euro Million","930"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2017Q1","Euro Million","684"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2017Q2","Euro Million","1408"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2017Q3","Euro Million","1736"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2017Q4","Euro Million","1046"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2018Q1","Euro Million","795"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2018Q2","Euro Million","1475"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2018Q3","Euro Million","1832"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2018Q4","Euro Million","1047"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2019Q1","Euro Million","763"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2019Q2","Euro Million","1513"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2019Q3","Euro Million","1824"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2019Q4","Euro Million","1001"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2012Q1","Euro Million","138"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2012Q2","Euro Million","232"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2012Q3","Euro Million","302"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2012Q4","Euro Million","184"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2013Q1","Euro Million","147"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2013Q2","Euro Million","270"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2013Q3","Euro Million","360"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2013Q4","Euro Million","199"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2014Q1","Euro Million","165"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2014Q2","Euro Million","330"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2014Q3","Euro Million","431"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2014Q4","Euro Million","241"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2015Q1","Euro Million","190"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2015Q2","Euro Million","372"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2015Q3","Euro Million","486"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2015Q4","Euro Million","275"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2016Q1","Euro Million","233"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2016Q2","Euro Million","394"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2016Q3","Euro Million","548"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2016Q4","Euro Million","312"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2017Q1","Euro Million","261"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2017Q2","Euro Million","468"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2017Q3","Euro Million","551"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2017Q4","Euro Million","331"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2018Q1","Euro Million","284"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2018Q2","Euro Million","495"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2018Q3","Euro Million","593"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2018Q4","Euro Million","353"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2019Q1","Euro Million","266"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2019Q2","Euro Million","499"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2019Q3","Euro Million","624"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2019Q4","Euro Million","377"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2012Q1","Euro Million","621"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2012Q2","Euro Million","1048"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2012Q3","Euro Million","1296"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2012Q4","Euro Million","806"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2013Q1","Euro Million","688"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2013Q2","Euro Million","1140"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2013Q3","Euro Million","1546"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2013Q4","Euro Million","864"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2014Q1","Euro Million","699"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2014Q2","Euro Million","1331"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2014Q3","Euro Million","1734"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2014Q4","Euro Million","952"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2015Q1","Euro Million","780"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2015Q2","Euro Million","1566"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2015Q3","Euro Million","2037"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2015Q4","Euro Million","1148"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2016Q1","Euro Million","926"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2016Q2","Euro Million","1655"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2016Q3","Euro Million","2241"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2016Q4","Euro Million","1242"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2017Q1","Euro Million","945"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2017Q2","Euro Million","1876"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2017Q3","Euro Million","2287"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2017Q4","Euro Million","1377"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2018Q1","Euro Million","1079"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2018Q2","Euro Million","1970"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2018Q3","Euro Million","2425"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2018Q4","Euro Million","1400"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2019Q1","Euro Million","1029"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2019Q2","Euro Million","2012"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2019Q3","Euro Million","2448"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2019Q4","Euro Million","1378"
