"Statistic Label","Type of Accommodation Used","Reason for Journey","Quarter","UNIT","VALUE"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2019Q3","Thousand","5471"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2019Q4","Thousand","2629"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2012Q1","Thousand","203"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2012Q2","Thousand","329"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2012Q3","Thousand","375"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2012Q4","Thousand","273"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2013Q1","Thousand","238"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2013Q2","Thousand","384"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2013Q3","Thousand","475"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2013Q4","Thousand","370"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2014Q1","Thousand","307"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2014Q2","Thousand","384"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2014Q3","Thousand","528"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2014Q4","Thousand","387"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2015Q1","Thousand","284"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2015Q2","Thousand","488"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2015Q3","Thousand","572"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2015Q4","Thousand","450"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2016Q1","Thousand","315"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2016Q2","Thousand","446"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2016Q3","Thousand","575"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2016Q4","Thousand","432"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2017Q1","Thousand","354"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2017Q2","Thousand","683"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2017Q3","Thousand","592"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2017Q4","Thousand","421"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2018Q1","Thousand","306"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2018Q2","Thousand","514"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2018Q3","Thousand","645"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2018Q4","Thousand","446"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2019Q1","Thousand","355"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2019Q2","Thousand","572"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2019Q3","Thousand","692"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2019Q4","Thousand","457"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2012Q1","Thousand","686"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2012Q2","Thousand","768"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2012Q3","Thousand","677"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2012Q4","Thousand","969"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2013Q1","Thousand","607"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2013Q2","Thousand","740"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2013Q3","Thousand","681"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2013Q4","Thousand","907"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2014Q1","Thousand","625"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2014Q2","Thousand","878"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2014Q3","Thousand","742"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2014Q4","Thousand","829"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2015Q1","Thousand","784"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2015Q2","Thousand","888"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2015Q3","Thousand","818"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2015Q4","Thousand","981"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2016Q1","Thousand","821"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2016Q2","Thousand","1049"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2016Q3","Thousand","915"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2016Q4","Thousand","1071"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2017Q1","Thousand","831"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2017Q2","Thousand","1075"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2017Q3","Thousand","882"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2017Q4","Thousand","1026"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2018Q1","Thousand","865"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2018Q2","Thousand","826"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2018Q3","Thousand","934"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2018Q4","Thousand","841"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2019Q1","Thousand","969"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2019Q2","Thousand","882"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2019Q3","Thousand","900"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2019Q4","Thousand","931"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2012Q1","Thousand","74"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2012Q2","Thousand","185"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2012Q3","Thousand","186"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2012Q4","Thousand","266"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2013Q1","Thousand","97"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2013Q2","Thousand","177"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2013Q3","Thousand","135"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2013Q4","Thousand","80"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2014Q1","Thousand","74"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2014Q2","Thousand","121"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2014Q3","Thousand","121"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2014Q4","Thousand","108"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2015Q1","Thousand","88"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2015Q2","Thousand","132"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2015Q3","Thousand","129"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2015Q4","Thousand","84"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2016Q1","Thousand","78"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2016Q2","Thousand","184"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2016Q3","Thousand","177"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2016Q4","Thousand","88"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2017Q1","Thousand","66"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2017Q2","Thousand","159"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2017Q3","Thousand","162"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2017Q4","Thousand","77"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2018Q1","Thousand","161"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2018Q2","Thousand","195"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2018Q3","Thousand","120"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2018Q4","Thousand","64"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2019Q1","Thousand","124"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2019Q2","Thousand","225"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2019Q3","Thousand","151"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2019Q4","Thousand","99"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2012Q1","Thousand","1023"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2012Q2","Thousand","1841"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2012Q3","Thousand","1453"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2012Q4","Thousand","1731"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2013Q1","Thousand","1191"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2013Q2","Thousand","2083"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2013Q3","Thousand","1906"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2013Q4","Thousand","1755"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2014Q1","Thousand","1319"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2014Q2","Thousand","2469"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2014Q3","Thousand","2201"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2014Q4","Thousand","1862"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2015Q1","Thousand","1600"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2015Q2","Thousand","3068"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2015Q3","Thousand","2690"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2015Q4","Thousand","2071"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2016Q1","Thousand","2177"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2016Q2","Thousand","2803"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2016Q3","Thousand","2983"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2016Q4","Thousand","2424"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2017Q1","Thousand","1799"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2017Q2","Thousand","2766"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2017Q3","Thousand","3013"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2017Q4","Thousand","3248"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2018Q1","Thousand","2214"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2018Q2","Thousand","3221"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2018Q3","Thousand","2828"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2018Q4","Thousand","2812"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2019Q1","Thousand","1964"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2019Q2","Thousand","3301"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2019Q3","Thousand","2592"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2019Q4","Thousand","3113"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2012Q1","Thousand","123"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2012Q2","Thousand","377"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2012Q3","Thousand","593"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2012Q4","Thousand","344"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2013Q1","Thousand","135"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2013Q2","Thousand","381"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2013Q3","Thousand","683"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2013Q4","Thousand","209"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2014Q1","Thousand","258"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2014Q2","Thousand","521"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2014Q3","Thousand","785"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2014Q4","Thousand","241"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2015Q1","Thousand","155"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2015Q2","Thousand","694"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2015Q3","Thousand","1071"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2015Q4","Thousand","297"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2016Q1","Thousand","290"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2016Q2","Thousand","596"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2016Q3","Thousand","1115"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2016Q4","Thousand","443"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2017Q1","Thousand","291"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2017Q2","Thousand","611"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2017Q3","Thousand","1107"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2017Q4","Thousand","536"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2018Q1","Thousand","320"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2018Q2","Thousand","864"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2018Q3","Thousand","1288"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2018Q4","Thousand","591"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2019Q1","Thousand","399"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2019Q2","Thousand","854"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2019Q3","Thousand","1172"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2019Q4","Thousand","473"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2012Q1","Thousand","105"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2012Q2","Thousand","178"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2012Q3","Thousand","120"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2012Q4","Thousand","95"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2013Q1","Thousand","65"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2013Q2","Thousand","111"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2013Q3","Thousand","255"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2013Q4","Thousand","138"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2014Q1","Thousand","135"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2014Q2","Thousand","140"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2014Q3","Thousand","253"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2014Q4","Thousand","122"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2015Q1","Thousand","123"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2015Q2","Thousand","225"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2015Q3","Thousand","315"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2015Q4","Thousand","199"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2016Q1","Thousand","168"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2016Q2","Thousand","231"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2016Q3","Thousand","323"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2016Q4","Thousand","130"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2017Q1","Thousand","134"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2017Q2","Thousand","247"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2017Q3","Thousand","355"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2017Q4","Thousand","197"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2018Q1","Thousand","224"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2018Q2","Thousand","242"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2018Q3","Thousand","326"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2018Q4","Thousand","172"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2019Q1","Thousand","151"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2019Q2","Thousand","317"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2019Q3","Thousand","310"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Visit to friends/relatives","2019Q4","Thousand","154"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2012Q1","Thousand","119"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2012Q2","Thousand","216"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2012Q3","Thousand","187"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2012Q4","Thousand","374"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2013Q1","Thousand","328"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2013Q2","Thousand","540"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2013Q3","Thousand","316"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2013Q4","Thousand","486"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2014Q1","Thousand","310"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2014Q2","Thousand","357"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2014Q3","Thousand","468"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2014Q4","Thousand","557"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2015Q1","Thousand","439"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2015Q2","Thousand","482"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2015Q3","Thousand","485"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2015Q4","Thousand","405"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2016Q1","Thousand","546"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2016Q2","Thousand","637"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2016Q3","Thousand","622"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2016Q4","Thousand","496"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2017Q1","Thousand","466"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2017Q2","Thousand","597"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2017Q3","Thousand","591"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2017Q4","Thousand","796"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2018Q1","Thousand","584"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2018Q2","Thousand","459"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2018Q3","Thousand","497"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2018Q4","Thousand","821"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2019Q1","Thousand","524"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2019Q2","Thousand","548"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2019Q3","Thousand","654"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2019Q4","Thousand","831"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2012Q1","Thousand","677"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2012Q2","Thousand","1070"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2012Q3","Thousand","553"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2012Q4","Thousand","919"
