"Statistic Label","Type of Accommodation Used","Reason for Journey","Quarter","UNIT","VALUE"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2014Q1","Thousand","3653"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2014Q2","Thousand","3946"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2014Q3","Thousand","5450"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2014Q4","Thousand","3387"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2015Q1","Thousand","3498"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2015Q2","Thousand","3992"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2015Q3","Thousand","5550"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2015Q4","Thousand","3797"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2016Q1","Thousand","4099"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2016Q2","Thousand","4170"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2016Q3","Thousand","6004"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2016Q4","Thousand","4070"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2017Q1","Thousand","4053"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2017Q2","Thousand","4265"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2017Q3","Thousand","5923"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2017Q4","Thousand","4114"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2018Q1","Thousand","3746"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2018Q2","Thousand","4632"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2018Q3","Thousand","6344"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2018Q4","Thousand","4025"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2019Q1","Thousand","4095"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2019Q2","Thousand","4750"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2019Q3","Thousand","6057"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Visit to friends/relatives","2019Q4","Thousand","4112"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2012Q1","Thousand","1195"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2012Q2","Thousand","1324"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2012Q3","Thousand","1309"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2012Q4","Thousand","2025"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2013Q1","Thousand","1408"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2013Q2","Thousand","1717"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2013Q3","Thousand","1535"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2013Q4","Thousand","2048"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2014Q1","Thousand","1370"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2014Q2","Thousand","1911"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2014Q3","Thousand","1804"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2014Q4","Thousand","2057"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2015Q1","Thousand","1748"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2015Q2","Thousand","1884"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2015Q3","Thousand","1991"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2015Q4","Thousand","2020"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2016Q1","Thousand","1914"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2016Q2","Thousand","2251"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2016Q3","Thousand","2366"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2016Q4","Thousand","2233"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2017Q1","Thousand","1757"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2017Q2","Thousand","2350"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2017Q3","Thousand","2386"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2017Q4","Thousand","2585"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2018Q1","Thousand","2069"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2018Q2","Thousand","2051"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2018Q3","Thousand","2165"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2018Q4","Thousand","2555"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2019Q1","Thousand","2053"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2019Q2","Thousand","2090"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2019Q3","Thousand","2261"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Business","2019Q4","Thousand","2387"
