"Reason for Journey","Quarter","Statistic Label","UNIT","VALUE"
"Holiday/leisure/recreation","2013Q1","Same-Day Trips, No Overnight in Ireland","Thousand","9"
"Holiday/leisure/recreation","2013Q2","Trips with at Least One Overnight in Ireland","Thousand","875"
"Holiday/leisure/recreation","2013Q2","Same-Day Trips, No Overnight in Ireland","Thousand","11"
"Holiday/leisure/recreation","2013Q3","Trips with at Least One Overnight in Ireland","Thousand","1141"
"Holiday/leisure/recreation","2013Q3","Same-Day Trips, No Overnight in Ireland","Thousand","15"
"Holiday/leisure/recreation","2013Q4","Trips with at Least One Overnight in Ireland","Thousand","562"
"Holiday/leisure/recreation","2013Q4","Same-Day Trips, No Overnight in Ireland","Thousand","13"
"Holiday/leisure/recreation","2014Q1","Trips with at Least One Overnight in Ireland","Thousand","466"
"Holiday/leisure/recreation","2014Q1","Same-Day Trips, No Overnight in Ireland","Thousand","9"
"Holiday/leisure/recreation","2014Q2","Trips with at Least One Overnight in Ireland","Thousand","936"
"Holiday/leisure/recreation","2014Q2","Same-Day Trips, No Overnight in Ireland","Thousand","21"
"Holiday/leisure/recreation","2014Q3","Trips with at Least One Overnight in Ireland","Thousand","1230"
"Holiday/leisure/recreation","2014Q3","Same-Day Trips, No Overnight in Ireland","Thousand","20"
"Holiday/leisure/recreation","2014Q4","Trips with at Least One Overnight in Ireland","Thousand","629"
"Holiday/leisure/recreation","2014Q4","Same-Day Trips, No Overnight in Ireland","Thousand","13"
"Holiday/leisure/recreation","2015Q1","Trips with at Least One Overnight in Ireland","Thousand","528"
"Holiday/leisure/recreation","2015Q1","Same-Day Trips, No Overnight in Ireland","Thousand","11"
"Holiday/leisure/recreation","2015Q2","Trips with at Least One Overnight in Ireland","Thousand","1158"
"Holiday/leisure/recreation","2015Q2","Same-Day Trips, No Overnight in Ireland","Thousand","26"
"Holiday/leisure/recreation","2015Q3","Trips with at Least One Overnight in Ireland","Thousand","1450"
"Holiday/leisure/recreation","2015Q3","Same-Day Trips, No Overnight in Ireland","Thousand","34"
"Holiday/leisure/recreation","2015Q4","Trips with at Least One Overnight in Ireland","Thousand","772"
"Holiday/leisure/recreation","2015Q4","Same-Day Trips, No Overnight in Ireland","Thousand","23"
"Holiday/leisure/recreation","2016Q1","Trips with at Least One Overnight in Ireland","Thousand","674"
"Holiday/leisure/recreation","2016Q1","Same-Day Trips, No Overnight in Ireland","Thousand","16"
"Holiday/leisure/recreation","2016Q2","Trips with at Least One Overnight in Ireland","Thousand","1218"
"Holiday/leisure/recreation","2016Q2","Same-Day Trips, No Overnight in Ireland","Thousand","39"
"Holiday/leisure/recreation","2016Q3","Trips with at Least One Overnight in Ireland","Thousand","1531"
"Holiday/leisure/recreation","2016Q3","Same-Day Trips, No Overnight in Ireland","Thousand","43"
"Holiday/leisure/recreation","2016Q4","Trips with at Least One Overnight in Ireland","Thousand","827"
"Holiday/leisure/recreation","2016Q4","Same-Day Trips, No Overnight in Ireland","Thousand","40"
"Holiday/leisure/recreation","2017Q1","Trips with at Least One Overnight in Ireland","Thousand","669"
"Holiday/leisure/recreation","2017Q1","Same-Day Trips, No Overnight in Ireland","Thousand","22"
"Holiday/leisure/recreation","2017Q2","Trips with at Least One Overnight in Ireland","Thousand","1385"
"Holiday/leisure/recreation","2017Q2","Same-Day Trips, No Overnight in Ireland","Thousand","34"
"Holiday/leisure/recreation","2017Q3","Trips with at Least One Overnight in Ireland","Thousand","1587"
"Holiday/leisure/recreation","2017Q3","Same-Day Trips, No Overnight in Ireland","Thousand","44"
"Holiday/leisure/recreation","2017Q4","Trips with at Least One Overnight in Ireland","Thousand","932"
"Holiday/leisure/recreation","2017Q4","Same-Day Trips, No Overnight in Ireland","Thousand","37"
"Holiday/leisure/recreation","2018Q1","Trips with at Least One Overnight in Ireland","Thousand","771"
"Holiday/leisure/recreation","2018Q1","Same-Day Trips, No Overnight in Ireland","Thousand","25"
"Holiday/leisure/recreation","2018Q2","Trips with at Least One Overnight in Ireland","Thousand","1508"
"Holiday/leisure/recreation","2018Q2","Same-Day Trips, No Overnight in Ireland","Thousand","36"
"Holiday/leisure/recreation","2018Q3","Trips with at Least One Overnight in Ireland","Thousand","1755"
"Holiday/leisure/recreation","2018Q3","Same-Day Trips, No Overnight in Ireland","Thousand","48"
"Holiday/leisure/recreation","2018Q4","Trips with at Least One Overnight in Ireland","Thousand","1052"
"Holiday/leisure/recreation","2018Q4","Same-Day Trips, No Overnight in Ireland","Thousand","40"
"Holiday/leisure/recreation","2019Q1","Trips with at Least One Overnight in Ireland","Thousand","810"
"Holiday/leisure/recreation","2019Q1","Same-Day Trips, No Overnight in Ireland","Thousand","17"
"Holiday/leisure/recreation","2019Q2","Trips with at Least One Overnight in Ireland","Thousand","1504"
"Holiday/leisure/recreation","2019Q2","Same-Day Trips, No Overnight in Ireland","Thousand","47"
"Holiday/leisure/recreation","2019Q3","Trips with at Least One Overnight in Ireland","Thousand","1753"
"Holiday/leisure/recreation","2019Q3","Same-Day Trips, No Overnight in Ireland","Thousand","46"
"Holiday/leisure/recreation","2019Q4","Trips with at Least One Overnight in Ireland","Thousand","1002"
"Holiday/leisure/recreation","2019Q4","Same-Day Trips, No Overnight in Ireland","Thousand","38"
"Visit to friends/relatives","2012Q1","Trips with at Least One Overnight in Ireland","Thousand","377"
"Visit to friends/relatives","2012Q1","Same-Day Trips, No Overnight in Ireland","Thousand","15"
"Visit to friends/relatives","2012Q2","Trips with at Least One Overnight in Ireland","Thousand","448"
"Visit to friends/relatives","2012Q2","Same-Day Trips, No Overnight in Ireland","Thousand","17"
"Visit to friends/relatives","2012Q3","Trips with at Least One Overnight in Ireland","Thousand","502"
"Visit to friends/relatives","2012Q3","Same-Day Trips, No Overnight in Ireland","Thousand","15"
"Visit to friends/relatives","2012Q4","Trips with at Least One Overnight in Ireland","Thousand","432"
"Visit to friends/relatives","2012Q4","Same-Day Trips, No Overnight in Ireland","Thousand","13"
"Visit to friends/relatives","2013Q1","Trips with at Least One Overnight in Ireland","Thousand","410"
"Visit to friends/relatives","2013Q1","Same-Day Trips, No Overnight in Ireland","Thousand","15"
"Visit to friends/relatives","2013Q2","Trips with at Least One Overnight in Ireland","Thousand","445"
"Visit to friends/relatives","2013Q2","Same-Day Trips, No Overnight in Ireland","Thousand","10"
"Visit to friends/relatives","2013Q3","Trips with at Least One Overnight in Ireland","Thousand","592"
"Visit to friends/relatives","2013Q3","Same-Day Trips, No Overnight in Ireland","Thousand","11"
"Visit to friends/relatives","2013Q4","Trips with at Least One Overnight in Ireland","Thousand","520"
"Visit to friends/relatives","2013Q4","Same-Day Trips, No Overnight in Ireland","Thousand","12"
"Visit to friends/relatives","2014Q1","Trips with at Least One Overnight in Ireland","Thousand","457"
"Visit to friends/relatives","2014Q1","Same-Day Trips, No Overnight in Ireland","Thousand","8"
"Visit to friends/relatives","2014Q2","Trips with at Least One Overnight in Ireland","Thousand","560"
"Visit to friends/relatives","2014Q2","Same-Day Trips, No Overnight in Ireland","Thousand","14"
"Visit to friends/relatives","2014Q3","Trips with at Least One Overnight in Ireland","Thousand","632"
"Visit to friends/relatives","2014Q3","Same-Day Trips, No Overnight in Ireland","Thousand","11"
"Visit to friends/relatives","2014Q4","Trips with at Least One Overnight in Ireland","Thousand","512"
"Visit to friends/relatives","2014Q4","Same-Day Trips, No Overnight in Ireland","Thousand","15"
"Visit to friends/relatives","2015Q1","Trips with at Least One Overnight in Ireland","Thousand","473"
"Visit to friends/relatives","2015Q1","Same-Day Trips, No Overnight in Ireland","Thousand","15"
"Visit to friends/relatives","2015Q2","Trips with at Least One Overnight in Ireland","Thousand","575"
"Visit to friends/relatives","2015Q2","Same-Day Trips, No Overnight in Ireland","Thousand","12"
"Visit to friends/relatives","2015Q3","Trips with at Least One Overnight in Ireland","Thousand","623"
"Visit to friends/relatives","2015Q3","Same-Day Trips, No Overnight in Ireland","Thousand","17"
"Visit to friends/relatives","2015Q4","Trips with at Least One Overnight in Ireland","Thousand","567"
"Visit to friends/relatives","2015Q4","Same-Day Trips, No Overnight in Ireland","Thousand","15"
"Visit to friends/relatives","2016Q1","Trips with at Least One Overnight in Ireland","Thousand","540"
"Visit to friends/relatives","2016Q1","Same-Day Trips, No Overnight in Ireland","Thousand","15"
"Visit to friends/relatives","2016Q2","Trips with at Least One Overnight in Ireland","Thousand","611"
"Visit to friends/relatives","2016Q2","Same-Day Trips, No Overnight in Ireland","Thousand","21"
"Visit to friends/relatives","2016Q3","Trips with at Least One Overnight in Ireland","Thousand","709"
"Visit to friends/relatives","2016Q3","Same-Day Trips, No Overnight in Ireland","Thousand","21"
"Visit to friends/relatives","2016Q4","Trips with at Least One Overnight in Ireland","Thousand","616"
"Visit to friends/relatives","2016Q4","Same-Day Trips, No Overnight in Ireland","Thousand","20"
"Visit to friends/relatives","2017Q1","Trips with at Least One Overnight in Ireland","Thousand","534"
"Visit to friends/relatives","2017Q1","Same-Day Trips, No Overnight in Ireland","Thousand","15"
"Visit to friends/relatives","2017Q2","Trips with at Least One Overnight in Ireland","Thousand","612"
"Visit to friends/relatives","2017Q2","Same-Day Trips, No Overnight in Ireland","Thousand","20"
"Visit to friends/relatives","2017Q3","Trips with at Least One Overnight in Ireland","Thousand","696"
"Visit to friends/relatives","2017Q3","Same-Day Trips, No Overnight in Ireland","Thousand","23"
"Visit to friends/relatives","2017Q4","Trips with at Least One Overnight in Ireland","Thousand","645"
"Visit to friends/relatives","2017Q4","Same-Day Trips, No Overnight in Ireland","Thousand","22"
"Visit to friends/relatives","2018Q1","Trips with at Least One Overnight in Ireland","Thousand","512"
"Visit to friends/relatives","2018Q1","Same-Day Trips, No Overnight in Ireland","Thousand","17"
"Visit to friends/relatives","2018Q2","Trips with at Least One Overnight in Ireland","Thousand","709"
"Visit to friends/relatives","2018Q2","Same-Day Trips, No Overnight in Ireland","Thousand","22"
"Visit to friends/relatives","2018Q3","Trips with at Least One Overnight in Ireland","Thousand","742"
"Visit to friends/relatives","2018Q3","Same-Day Trips, No Overnight in Ireland","Thousand","24"
"Visit to friends/relatives","2018Q4","Trips with at Least One Overnight in Ireland","Thousand","604"
"Visit to friends/relatives","2018Q4","Same-Day Trips, No Overnight in Ireland","Thousand","25"
"Visit to friends/relatives","2019Q1","Trips with at Least One Overnight in Ireland","Thousand","530"
"Visit to friends/relatives","2019Q1","Same-Day Trips, No Overnight in Ireland","Thousand","13"
"Visit to friends/relatives","2019Q2","Trips with at Least One Overnight in Ireland","Thousand","668"
"Visit to friends/relatives","2019Q2","Same-Day Trips, No Overnight in Ireland","Thousand","26"
"Visit to friends/relatives","2019Q3","Trips with at Least One Overnight in Ireland","Thousand","720"
"Visit to friends/relatives","2019Q3","Same-Day Trips, No Overnight in Ireland","Thousand","21"
"Visit to friends/relatives","2019Q4","Trips with at Least One Overnight in Ireland","Thousand","662"
"Visit to friends/relatives","2019Q4","Same-Day Trips, No Overnight in Ireland","Thousand","26"
"Business","2012Q1","Trips with at Least One Overnight in Ireland","Thousand","253"
"Business","2012Q1","Same-Day Trips, No Overnight in Ireland","Thousand","43"
"Business","2012Q2","Trips with at Least One Overnight in Ireland","Thousand","260"
"Business","2012Q2","Same-Day Trips, No Overnight in Ireland","Thousand","41"
"Business","2012Q3","Trips with at Least One Overnight in Ireland","Thousand","236"
"Business","2012Q3","Same-Day Trips, No Overnight in Ireland","Thousand","42"
"Business","2012Q4","Trips with at Least One Overnight in Ireland","Thousand","269"
"Business","2012Q4","Same-Day Trips, No Overnight in Ireland","Thousand","39"
"Business","2013Q1","Trips with at Least One Overnight in Ireland","Thousand","247"
"Business","2013Q1","Same-Day Trips, No Overnight in Ireland","Thousand","44"
"Business","2013Q2","Trips with at Least One Overnight in Ireland","Thousand","281"
"Business","2013Q2","Same-Day Trips, No Overnight in Ireland","Thousand","47"
"Business","2013Q3","Trips with at Least One Overnight in Ireland","Thousand","243"
"Business","2013Q3","Same-Day Trips, No Overnight in Ireland","Thousand","41"
"Business","2013Q4","Trips with at Least One Overnight in Ireland","Thousand","297"
"Business","2013Q4","Same-Day Trips, No Overnight in Ireland","Thousand","42"
"Business","2014Q1","Trips with at Least One Overnight in Ireland","Thousand","243"
"Business","2014Q1","Same-Day Trips, No Overnight in Ireland","Thousand","43"
"Business","2014Q2","Trips with at Least One Overnight in Ireland","Thousand","314"
"Business","2014Q2","Same-Day Trips, No Overnight in Ireland","Thousand","51"
"Business","2014Q3","Trips with at Least One Overnight in Ireland","Thousand","241"
"Business","2014Q3","Same-Day Trips, No Overnight in Ireland","Thousand","51"
