"STATISTIC","Statistic Label","C02173V03830","Area of Residence","C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20163","2016Q3","%","42"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20164","2016Q4","%","60"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20171","2017Q1","%","46"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20172","2017Q2","%","39"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20173","2017Q3","%","41"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20174","2017Q4","%","52"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20181","2018Q1","%","39"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20182","2018Q2","%","34"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20183","2018Q3","%","36"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20184","2018Q4","%","46"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20191","2019Q1","%","42"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20192","2019Q2","%","25"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20193","2019Q3","%","24"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","1","Holiday/leisure/recreation","20194","2019Q4","%","26"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20121","2012Q1","%","53"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20122","2012Q2","%","58"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20123","2012Q3","%","71"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20124","2012Q4","%","58"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20131","2013Q1","%","57"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20132","2013Q2","%","59"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20133","2013Q3","%","57"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20134","2013Q4","%","58"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20141","2014Q1","%","68"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20142","2014Q2","%","55"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20143","2014Q3","%","57"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20144","2014Q4","%","58"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20151","2015Q1","%","51"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20152","2015Q2","%","43"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20153","2015Q3","%","50"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20154","2015Q4","%","60"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20161","2016Q1","%","50"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20162","2016Q2","%","58"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20163","2016Q3","%","47"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20164","2016Q4","%","53"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20171","2017Q1","%","45"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20172","2017Q2","%","46"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20173","2017Q3","%","44"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20174","2017Q4","%","42"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20181","2018Q1","%","45"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20182","2018Q2","%","48"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20183","2018Q3","%","43"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20184","2018Q4","%","58"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20191","2019Q1","%","50"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20192","2019Q2","%","45"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20193","2019Q3","%","39"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","2","Visit to friends/relatives","20194","2019Q4","%","40"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20121","2012Q1","%","82"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20122","2012Q2","%","79"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20123","2012Q3","%","87"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20124","2012Q4","%","81"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20131","2013Q1","%","79"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20132","2013Q2","%","85"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20133","2013Q3","%","83"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20134","2013Q4","%","79"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20141","2014Q1","%","88"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20142","2014Q2","%","80"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20143","2014Q3","%","81"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20144","2014Q4","%","80"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20151","2015Q1","%","85"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20152","2015Q2","%","81"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20153","2015Q3","%","85"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20154","2015Q4","%","80"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20161","2016Q1","%","81"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20162","2016Q2","%","85"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20163","2016Q3","%","77"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20164","2016Q4","%","79"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20171","2017Q1","%","83"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20172","2017Q2","%","73"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20173","2017Q3","%","81"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20174","2017Q4","%","73"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20181","2018Q1","%","75"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20182","2018Q2","%","74"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20183","2018Q3","%","73"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20184","2018Q4","%","78"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20191","2019Q1","%","81"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20192","2019Q2","%","71"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20193","2019Q3","%","72"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","3","Business","20194","2019Q4","%","78"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20121","2012Q1","%","24"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20122","2012Q2","%","27"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20123","2012Q3","%","33"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20124","2012Q4","%","37"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20131","2013Q1","%","30"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20132","2013Q2","%","19"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20133","2013Q3","%","33"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20134","2013Q4","%","39"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20141","2014Q1","%","36"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20142","2014Q2","%","33"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20143","2014Q3","%","33"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20144","2014Q4","%","34"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20151","2015Q1","%","36"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20152","2015Q2","%","32"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20153","2015Q3","%","39"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20154","2015Q4","%","37"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20161","2016Q1","%","37"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20162","2016Q2","%","31"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20163","2016Q3","%","34"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20164","2016Q4","%","35"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20171","2017Q1","%","24"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20172","2017Q2","%","28"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20173","2017Q3","%","31"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20174","2017Q4","%","35"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20181","2018Q1","%","30"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20182","2018Q2","%","26"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20183","2018Q3","%","28"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20184","2018Q4","%","28"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20191","2019Q1","%","27"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20192","2019Q2","%","29"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20193","2019Q3","%","30"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","XB","Great Britain","4","Other reason for journey","20194","2019Q4","%","29"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20121","2012Q1","%","24"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20122","2012Q2","%","21"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20123","2012Q3","%","20"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20124","2012Q4","%","29"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20131","2013Q1","%","22"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20132","2013Q2","%","17"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20133","2013Q3","%","28"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20134","2013Q4","%","21"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20141","2014Q1","%","18"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20142","2014Q2","%","20"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20143","2014Q3","%","23"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20144","2014Q4","%","22"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20151","2015Q1","%","22"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20152","2015Q2","%","18"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20153","2015Q3","%","19"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20154","2015Q4","%","22"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20161","2016Q1","%","21"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20162","2016Q2","%","15"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20163","2016Q3","%","22"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20164","2016Q4","%","20"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20171","2017Q1","%","20"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20172","2017Q2","%","22"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20173","2017Q3","%","23"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20174","2017Q4","%","18"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20181","2018Q1","%","24"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20182","2018Q2","%","21"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20183","2018Q3","%","29"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20184","2018Q4","%","24"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20191","2019Q1","%","25"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20192","2019Q2","%","22"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20193","2019Q3","%","24"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","-","All reasons for journey","20194","2019Q4","%","22"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20121","2012Q1","%","22"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20122","2012Q2","%","14"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20123","2012Q3","%","16"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20124","2012Q4","%","38"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20131","2013Q1","%","15"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20132","2013Q2","%","12"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20133","2013Q3","%","23"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20134","2013Q4","%","16"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20141","2014Q1","%","16"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20142","2014Q2","%","9"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20143","2014Q3","%","16"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20144","2014Q4","%","23"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20151","2015Q1","%","20"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20152","2015Q2","%","15"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20153","2015Q3","%","13"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20154","2015Q4","%","14"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20161","2016Q1","%","14"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20162","2016Q2","%","14"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20163","2016Q3","%","20"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20164","2016Q4","%","14"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20171","2017Q1","%","18"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20172","2017Q2","%","21"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20173","2017Q3","%","22"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20174","2017Q4","%","15"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20181","2018Q1","%","30"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20182","2018Q2","%","13"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20183","2018Q3","%","23"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20184","2018Q4","%","15"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20191","2019Q1","%","19"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20192","2019Q2","%","20"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20193","2019Q3","%","22"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","1","Holiday/leisure/recreation","20194","2019Q4","%","14"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","20121","2012Q1","%","27"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","20122","2012Q2","%","28"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","20123","2012Q3","%","13"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","20124","2012Q4","%","28"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","20131","2013Q1","%","26"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","20132","2013Q2","%","23"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","20133","2013Q3","%","18"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","20134","2013Q4","%","18"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","20141","2014Q1","%","13"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","20142","2014Q2","%","16"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","20143","2014Q3","%","17"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","20144","2014Q4","%","15"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","20151","2015Q1","%","27"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","20152","2015Q2","%","18"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","20153","2015Q3","%","19"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","20154","2015Q4","%","14"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","20161","2016Q1","%","26"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","20162","2016Q2","%","14"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","20163","2016Q3","%","21"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","20164","2016Q4","%","22"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","20171","2017Q1","%","17"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","20172","2017Q2","%","18"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","20173","2017Q3","%","21"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","ZZEURQ13","Other Europe (23)","2","Visit to friends/relatives","20174","2017Q4","%","17"
