"STATISTIC","Statistic Label","C02173V03830","Area of Residence","C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20162","2016Q2","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20163","2016Q3","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20164","2016Q4","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20171","2017Q1","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20172","2017Q2","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20173","2017Q3","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20174","2017Q4","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20181","2018Q1","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20182","2018Q2","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20183","2018Q3","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20184","2018Q4","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20191","2019Q1","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20192","2019Q2","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20193","2019Q3","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20194","2019Q4","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20121","2012Q1","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20122","2012Q2","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20123","2012Q3","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","20124","2012Q4","%","100"
