"STATISTIC","Statistic Label","C02164V02610","Type of Accommodation Used","AREARES","Area of Residence","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20143","2014Q3","Thousand","5052"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20144","2014Q4","Thousand","3014"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20151","2015Q1","Thousand","2951"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20152","2015Q2","Thousand","3688"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20153","2015Q3","Thousand","5318"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20154","2015Q4","Thousand","3214"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20161","2016Q1","Thousand","3196"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20162","2016Q2","Thousand","4061"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20163","2016Q3","Thousand","5685"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20164","2016Q4","Thousand","3495"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20171","2017Q1","Thousand","3157"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20172","2017Q2","Thousand","4115"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20173","2017Q3","Thousand","5587"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20174","2017Q4","Thousand","3609"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20181","2018Q1","Thousand","3079"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20182","2018Q2","Thousand","3877"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20183","2018Q3","Thousand","5106"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20184","2018Q4","Thousand","3270"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20191","2019Q1","Thousand","2968"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20192","2019Q2","Thousand","4009"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20193","2019Q3","Thousand","5267"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20194","2019Q4","Thousand","3287"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20121","2012Q1","Thousand","3276"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20122","2012Q2","Thousand","5548"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20123","2012Q3","Thousand","7934"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20124","2012Q4","Thousand","4733"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20131","2013Q1","Thousand","3566"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20132","2013Q2","Thousand","6164"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20133","2013Q3","Thousand","7924"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20134","2013Q4","Thousand","4433"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20141","2014Q1","Thousand","3560"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20142","2014Q2","Thousand","7095"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20143","2014Q3","Thousand","8592"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20144","2014Q4","Thousand","4876"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20151","2015Q1","Thousand","4437"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","02","Other Europe","20152","2015Q2","Thousand","7347"
