"STATISTIC","Statistic Label","C02164V02610","Type of Accommodation Used","AREARES","Area of Residence","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20182","2018Q2","Thousand","5589"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20183","2018Q3","Thousand","7162"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20184","2018Q4","Thousand","4273"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20191","2019Q1","Thousand","3313"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20192","2019Q2","Thousand","6246"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20193","2019Q3","Thousand","7214"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20194","2019Q4","Thousand","4116"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20121","2012Q1","Thousand","689"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20122","2012Q2","Thousand","939"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20123","2012Q3","Thousand","1094"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20124","2012Q4","Thousand","742"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20131","2013Q1","Thousand","623"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20132","2013Q2","Thousand","970"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20133","2013Q3","Thousand","1062"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20134","2013Q4","Thousand","836"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20141","2014Q1","Thousand","725"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20142","2014Q2","Thousand","948"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20143","2014Q3","Thousand","1108"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20144","2014Q4","Thousand","867"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20151","2015Q1","Thousand","796"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20152","2015Q2","Thousand","1129"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20153","2015Q3","Thousand","1411"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20154","2015Q4","Thousand","1009"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20161","2016Q1","Thousand","948"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20162","2016Q2","Thousand","1271"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20163","2016Q3","Thousand","1278"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20164","2016Q4","Thousand","1058"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20171","2017Q1","Thousand","889"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20172","2017Q2","Thousand","1117"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20173","2017Q3","Thousand","1066"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20174","2017Q4","Thousand","956"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20181","2018Q1","Thousand","875"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20182","2018Q2","Thousand","1019"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20183","2018Q3","Thousand","1116"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20184","2018Q4","Thousand","959"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20191","2019Q1","Thousand","914"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20192","2019Q2","Thousand","1123"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20193","2019Q3","Thousand","1150"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","01","Great Britain","20194","2019Q4","Thousand","1027"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20121","2012Q1","Thousand","559"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20122","2012Q2","Thousand","1869"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20123","2012Q3","Thousand","2057"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20124","2012Q4","Thousand","1085"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20131","2013Q1","Thousand","721"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20132","2013Q2","Thousand","1875"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20133","2013Q3","Thousand","2008"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20134","2013Q4","Thousand","924"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20141","2014Q1","Thousand","683"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20142","2014Q2","Thousand","1668"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20143","2014Q3","Thousand","2154"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20144","2014Q4","Thousand","1058"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20151","2015Q1","Thousand","849"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20152","2015Q2","Thousand","1960"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20153","2015Q3","Thousand","2603"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20154","2015Q4","Thousand","1176"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20161","2016Q1","Thousand","950"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20162","2016Q2","Thousand","2204"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20163","2016Q3","Thousand","2658"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20164","2016Q4","Thousand","1277"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20171","2017Q1","Thousand","945"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20172","2017Q2","Thousand","2401"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20173","2017Q3","Thousand","2526"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20174","2017Q4","Thousand","1259"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20181","2018Q1","Thousand","1125"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20182","2018Q2","Thousand","2178"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20183","2018Q3","Thousand","2581"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20184","2018Q4","Thousand","1382"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20191","2019Q1","Thousand","1222"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20192","2019Q2","Thousand","2358"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20193","2019Q3","Thousand","2737"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","02","Other Europe","20194","2019Q4","Thousand","1515"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20121","2012Q1","Thousand","417"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20122","2012Q2","Thousand","1073"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20123","2012Q3","Thousand","1615"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20124","2012Q4","Thousand","931"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20131","2013Q1","Thousand","451"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20132","2013Q2","Thousand","1291"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20133","2013Q3","Thousand","1634"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20134","2013Q4","Thousand","693"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20141","2014Q1","Thousand","488"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20142","2014Q2","Thousand","1226"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20143","2014Q3","Thousand","1815"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20144","2014Q4","Thousand","826"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20151","2015Q1","Thousand","524"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20152","2015Q2","Thousand","1533"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20153","2015Q3","Thousand","2007"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20154","2015Q4","Thousand","980"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20161","2016Q1","Thousand","620"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20162","2016Q2","Thousand","1541"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20163","2016Q3","Thousand","1960"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20164","2016Q4","Thousand","1263"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20171","2017Q1","Thousand","613"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20172","2017Q2","Thousand","2080"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20173","2017Q3","Thousand","2443"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20174","2017Q4","Thousand","1265"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20181","2018Q1","Thousand","757"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20182","2018Q2","Thousand","1937"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20183","2018Q3","Thousand","2887"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20184","2018Q4","Thousand","1602"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20191","2019Q1","Thousand","921"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20192","2019Q2","Thousand","2267"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20193","2019Q3","Thousand","2630"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","03","USA and Canada","20194","2019Q4","Thousand","1167"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20121","2012Q1","Thousand","116"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20122","2012Q2","Thousand","295"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20123","2012Q3","Thousand","430"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20124","2012Q4","Thousand","272"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20131","2013Q1","Thousand","112"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20132","2013Q2","Thousand","353"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20133","2013Q3","Thousand","422"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20134","2013Q4","Thousand","298"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20141","2014Q1","Thousand","176"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20142","2014Q2","Thousand","298"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20143","2014Q3","Thousand","421"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20144","2014Q4","Thousand","248"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20151","2015Q1","Thousand","184"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20152","2015Q2","Thousand","376"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20153","2015Q3","Thousand","501"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20154","2015Q4","Thousand","337"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20161","2016Q1","Thousand","191"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20162","2016Q2","Thousand","376"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20163","2016Q3","Thousand","555"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20164","2016Q4","Thousand","373"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20171","2017Q1","Thousand","252"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20172","2017Q2","Thousand","460"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20173","2017Q3","Thousand","576"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20174","2017Q4","Thousand","334"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20181","2018Q1","Thousand","279"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20182","2018Q2","Thousand","455"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20183","2018Q3","Thousand","578"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20184","2018Q4","Thousand","329"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20191","2019Q1","Thousand","256"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20192","2019Q2","Thousand","498"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20193","2019Q3","Thousand","697"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","04","Other Areas","20194","2019Q4","Thousand","407"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20121","2012Q1","Thousand","1023"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20122","2012Q2","Thousand","1841"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20123","2012Q3","Thousand","1453"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20124","2012Q4","Thousand","1731"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20131","2013Q1","Thousand","1191"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20132","2013Q2","Thousand","2083"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20133","2013Q3","Thousand","1906"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20134","2013Q4","Thousand","1755"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20141","2014Q1","Thousand","1319"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20142","2014Q2","Thousand","2469"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20143","2014Q3","Thousand","2201"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20144","2014Q4","Thousand","1862"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20151","2015Q1","Thousand","1600"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20152","2015Q2","Thousand","3068"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20153","2015Q3","Thousand","2690"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20154","2015Q4","Thousand","2071"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20161","2016Q1","Thousand","2177"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20162","2016Q2","Thousand","2803"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20163","2016Q3","Thousand","2983"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20164","2016Q4","Thousand","2424"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20171","2017Q1","Thousand","1799"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20172","2017Q2","Thousand","2766"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20173","2017Q3","Thousand","3013"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20174","2017Q4","Thousand","3248"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20181","2018Q1","Thousand","2214"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20182","2018Q2","Thousand","3221"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20183","2018Q3","Thousand","2828"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20184","2018Q4","Thousand","2812"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20191","2019Q1","Thousand","1964"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20192","2019Q2","Thousand","3301"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20193","2019Q3","Thousand","2592"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","-","All areas of residence","20194","2019Q4","Thousand","3113"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","20121","2012Q1","Thousand","126"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","20122","2012Q2","Thousand","313"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","20123","2012Q3","Thousand","311"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","20124","2012Q4","Thousand","382"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","20131","2013Q1","Thousand","211"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","20132","2013Q2","Thousand","285"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","20133","2013Q3","Thousand","400"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","20134","2013Q4","Thousand","275"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","20141","2014Q1","Thousand","147"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","20142","2014Q2","Thousand","253"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","20143","2014Q3","Thousand","502"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","20144","2014Q4","Thousand","272"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","20151","2015Q1","Thousand","123"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","20152","2015Q2","Thousand","368"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","20153","2015Q3","Thousand","569"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","20154","2015Q4","Thousand","239"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","20161","2016Q1","Thousand","240"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","20162","2016Q2","Thousand","407"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","20163","2016Q3","Thousand","468"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","20164","2016Q4","Thousand","262"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","20171","2017Q1","Thousand","198"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","20172","2017Q2","Thousand","408"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","20173","2017Q3","Thousand","568"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","20174","2017Q4","Thousand","261"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","20181","2018Q1","Thousand","232"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","20182","2018Q2","Thousand","290"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","20183","2018Q3","Thousand","420"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","01","Great Britain","20184","2018Q4","Thousand","236"
