"STATISTIC","Statistic Label","C02173V04143","Area of Residence","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ10","Overseas Trips to Ireland","ZZWORX31","Other Areas (31)","20164","2016Q4","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX31","Other Areas (31)","20171","2017Q1","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX31","Other Areas (31)","20172","2017Q2","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX31","Other Areas (31)","20173","2017Q3","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX31","Other Areas (31)","20174","2017Q4","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX31","Other Areas (31)","20181","2018Q1","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX31","Other Areas (31)","20182","2018Q2","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX31","Other Areas (31)","20183","2018Q3","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX31","Other Areas (31)","20184","2018Q4","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX31","Other Areas (31)","20191","2019Q1","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX31","Other Areas (31)","20192","2019Q2","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX31","Other Areas (31)","20193","2019Q3","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX31","Other Areas (31)","20194","2019Q4","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20081","2008Q1","Thousand","56.7"
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20082","2008Q2","Thousand","95.2"
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20083","2008Q3","Thousand","126.4"
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20084","2008Q4","Thousand","73.5"
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20091","2009Q1","Thousand","48.8"
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20092","2009Q2","Thousand","80.3"
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20093","2009Q3","Thousand","107.3"
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20094","2009Q4","Thousand","71.5"
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20101","2010Q1","Thousand","54.2"
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20102","2010Q2","Thousand","75.2"
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20103","2010Q3","Thousand","110.2"
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20104","2010Q4","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20111","2011Q1","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20112","2011Q2","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20113","2011Q3","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20114","2011Q4","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20121","2012Q1","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20122","2012Q2","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20123","2012Q3","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20124","2012Q4","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20131","2013Q1","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20132","2013Q2","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20133","2013Q3","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20134","2013Q4","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20141","2014Q1","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20142","2014Q2","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20143","2014Q3","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20144","2014Q4","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20151","2015Q1","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20152","2015Q2","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20153","2015Q3","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20154","2015Q4","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20161","2016Q1","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20162","2016Q2","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20163","2016Q3","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20164","2016Q4","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20171","2017Q1","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20172","2017Q2","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20173","2017Q3","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20174","2017Q4","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20181","2018Q1","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20182","2018Q2","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20183","2018Q3","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20184","2018Q4","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20191","2019Q1","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20192","2019Q2","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20193","2019Q3","Thousand",""
"TMQ10","Overseas Trips to Ireland","ZZWORX32","Other Areas (32)","20194","2019Q4","Thousand",""
