"STATISTIC","Statistic Label","C02173V04143","Area of Residence","TLIST(M1)","Month","UNIT","VALUE"
"TMM03","Overseas Trips to Ireland","ZZEURQ18","Other Europe (28)","201809","2018M09","Thousand","134.7"
"TMM03","Overseas Trips to Ireland","ZZEURQ18","Other Europe (28)","201810","2018M10","Thousand","147"
"TMM03","Overseas Trips to Ireland","ZZEURQ18","Other Europe (28)","201811","2018M11","Thousand","116.4"
"TMM03","Overseas Trips to Ireland","ZZEURQ18","Other Europe (28)","201812","2018M12","Thousand","109.9"
"TMM03","Overseas Trips to Ireland","ZZEURQ18","Other Europe (28)","201901","2019M01","Thousand","105.1"
"TMM03","Overseas Trips to Ireland","ZZEURQ18","Other Europe (28)","201902","2019M02","Thousand","101.8"
"TMM03","Overseas Trips to Ireland","ZZEURQ18","Other Europe (28)","201903","2019M03","Thousand","119.1"
"TMM03","Overseas Trips to Ireland","ZZEURQ18","Other Europe (28)","201904","2019M04","Thousand","145.9"
"TMM03","Overseas Trips to Ireland","ZZEURQ18","Other Europe (28)","201905","2019M05","Thousand","157.3"
"TMM03","Overseas Trips to Ireland","ZZEURQ18","Other Europe (28)","201906","2019M06","Thousand","164.4"
"TMM03","Overseas Trips to Ireland","ZZEURQ18","Other Europe (28)","201907","2019M07","Thousand","168.9"
"TMM03","Overseas Trips to Ireland","ZZEURQ18","Other Europe (28)","201908","2019M08","Thousand","168"
"TMM03","Overseas Trips to Ireland","ZZEURQ18","Other Europe (28)","201909","2019M09","Thousand","145.5"
"TMM03","Overseas Trips to Ireland","ZZEURQ18","Other Europe (28)","201910","2019M10","Thousand","162"
"TMM03","Overseas Trips to Ireland","ZZEURQ18","Other Europe (28)","201911","2019M11","Thousand","116.6"
"TMM03","Overseas Trips to Ireland","ZZEURQ18","Other Europe (28)","201912","2019M12","Thousand","130.9"
"TMM03","Overseas Trips to Ireland","ZZEURQ18","Other Europe (28)","202001","2020M01","Thousand","113.7"
"TMM03","Overseas Trips to Ireland","ZZEURQ18","Other Europe (28)","202002","2020M02","Thousand","107.2"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201601","2016M01","Thousand","22.5"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201602","2016M02","Thousand","17"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201603","2016M03","Thousand","24.6"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201604","2016M04","Thousand","23.2"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201605","2016M05","Thousand","28.2"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201606","2016M06","Thousand","34.1"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201607","2016M07","Thousand","42.1"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201608","2016M08","Thousand","39.8"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201609","2016M09","Thousand","35"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201610","2016M10","Thousand","27.7"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201611","2016M11","Thousand","23.1"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201612","2016M12","Thousand","28.3"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201701","2017M01","Thousand","27.4"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201702","2017M02","Thousand","24.7"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201703","2017M03","Thousand","23.8"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201704","2017M04","Thousand","29.6"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201705","2017M05","Thousand","40.3"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201706","2017M06","Thousand","45.1"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201707","2017M07","Thousand","47.2"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201708","2017M08","Thousand","47.4"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201709","2017M09","Thousand","40.1"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201710","2017M10","Thousand","30.8"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201711","2017M11","Thousand","22.4"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201712","2017M12","Thousand","32.1"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201801","2018M01","Thousand","27.9"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201802","2018M02","Thousand","22.2"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201803","2018M03","Thousand","27.4"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201804","2018M04","Thousand","31"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201805","2018M05","Thousand","37.3"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201806","2018M06","Thousand","43.6"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201807","2018M07","Thousand","56.9"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201808","2018M08","Thousand","51.9"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201809","2018M09","Thousand","40.4"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201810","2018M10","Thousand","35.3"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201811","2018M11","Thousand","27"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201812","2018M12","Thousand","31.4"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201901","2019M01","Thousand","31.1"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201902","2019M02","Thousand","28.7"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201903","2019M03","Thousand","28"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201904","2019M04","Thousand","34.9"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201905","2019M05","Thousand","40.8"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201906","2019M06","Thousand","51.3"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201907","2019M07","Thousand","56.5"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201908","2019M08","Thousand","57.2"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201909","2019M09","Thousand","40.9"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201910","2019M10","Thousand","38.6"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201911","2019M11","Thousand","27.9"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","201912","2019M12","Thousand","36.6"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","202001","2020M01","Thousand","33.1"
"TMM03","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","202002","2020M02","Thousand","25.5"
